GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 1-person households,Margin of Error; Total: - 1-person households,Estimate; Total: - 2-person households,Margin of Error; Total: - 2-person households,Estimate; Total: - 3-person households,Margin of Error; Total: - 3-person households,Estimate; Total: - 4-person households,Margin of Error; Total: - 4-person households,Estimate; Total: - 5-person households,Margin of Error; Total: - 5-person households,Estimate; Total: - 6-person households,Margin of Error; Total: - 6-person households,Estimate; Total: - 7-or-more-person households,Margin of Error; Total: - 7-or-more-person households
0500000US41003,41003,"Benton County, Oregon",47808,4436,25674,5006,62870,10306,62488,19197,70668,16862,48423,42641,107156,48803,109766,393666
0500000US41005,41005,"Clackamas County, Oregon",66758,2466,37514,3104,70924,3286,72983,8033,90530,7327,88716,12142,82967,47036,98490,38420
0500000US41017,41017,"Deschutes County, Oregon",46791,5216,24373,3110,49120,10043,67080,15327,72662,21516,72403,14528,53967,48052,73676,21671
0500000US41019,41019,"Douglas County, Oregon",40605,2587,24822,4463,48074,4900,41939,4682,63311,10428,71942,21134,57656,34343,39238,52788
0500000US41029,41029,"Jackson County, Oregon",43363,3149,24753,2733,51686,3356,48636,9800,61899,9688,45682,32311,47280,50463,38391,20495
0500000US41033,41033,"Josephine County, Oregon",38298,3368,19158,3564,42237,4668,66438,17229,49092,27107,40064,8791,91917,88782,62664,12467
0500000US41035,41035,"Klamath County, Oregon",36885,3491,17207,2901,45019,7329,38644,7920,71516,14771,46462,15854,59500,21503,62215,41381
0500000US41039,41039,"Lane County, Oregon",43459,2925,22036,1893,54608,3467,56549,6649,60316,5869,53752,8384,54155,18497,64074,16794
0500000US41043,41043,"Linn County, Oregon",45130,3551,26572,3431,45541,4280,57802,11727,65016,10282,51803,13559,40708,16723,66753,27246
0500000US41047,41047,"Marion County, Oregon",46873,2651,23916,1879,54243,2965,59780,8572,57825,10520,57500,11178,68448,19042,66319,22189
0500000US41051,41051,"Multnomah County, Oregon",54024,2080,29235,1760,64257,3238,72798,5453,81287,4933,63659,12835,69506,16561,50148,25381
0500000US41053,41053,"Polk County, Oregon",49781,5422,27258,6180,57623,7649,48888,11502,46469,12200,65968,2116,36053,33699,100028,113531
0500000US41059,41059,"Umatilla County, Oregon",48514,4000,23932,6449,55159,9068,58672,9104,57710,12884,53817,8869,70754,47467,61146,83229
0500000US41067,41067,"Washington County, Oregon",63238,2919,36115,2060,67557,3070,87087,6434,88353,5864,69954,9775,73538,19615,85308,29878
0500000US41071,41071,"Yamhill County, Oregon",58612,2940,28916,9216,62795,6707,59983,14776,72843,18970,62012,11360,77679,28257,65572,34730
