GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Married-couple family,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Married-couple family,Estimate; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family:,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family: - Male householder, no wife present","Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family: - Male householder, no wife present","Estimate; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family: - Female householder, no husband present","Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family: - Female householder, no husband present",Estimate; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Nonfamily households,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Nonfamily households,Estimate; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Married-couple family,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Married-couple family,Estimate; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family:,"Estimate; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family: - Male householder, no wife present","Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family: - Male householder, no wife present","Estimate; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family: - Female householder, no husband present","Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family: - Female householder, no husband present",Estimate; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Nonfamily households,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Nonfamily households,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Married-couple family,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Married-couple family,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family:,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family: - Male householder, no wife present","Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family: - Male householder, no wife present","Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family: - Female householder, no husband present","Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Other family: - Female householder, no husband present",Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Nonfamily households,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - With children under 18 years: - Nonfamily households,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Married-couple family,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Married-couple family,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family:,"Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family: - Male householder, no wife present","Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family: - Male householder, no wife present","Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family: - Female householder, no husband present","Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Other family: - Female householder, no husband present",Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Nonfamily households,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - No children under 18 years: - Nonfamily households
0500000US41003,41003,"Benton County, Oregon",33609,1062,4183,925,1289,629,625,473,561,351,125,205,436,287,103,171,2894,699,295,229,592,398,360,325,232,226,2007,624,29426,1294,6837,980,6042,850,795,623,0,200,795,623,0,200,22589,1428,8602,1034,635,361,204,156,431,315,13352,1347
0500000US41005,41005,"Clackamas County, Oregon",150382,1976,20564,2130,9882,1750,4502,1013,5020,1362,888,679,4132,1225,360,350,10682,1527,2554,782,2596,966,865,646,1731,618,5532,1070,129818,3037,39373,2430,30944,2245,8081,1330,2160,743,5921,1144,348,405,90445,2865,44632,2642,5684,1301,2438,857,3246,913,40129,3077
0500000US41017,41017,"Deschutes County, Oregon",65065,2582,12922,2116,5142,1323,2529,1018,2573,1019,814,771,1759,779,40,70,7780,1621,1797,702,1593,773,340,352,1253,679,4390,1414,52143,2779,12010,1928,8708,1559,3258,1150,1069,608,2189,984,44,72,40133,2436,19167,2121,1316,734,151,153,1165,693,19650,2030
0500000US41019,41019,"Douglas County, Oregon",43389,1506,10193,1539,5160,1101,1273,554,3338,1050,1270,675,2068,835,549,492,5033,1141,1705,657,780,514,380,354,400,313,2548,721,33196,1803,7547,1148,5716,1098,1789,833,466,402,1323,679,42,72,25649,1817,12648,1407,1501,677,612,581,889,369,11500,1531
0500000US41029,41029,"Jackson County, Oregon",82983,1561,18218,2180,9390,1675,3901,1327,5489,1404,1227,684,4262,1189,0,200,8828,1650,1349,613,1796,629,717,541,1079,498,5683,1297,64765,2517,13647,1902,9837,1735,3744,916,784,366,2960,920,66,111,51118,2481,25238,1812,2499,889,175,218,2324,866,23381,2237
0500000US41033,41033,"Josephine County, Oregon",34517,1287,8382,1266,3433,954,1130,524,2055,778,325,211,1730,742,248,394,4949,1126,922,461,931,731,182,203,749,689,3096,804,26135,1414,4365,1030,3189,938,986,573,322,292,664,508,190,246,21770,1534,10861,1256,1493,664,478,440,1015,553,9416,1517
0500000US41035,41035,"Klamath County, Oregon",25746,1411,7948,1321,3469,982,1717,646,1752,729,855,551,897,473,0,200,4479,958,1113,617,793,462,61,85,732,465,2573,775,17798,1456,4665,1037,3890,993,775,468,197,190,578,441,0,200,13133,1003,7089,917,850,397,427,283,423,277,5194,839
0500000US41039,41039,"Lane County, Oregon",144166,2079,30850,2445,11930,1877,4750,1270,6863,1390,998,507,5865,1262,317,292,18920,2108,2649,617,3852,932,979,550,2873,748,12419,1691,113316,2776,22957,2051,17070,1848,5645,1132,2071,670,3574,901,242,166,90359,2706,39561,2291,4411,1019,1136,551,3275,873,46387,2676
0500000US41043,41043,"Linn County, Oregon",43911,1448,9597,1335,5209,1031,1506,510,3449,956,168,167,3281,944,254,309,4388,925,1155,463,487,248,226,225,261,192,2746,762,34314,1484,8989,1220,6826,1144,2087,723,839,524,1248,606,76,114,25325,1461,12307,1389,1772,532,507,336,1265,456,11246,1267
