GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years,Estimate; Income in the past 12 months below poverty level: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present - With related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present - With related children under 18 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present - With related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present - With related children under 18 years"
0500000US41003,41003,"Benton County, Oregon",16729,1395,1509,644,577,366,437,316,932,502,396,396,125,205,536,302,393,278,15220,1364,13872,1373,5729,935,1348,674,213,190,0,200,1135,646,698,565
0500000US41005,41005,"Clackamas County, Oregon",95217,2998,6175,1178,2868,919,1601,731,3307,932,523,450,136,164,2784,841,2273,815,89042,3048,73149,3192,30163,2145,15893,1870,4713,1223,2487,937,11180,1441,7033,1220
0500000US41017,41017,"Deschutes County, Oregon",39438,2898,4445,1283,2731,990,1064,536,1714,824,846,774,814,771,868,469,619,419,34993,2631,28783,2396,9814,1504,6210,1769,1376,710,987,593,4834,1524,2770,1203
0500000US41019,41019,"Douglas County, Oregon",27230,1797,3706,1003,1255,630,508,464,2451,979,836,666,784,658,1615,771,1501,736,23524,1747,18984,1648,5887,1099,4540,1210,1652,882,712,521,2888,902,1670,808
0500000US41029,41029,"Jackson County, Oregon",50172,2430,6644,1828,2481,984,1245,798,4163,1475,613,492,613,492,3550,1327,2487,1192,43528,2703,34985,2513,10659,1617,8543,1554,2011,738,1169,489,6532,1332,4249,1162
0500000US41033,41033,"Josephine County, Oregon",20573,1769,2722,1087,1537,846,365,411,1185,634,168,177,168,177,1017,583,623,424,17851,1659,13719,1572,3465,981,4132,1252,991,548,331,276,3141,1100,1771,769
0500000US41035,41035,"Klamath County, Oregon",16137,1381,1885,606,791,432,564,379,1094,501,255,196,164,166,839,468,526,335,14252,1250,11401,1257,4277,794,2851,893,1204,639,807,557,1647,619,949,513
0500000US41039,41039,"Lane County, Oregon",77862,2748,9627,1612,2883,1038,1581,825,6744,1219,1255,652,647,440,5489,1126,4684,1114,68235,2523,56025,2402,17512,1781,12210,1496,3212,794,1977,663,8998,1355,3698,965
0500000US41043,41043,"Linn County, Oregon",28349,1720,3453,948,891,422,557,349,2562,827,204,210,204,210,2358,803,2293,792,24896,1888,19999,1604,7068,1068,4897,1151,1365,630,632,445,3532,997,2120,939
