GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years,Estimate; Income in the past 12 months below poverty level: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present - With related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present - With related children under 18 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present - With related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present - With related children under 18 years"
0500000US41003,41003,"Benton County, Oregon",18147,1454,1762,687,701,408,463,318,1061,505,442,401,125,205,619,325,393,278,16385,1406,14863,1393,6204,942,1522,721,247,196,0,200,1275,696,838,627
0500000US41005,41005,"Clackamas County, Oregon",104013,3368,7011,1270,3503,987,1976,806,3508,953,523,450,136,164,2985,865,2437,827,97002,3390,79129,3264,33325,2287,17873,2026,5828,1399,2869,1015,12045,1472,7522,1308
0500000US41017,41017,"Deschutes County, Oregon",40941,3029,4762,1364,2897,1030,1230,610,1865,844,893,777,814,771,972,507,723,458,36179,2722,29304,2481,10007,1557,6875,1819,1481,715,1069,608,5394,1612,3074,1197
0500000US41019,41019,"Douglas County, Oregon",28750,1778,4167,981,1521,705,642,494,2646,991,939,690,887,679,1707,767,1593,733,24583,1749,19821,1667,6252,1134,4762,1213,1789,894,849,561,2973,892,1716,813
0500000US41029,41029,"Jackson County, Oregon",53853,2535,7473,1816,2790,1035,1489,846,4683,1536,806,579,806,579,3877,1324,2689,1190,46380,2755,37535,2781,12249,1876,8845,1547,2097,756,1205,486,6748,1355,4465,1184
0500000US41033,41033,"Josephine County, Oregon",21567,1808,3078,1142,1825,892,453,436,1253,640,236,206,236,206,1017,583,623,424,18489,1650,14277,1566,3866,1007,4212,1235,1071,554,411,304,3141,1100,1771,769
0500000US41035,41035,"Klamath County, Oregon",17979,1612,2108,673,989,517,616,408,1119,508,280,199,189,168,839,468,526,335,15871,1434,12820,1411,4991,954,3051,906,1260,640,863,562,1791,661,949,513
0500000US41039,41039,"Lane County, Oregon",84801,2794,10820,1742,3471,1208,2127,1012,7349,1297,1347,685,739,473,6002,1168,5154,1154,73981,2648,60559,2519,19693,1950,13422,1573,3837,876,2330,694,9585,1389,4285,1029
0500000US41043,41043,"Linn County, Oregon",29589,1774,3858,996,1009,451,660,379,2849,861,375,318,375,318,2474,812,2409,801,25731,1920,20785,1681,7469,1104,4946,1140,1365,630,632,445,3581,985,2120,939
