GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - No child,Margin of Error; Income in the past 12 months below poverty level: - No child,Estimate; Income in the past 12 months below poverty level: - 1 or 2 children,Margin of Error; Income in the past 12 months below poverty level: - 1 or 2 children,Estimate; Income in the past 12 months below poverty level: - 3 or 4 children,Margin of Error; Income in the past 12 months below poverty level: - 3 or 4 children,Estimate; Income in the past 12 months below poverty level: - 5 or more children,Margin of Error; Income in the past 12 months below poverty level: - 5 or more children,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - No child,Margin of Error; Income in the past 12 months at or above poverty level: - No child,Estimate; Income in the past 12 months at or above poverty level: - 1 or 2 children,Margin of Error; Income in the past 12 months at or above poverty level: - 1 or 2 children,Estimate; Income in the past 12 months at or above poverty level: - 3 or 4 children,Margin of Error; Income in the past 12 months at or above poverty level: - 3 or 4 children,Estimate; Income in the past 12 months at or above poverty level: - 5 or more children,Margin of Error; Income in the past 12 months at or above poverty level: - 5 or more children
0500000US41003,41003,"Benton County, Oregon",18147,1454,1762,687,781,447,822,411,151,228,8,13,16385,1406,9343,1020,6331,1017,638,307,73,88
0500000US41005,41005,"Clackamas County, Oregon",104013,3368,7011,1270,2462,768,3929,886,620,456,0,200,97002,3390,53286,2812,34710,2268,7969,1167,1037,608
0500000US41017,41017,"Deschutes County, Oregon",40941,3029,4762,1364,1995,946,2229,992,538,405,0,200,36179,2722,22029,2088,12531,2055,1096,485,523,697
0500000US41019,41019,"Douglas County, Oregon",28750,1778,4167,981,1045,559,1794,788,1207,647,121,207,24583,1749,15766,1573,7286,1146,1431,484,100,175
0500000US41029,41029,"Jackson County, Oregon",53853,2535,7473,1816,2489,969,3283,1291,1533,1039,168,238,46380,2755,28461,1992,15428,2023,2331,734,160,160
0500000US41033,41033,"Josephine County, Oregon",21567,1808,3078,1142,1766,803,773,480,500,484,39,76,18489,1650,12441,1395,4910,1042,842,476,296,261
0500000US41035,41035,"Klamath County, Oregon",17979,1612,2108,673,777,373,1110,500,221,231,0,200,15871,1434,9068,1067,5283,999,1440,515,80,103
0500000US41039,41039,"Lane County, Oregon",84801,2794,10820,1742,2800,723,6118,1299,1630,642,272,353,73981,2648,47673,2227,21485,2119,4506,937,317,287
0500000US41043,41043,"Linn County, Oregon",29589,1774,3858,996,414,235,2120,705,1174,521,150,196,25731,1920,15510,1437,8255,1373,1966,909,0,200
0500000US41047,41047,"Marion County, Oregon",77502,2745,10910,1933,1777,726,4816,1364,3701,1156,616,492,66592,2609,36367,2254,24546,2549,5507,1140,172,211
0500000US41051,41051,"Multnomah County, Oregon",167374,4313,19978,2609,4763,1213,10053,1631,4149,1243,1013,718,147396,4059,81495,3573,57281,3495,8537,1423,83,135
0500000US41053,41053,"Polk County, Oregon",18810,1482,2504,893,404,295,1472,821,507,360,121,128,16306,1365,11037,1245,3976,932,1190,654,103,154
0500000US41059,41059,"Umatilla County, Oregon",18838,1384,2759,887,1082,536,672,424,812,521,193,299,16079,1398,7925,981,6057,1185,1932,628,165,149
0500000US41067,41067,"Washington County, Oregon",134554,3588,10649,2081,2591,971,6015,1508,1942,629,101,169,123905,3900,64621,3186,48368,3284,10547,1837,369,241
0500000US41071,41071,"Yamhill County, Oregon",26062,1584,2617,778,716,516,1366,643,452,290,83,127,23445,1550,12759,1278,7897,1093,2623,850,166,167
