GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With own children under 18 years:,Margin of Error; Total: - With own children under 18 years:,Estimate; Total: - With own children under 18 years: - Married-couple family:,Margin of Error; Total: - With own children under 18 years: - Married-couple family:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Wife in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Wife in labor force,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Wife not in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Wife not in labor force,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Estimate; Total: - With own children under 18 years: - Other family:,Margin of Error; Total: - With own children under 18 years: - Other family:,"Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force",Estimate; Total: - No children under 18 years:,Margin of Error; Total: - No children under 18 years:,Estimate; Total: - No children under 18 years: - Married-couple family:,Margin of Error; Total: - No children under 18 years: - Married-couple family:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Wife in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Wife in labor force,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Wife not in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Wife not in labor force,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Estimate; Total: - No children under 18 years: - Other family:,Margin of Error; Total: - No children under 18 years: - Other family:,"Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force"
0500000US41003,41003,"Benton County, Oregon",18147,1454,7762,1152,6406,946,5645,934,3958,779,1687,710,761,374,454,269,307,253,1356,741,125,205,0,200,125,205,1231,705,910,633,321,272,10385,1022,9158,984,5507,900,3670,740,1837,630,3651,611,586,261,3065,641,1227,495,564,349,118,139,446,330,663,392,333,259,330,296
0500000US41005,41005,"Clackamas County, Oregon",104013,3368,45785,2307,33768,2320,32355,2342,22181,2014,10174,1718,1413,646,973,469,440,404,12017,1918,2966,1051,2867,1062,99,117,9051,1535,7940,1499,1111,559,58228,2874,48864,2663,28335,2265,21549,1925,6786,1054,20435,1631,5030,1156,15405,1465,9364,1563,3385,1064,2270,964,1115,545,5979,1128,3209,837,2770,865
0500000US41017,41017,"Deschutes County, Oregon",40941,3029,15637,2087,10668,1679,9860,1606,7181,1433,2679,1015,599,398,400,273,199,241,4969,1396,1808,944,1364,790,444,489,3161,1167,3053,1158,108,139,25304,2294,21533,2195,9602,1765,6320,1209,3282,1193,11864,1348,2303,649,9561,1263,3771,1281,566,396,187,283,379,286,3205,1182,1795,923,1410,694
0500000US41019,41019,"Douglas County, Oregon",28750,1778,11345,1260,6591,1091,5724,1164,4092,1094,1632,658,867,506,635,500,232,204,4754,1314,1609,740,1368,704,241,242,3145,1075,2174,867,971,650,17405,1563,14751,1437,5676,1032,4030,995,1646,502,8930,1051,2385,777,6545,938,2654,989,1119,779,806,655,313,330,1535,602,548,315,987,454
0500000US41029,41029,"Jackson County, Oregon",53853,2535,20325,2002,12259,2037,11036,1906,7831,1704,3205,1040,1223,802,945,780,278,258,8066,1511,1796,745,1094,502,702,540,6270,1391,5136,1285,1134,665,33528,2122,28066,1948,14250,1846,10269,1626,3981,902,13727,1340,3633,845,10094,1374,5462,1139,1107,596,696,551,411,400,4355,998,2004,676,2351,821
0500000US41033,41033,"Josephine County, Oregon",21567,1808,6245,1220,4183,1110,3950,1093,2203,737,1747,735,233,195,233,195,0,200,2062,703,559,332,323,268,236,206,1503,638,812,381,691,507,15322,1403,11919,1257,4726,1030,2837,819,1889,712,7133,1115,1156,517,5977,1080,3403,1129,748,476,427,426,321,207,2655,999,1004,716,1651,789
0500000US41035,41035,"Klamath County, Oregon",17979,1612,7098,1239,4992,1086,4640,1032,3026,765,1614,589,273,211,185,193,88,108,2106,790,802,464,705,458,97,120,1304,630,1071,592,233,202,10881,1048,8817,1028,4411,877,2878,706,1533,512,4367,795,1116,481,3251,651,2064,656,738,417,470,372,268,243,1326,542,226,199,1100,488
0500000US41039,41039,"Lane County, Oregon",84801,2794,31821,2163,20585,2031,19083,1931,13663,1754,5420,1167,1502,625,540,332,962,529,11236,1589,2978,822,2588,738,390,388,8258,1262,6459,1222,1799,723,52980,2522,43445,2539,24380,2158,17530,1853,6850,1129,18779,1265,5174,738,13605,1213,9535,1354,2206,779,1471,670,735,369,7329,1182,3425,860,3904,926
0500000US41043,41043,"Linn County, Oregon",29589,1774,12387,1364,7599,1117,7096,1105,4726,971,2370,816,503,312,398,263,105,177,4788,1199,611,385,493,360,118,173,4177,1194,2648,951,1529,746,17202,1546,14195,1461,7596,1411,5609,1400,1987,562,6519,887,1246,426,5273,888,3007,782,1129,608,841,530,288,311,1878,598,831,413,1047,481
0500000US41047,41047,"Marion County, Oregon",77502,2745,36976,2284,23667,1988,22826,1911,16367,1736,6459,1295,841,424,512,315,329,273,13309,1850,3372,1213,3145,1208,227,255,9937,1864,8020,1759,1917,885,40526,2355,33114,2262,17705,1938,12101,1654,5604,992,15211,1679,4355,1210,10856,1210,7412,1383,2286,881,1456,692,830,494,5126,1250,2351,832,2775,933
0500000US41051,41051,"Multnomah County, Oregon",167374,4313,75055,3723,49333,3277,45842,3230,31969,2563,13873,1801,3279,953,2293,724,986,500,25722,3115,6870,1499,6640,1465,230,214,18852,2544,15299,2252,3553,1101,92319,3671,70572,3589,45656,3305,34762,2466,10894,1650,24469,1827,7391,1199,17078,1644,21747,1991,7815,1411,5139,1173,2676,929,13932,1649,8376,1445,5556,1095
0500000US41053,41053,"Polk County, Oregon",18810,1482,6919,1391,4084,995,3799,953,2849,896,950,471,285,303,276,303,9,17,2835,1046,254,286,254,286,0,200,2581,995,1775,793,806,664,11891,1322,10470,1220,6011,1057,4958,1061,1053,449,4322,788,955,412,3367,684,1421,673,631,489,563,478,68,85,790,424,471,349,319,241
