GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Under 6 years:
HD02_VD02,Margin of Error; Total: - Under 6 years:
HD01_VD03,Estimate; Total: - Under 6 years: - Living with two parents:
HD02_VD03,Margin of Error; Total: - Under 6 years: - Living with two parents:
HD01_VD04,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force
HD02_VD04,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents in labor force
HD01_VD05,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force
HD02_VD05,Margin of Error; Total: - Under 6 years: - Living with two parents: - Father only in labor force
HD01_VD06,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force
HD02_VD06,Margin of Error; Total: - Under 6 years: - Living with two parents: - Mother only in labor force
HD01_VD07,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force
HD02_VD07,Margin of Error; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force
HD01_VD08,Estimate; Total: - Under 6 years: - Living with one parent:
HD02_VD08,Margin of Error; Total: - Under 6 years: - Living with one parent:
HD01_VD09,Estimate; Total: - Under 6 years: - Living with one parent: - In labor force
HD02_VD09,Margin of Error; Total: - Under 6 years: - Living with one parent: - In labor force
HD01_VD10,Estimate; Total: - Under 6 years: - Living with one parent: - Not in labor force
HD02_VD10,Margin of Error; Total: - Under 6 years: - Living with one parent: - Not in labor force
HD01_VD11,Estimate; Total: - 6 to 17 years:
HD02_VD11,Margin of Error; Total: - 6 to 17 years:
HD01_VD12,Estimate; Total: - 6 to 17 years: - Living with two parents:
HD02_VD12,Margin of Error; Total: - 6 to 17 years: - Living with two parents:
HD01_VD13,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force
HD02_VD13,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force
HD01_VD14,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force
HD02_VD14,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force
HD01_VD15,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force
HD02_VD15,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force
HD01_VD16,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force
HD02_VD16,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force
HD01_VD17,Estimate; Total: - 6 to 17 years: - Living with one parent:
HD02_VD17,Margin of Error; Total: - 6 to 17 years: - Living with one parent:
HD01_VD18,Estimate; Total: - 6 to 17 years: - Living with one parent: - In labor force
HD02_VD18,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - In labor force
HD01_VD19,Estimate; Total: - 6 to 17 years: - Living with one parent: - Not in labor force
HD02_VD19,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Not in labor force
