GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With related children under 18 years:,Margin of Error; Married-couple family: - With related children under 18 years:,Estimate; Married-couple family: - With related children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With related children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With related children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With related children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With related children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With related children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No related children under 18 years,Margin of Error; Married-couple family: - No related children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With related children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With related children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With related children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With related children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With related children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With related children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With related children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With related children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No related children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No related children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With related children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With related children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With related children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With related children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With related children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With related children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With related children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With related children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No related children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No related children under 18 years"
0500000US41001,41001,"Baker County, Oregon",4603,238,3792,243,1145,157,259,82,217,88,669,112,2647,179,811,164,196,80,103,60,5,7,32,35,66,48,93,59,615,128,442,116,127,66,76,64,239,79,173,62
0500000US41003,41003,"Benton County, Oregon",18698,502,15325,536,5824,357,1406,211,1377,217,3041,280,9501,388,3373,347,846,182,465,140,101,87,18,23,346,125,381,120,2527,301,1551,271,274,120,302,127,975,204,976,180
0500000US41005,41005,"Clackamas County, Oregon",101963,1101,81180,1175,34103,919,6892,664,7132,460,20079,871,47077,916,20783,820,6457,558,3713,451,588,178,667,211,2458,354,2744,324,14326,653,9686,660,2067,331,1261,286,6358,575,4640,467
0500000US41007,41007,"Clatsop County, Oregon",9878,425,7546,393,2659,267,711,166,531,142,1417,180,4887,347,2332,277,634,177,469,154,165,115,78,64,226,80,165,77,1698,256,1102,198,230,108,263,98,609,142,596,142
0500000US41009,41009,"Columbia County, Oregon",13725,409,10862,432,3948,296,812,208,790,145,2346,270,6914,368,2863,360,859,204,598,193,79,55,78,64,441,150,261,98,2004,301,1360,227,319,108,257,103,784,172,644,175
0500000US41011,41011,"Coos County, Oregon",15899,626,12294,611,3737,388,743,199,683,176,2311,319,8557,464,3605,442,1059,213,495,159,58,40,118,82,319,132,564,169,2546,369,1607,297,394,159,274,117,939,207,939,200
0500000US41013,41013,"Crook County, Oregon",6041,312,4901,300,1664,208,279,115,427,123,958,170,3237,241,1140,213,420,144,221,109,53,53,49,56,119,74,199,104,720,170,513,154,142,77,15,23,356,143,207,90
0500000US41015,41015,"Curry County, Oregon",6164,473,5066,490,1070,254,263,145,234,118,573,217,3996,394,1098,249,434,180,366,162,9,10,127,103,230,134,68,49,664,167,376,128,95,70,28,26,253,116,288,106
0500000US41017,41017,"Deschutes County, Oregon",43353,933,34757,844,13241,649,2827,332,2889,392,7525,546,21516,751,8596,696,2870,419,1961,331,686,228,317,149,958,278,909,289,5726,572,3919,489,1017,248,516,205,2386,379,1807,340
