GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple subfamily:,Margin of Error; Married-couple subfamily:,Estimate; Married-couple subfamily: - With own children under 18 years,Margin of Error; Married-couple subfamily: - With own children under 18 years,Estimate; Married-couple subfamily: - No own children under 18 years,Margin of Error; Married-couple subfamily: - No own children under 18 years,Estimate; Mother-child subfamily,Margin of Error; Mother-child subfamily,Estimate; Father-child subfamily,Margin of Error; Father-child subfamily
0500000US41001,41001,"Baker County, Oregon",57,45,30,39,0,19,30,39,21,22,6,7
0500000US41003,41003,"Benton County, Oregon",307,90,122,59,34,22,88,52,171,66,14,19
0500000US41005,41005,"Clackamas County, Oregon",3698,419,1784,290,1026,210,758,202,1483,233,431,130
0500000US41007,41007,"Clatsop County, Oregon",504,148,131,69,96,67,35,29,314,124,59,59
0500000US41009,41009,"Columbia County, Oregon",506,132,186,69,69,41,117,55,263,112,57,50
0500000US41011,41011,"Coos County, Oregon",775,206,240,109,82,62,158,84,391,134,144,80
0500000US41013,41013,"Crook County, Oregon",242,104,40,31,32,31,8,13,146,91,56,46
0500000US41015,41015,"Curry County, Oregon",250,157,44,43,0,22,44,43,189,152,17,25
0500000US41017,41017,"Deschutes County, Oregon",917,191,365,131,162,105,203,95,464,144,88,66
0500000US41019,41019,"Douglas County, Oregon",1075,195,424,133,211,95,213,96,497,138,154,93
0500000US41021,41021,"Gilliam County, Oregon",16,14,3,4,0,12,3,4,7,11,6,8
0500000US41023,41023,"Grant County, Oregon",46,28,3,6,0,17,3,6,21,14,22,24
0500000US41025,41025,"Harney County, Oregon",52,34,17,21,0,17,17,21,35,28,0,17
0500000US41027,41027,"Hood River County, Oregon",182,81,81,59,46,45,35,40,64,45,37,38
0500000US41029,41029,"Jackson County, Oregon",2002,276,668,161,314,114,354,136,1061,220,273,117
0500000US41031,41031,"Jefferson County, Oregon",455,137,107,60,27,24,80,53,209,102,139,91
0500000US41033,41033,"Josephine County, Oregon",821,196,325,106,212,96,113,63,382,131,114,82
0500000US41035,41035,"Klamath County, Oregon",867,187,217,89,114,64,103,56,486,169,164,66
0500000US41037,41037,"Lake County, Oregon",13,15,4,5,0,17,4,5,9,14,0,17
0500000US41039,41039,"Lane County, Oregon",3181,474,896,198,368,136,528,141,1722,345,563,180
0500000US41041,41041,"Lincoln County, Oregon",511,170,77,47,15,18,62,44,400,155,34,30
0500000US41043,41043,"Linn County, Oregon",1084,214,437,137,223,91,214,109,508,147,139,66
0500000US41045,41045,"Malheur County, Oregon",364,103,84,37,76,37,8,8,185,72,95,55
0500000US41047,41047,"Marion County, Oregon",3428,432,1132,273,384,121,748,233,1912,298,384,133
0500000US41049,41049,"Morrow County, Oregon",146,65,36,26,9,10,27,23,68,44,42,38
0500000US41051,41051,"Multnomah County, Oregon",6383,525,2389,295,1025,190,1364,249,3350,429,644,168
0500000US41053,41053,"Polk County, Oregon",666,160,275,93,91,55,184,75,316,127,75,55
0500000US41055,41055,"Sherman County, Oregon",13,10,3,5,3,5,0,12,10,8,0,12
0500000US41057,41057,"Tillamook County, Oregon",203,80,67,46,36,28,31,30,110,62,26,30
0500000US41059,41059,"Umatilla County, Oregon",831,188,257,101,147,81,110,75,426,143,148,94
0500000US41061,41061,"Union County, Oregon",149,56,41,26,21,21,20,15,79,40,29,22
0500000US41063,41063,"Wallowa County, Oregon",36,26,12,9,5,6,7,8,17,20,7,6
0500000US41065,41065,"Wasco County, Oregon",337,120,97,51,51,44,46,34,175,79,65,64
0500000US41067,41067,"Washington County, Oregon",4316,480,1797,286,951,217,846,182,1993,325,526,166
0500000US41069,41069,"Wheeler County, Oregon",5,5,0,12,0,12,0,12,3,4,2,3
0500000US41071,41071,"Yamhill County, Oregon",1110,215,431,124,242,105,189,77,560,144,119,58
