GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In married-couple subfamilies:,Margin of Error; In married-couple subfamilies:,Estimate; In married-couple subfamilies: - Husband/wife in a childless subfamily,Margin of Error; In married-couple subfamilies: - Husband/wife in a childless subfamily,Estimate; In married-couple subfamilies: - Husband/wife in a subfamily with children,Margin of Error; In married-couple subfamilies: - Husband/wife in a subfamily with children,Estimate; In married-couple subfamilies: - Child,Margin of Error; In married-couple subfamilies: - Child,Estimate; In mother-child subfamilies:,Margin of Error; In mother-child subfamilies:,Estimate; In mother-child subfamilies: - Parent,Margin of Error; In mother-child subfamilies: - Parent,Estimate; In mother-child subfamilies: - Child,Margin of Error; In mother-child subfamilies: - Child,Estimate; In father-child subfamilies:,Margin of Error; In father-child subfamilies:,Estimate; In father-child subfamilies: - Parent,Margin of Error; In father-child subfamilies: - Parent,Estimate; In father-child subfamilies: - Child,Margin of Error; In father-child subfamilies: - Child
0500000US41001,41001,"Baker County, Oregon",129,85,45,52,45,52,0,19,0,19,58,65,20,22,38,47,26,29,7,9,19,23
0500000US41003,41003,"Benton County, Oregon",1082,383,608,327,303,181,113,65,192,139,419,161,228,94,191,76,55,71,21,28,34,43
0500000US41005,41005,"Clackamas County, Oregon",11485,1293,6229,1007,1792,491,2327,458,2110,505,4132,677,1797,276,2335,440,1124,339,510,157,614,204
0500000US41007,41007,"Clatsop County, Oregon",1305,343,470,251,88,76,188,129,194,132,705,238,313,108,392,142,130,133,54,56,76,82
0500000US41009,41009,"Columbia County, Oregon",1477,379,655,251,332,158,181,108,142,89,707,312,300,125,407,196,115,107,60,55,55,54
0500000US41011,41011,"Coos County, Oregon",2484,585,816,352,496,243,208,156,112,89,1236,393,547,165,689,248,432,234,209,115,223,127
0500000US41013,41013,"Crook County, Oregon",575,248,148,133,14,23,63,67,71,73,281,163,138,85,143,87,146,122,55,49,91,79
0500000US41015,41015,"Curry County, Oregon",707,390,101,114,101,114,0,22,0,22,568,380,238,170,330,226,38,59,22,33,16,27
0500000US41017,41017,"Deschutes County, Oregon",2741,594,1221,484,522,245,443,282,256,162,1298,396,599,179,699,245,222,163,113,82,109,85
0500000US41019,41019,"Douglas County, Oregon",3548,637,1655,547,570,250,570,261,515,250,1428,380,659,185,769,213,465,254,220,116,245,146
0500000US41021,41021,"Gilliam County, Oregon",39,30,8,12,8,12,0,12,0,12,15,21,8,12,7,9,16,17,10,11,6,7
0500000US41023,41023,"Grant County, Oregon",131,70,12,14,12,14,0,17,0,17,58,40,29,24,29,20,61,55,34,32,27,26
0500000US41025,41025,"Harney County, Oregon",127,95,31,44,31,44,0,17,0,17,96,76,47,38,49,46,0,17,0,17,0,17
