GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Family households:
HD02_VD02,Margin of Error; Family households:
HD01_VD03,Estimate; Family households: - 2-person household
HD02_VD03,Margin of Error; Family households: - 2-person household
HD01_VD04,Estimate; Family households: - 3-person household
HD02_VD04,Margin of Error; Family households: - 3-person household
HD01_VD05,Estimate; Family households: - 4-person household
HD02_VD05,Margin of Error; Family households: - 4-person household
HD01_VD06,Estimate; Family households: - 5-person household
HD02_VD06,Margin of Error; Family households: - 5-person household
HD01_VD07,Estimate; Family households: - 6-person household
HD02_VD07,Margin of Error; Family households: - 6-person household
HD01_VD08,Estimate; Family households: - 7-or-more person household
HD02_VD08,Margin of Error; Family households: - 7-or-more person household
HD01_VD09,Estimate; Nonfamily households:
HD02_VD09,Margin of Error; Nonfamily households:
HD01_VD10,Estimate; Nonfamily households: - 1-person household
HD02_VD10,Margin of Error; Nonfamily households: - 1-person household
HD01_VD11,Estimate; Nonfamily households: - 2-person household
HD02_VD11,Margin of Error; Nonfamily households: - 2-person household
HD01_VD12,Estimate; Nonfamily households: - 3-person household
HD02_VD12,Margin of Error; Nonfamily households: - 3-person household
HD01_VD13,Estimate; Nonfamily households: - 4-person household
HD02_VD13,Margin of Error; Nonfamily households: - 4-person household
HD01_VD14,Estimate; Nonfamily households: - 5-person household
HD02_VD14,Margin of Error; Nonfamily households: - 5-person household
HD01_VD15,Estimate; Nonfamily households: - 6-person household
HD02_VD15,Margin of Error; Nonfamily households: - 6-person household
HD01_VD16,Estimate; Nonfamily households: - 7-or-more person household
HD02_VD16,Margin of Error; Nonfamily households: - 7-or-more person household
