GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below the poverty level:,Margin of Error; Income in the past 12 months below the poverty level:,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school:,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school:,"Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in kindergarten,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in kindergarten,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 1 to grade 4,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 1 to grade 4,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 5 to grade 8,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 5 to grade 8,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 9 to grade 12,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in grade 9 to grade 12,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in college undergraduate years,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in college undergraduate years,Estimate; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in graduate or professional school,Margin of Error; Income in the past 12 months below the poverty level: - Enrolled in school: - Enrolled in graduate or professional school,Estimate; Income in the past 12 months below the poverty level: - Not enrolled in school,Margin of Error; Income in the past 12 months below the poverty level: - Not enrolled in school,Estimate; Income in the past 12 months at or above the poverty level:,Margin of Error; Income in the past 12 months at or above the poverty level:,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school:,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school:,"Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in nursery school, preschool","Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in nursery school, preschool",Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in kindergarten,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in kindergarten,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 1 to grade 4,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 1 to grade 4,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 5 to grade 8,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 5 to grade 8,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 9 to grade 12,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in grade 9 to grade 12,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in college undergraduate years,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in college undergraduate years,Estimate; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in graduate or professional school,Margin of Error; Income in the past 12 months at or above the poverty level: - Enrolled in school: - Enrolled in graduate or professional school,Estimate; Income in the past 12 months at or above the poverty level: - Not enrolled in school,Margin of Error; Income in the past 12 months at or above the poverty level: - Not enrolled in school
0500000US41001,41001,"Baker County, Oregon",15083,131,2607,371,841,163,74,46,46,51,224,94,132,58,214,73,151,69,0,19,1766,281,12476,392,2455,238,147,61,103,48,422,84,573,93,617,96,482,129,111,66,10021,280
0500000US41003,41003,"Benton County, Oregon",78742,506,17716,984,11346,769,172,90,170,87,452,146,580,175,329,110,8576,604,1067,213,6370,648,61026,1008,16586,740,999,202,654,156,2541,267,3002,287,3260,198,3977,521,2153,358,44440,730
0500000US41005,41005,"Clackamas County, Oregon",365984,514,35200,1849,11334,1070,443,173,695,202,2541,451,2091,385,2288,349,2932,400,344,157,23866,1265,330784,1969,80181,1484,4926,520,4055,500,16936,788,17705,813,18980,519,14599,825,2980,394,250603,1760
0500000US41007,41007,"Clatsop County, Oregon",35121,246,5574,702,1945,391,91,72,166,82,558,140,369,106,292,130,409,152,60,54,3629,489,29547,764,5855,418,464,144,337,131,976,137,1137,188,1553,163,1193,230,195,79,23692,596
0500000US41009,41009,"Columbia County, Oregon",47367,212,6149,809,1847,358,146,95,134,59,436,163,430,164,305,122,390,123,6,12,4302,551,41218,843,9308,487,534,121,365,120,2205,258,2133,243,2648,236,1303,224,120,58,31910,601
0500000US41011,41011,"Coos County, Oregon",59806,244,10420,836,2260,454,200,165,244,111,525,164,379,124,511,136,380,240,21,24,8160,648,49386,889,8933,534,559,148,477,121,2141,279,1813,289,2318,249,1370,283,255,105,40453,716
0500000US41013,41013,"Crook County, Oregon",20046,135,3780,536,1347,319,78,57,104,83,291,124,257,108,357,135,209,101,51,48,2433,317,16266,551,2962,355,181,67,201,99,656,141,625,156,836,176,350,145,113,73,13304,385
0500000US41015,41015,"Curry County, Oregon",21687,122,3193,651,628,266,39,53,131,102,124,82,68,61,171,124,78,81,17,27,2565,479,18494,628,2821,329,150,85,200,104,805,186,539,149,643,148,348,159,136,74,15673,481
0500000US41017,41017,"Deschutes County, Oregon",154211,420,22066,1863,8377,1086,198,106,561,201,1707,360,1873,584,1401,363,2540,541,97,71,13689,1199,132145,1821,29402,1242,1818,270,1385,313,6149,539,6722,633,6161,476,6212,688,955,244,102743,1363
