GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,"Estimate; Income in the past 12 months below poverty level: - Male: - Worked full time, year-round","Margin of Error; Income in the past 12 months below poverty level: - Male: - Worked full time, year-round",Estimate; Income in the past 12 months below poverty level: - Male: - Worked part-time or part-year,Margin of Error; Income in the past 12 months below poverty level: - Male: - Worked part-time or part-year,Estimate; Income in the past 12 months below poverty level: - Male: - Did not work,Margin of Error; Income in the past 12 months below poverty level: - Male: - Did not work,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,"Estimate; Income in the past 12 months below poverty level: - Female: - Worked full time, year-round","Margin of Error; Income in the past 12 months below poverty level: - Female: - Worked full time, year-round",Estimate; Income in the past 12 months below poverty level: - Female: - Worked part-time or part-year,Margin of Error; Income in the past 12 months below poverty level: - Female: - Worked part-time or part-year,Estimate; Income in the past 12 months below poverty level: - Female: - Did not work,Margin of Error; Income in the past 12 months below poverty level: - Female: - Did not work,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,"Estimate; Income in the past 12 months at or above poverty level: - Male: - Worked full time, year-round","Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Worked full time, year-round",Estimate; Income in the past 12 months at or above poverty level: - Male: - Worked part-time or part-year,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Worked part-time or part-year,Estimate; Income in the past 12 months at or above poverty level: - Male: - Did not work,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Did not work,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,"Estimate; Income in the past 12 months at or above poverty level: - Female: - Worked full time, year-round","Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Worked full time, year-round",Estimate; Income in the past 12 months at or above poverty level: - Female: - Worked part-time or part-year,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Worked part-time or part-year,Estimate; Income in the past 12 months at or above poverty level: - Female: - Did not work,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Did not work
0500000US41001,41001,"Baker County, Oregon",12906,134,1940,291,827,156,45,34,353,110,429,117,1113,190,117,60,434,114,562,156,10966,298,5495,171,2282,195,1223,201,1990,147,5471,193,1548,172,1651,192,2272,130
0500000US41003,41003,"Benton County, Oregon",67906,395,15950,829,7906,546,448,157,4374,490,3084,442,8044,543,399,185,4799,501,2846,370,51956,797,25923,540,12168,425,6909,506,6846,419,26033,561,8453,464,8938,551,8642,420
0500000US41005,41005,"Clackamas County, Oregon",302202,516,27618,1334,12265,837,1262,302,5073,552,5930,574,15353,809,659,203,5055,540,9639,893,274584,1471,134669,946,70659,1210,30615,1028,33395,901,139915,897,46995,1289,41658,1328,51262,1097
0500000US41007,41007,"Clatsop County, Oregon",29978,195,4187,552,1757,335,310,127,800,252,647,224,2430,295,140,78,972,232,1318,259,25791,553,12931,335,5366,302,3986,346,3579,263,12860,318,3766,311,4502,392,4592,290
0500000US41009,41009,"Columbia County, Oregon",38837,187,4513,567,1885,318,107,71,666,179,1112,269,2628,362,69,37,934,210,1625,304,34324,598,17291,358,7660,458,3995,331,5636,375,17033,370,5577,386,4927,362,6529,398
0500000US41011,41011,"Coos County, Oregon",51581,214,8700,665,4210,428,208,103,1862,387,2140,323,4490,447,136,69,1594,273,2760,326,42881,691,20830,399,7919,523,4722,427,8189,412,22051,479,6367,478,5859,555,9825,534
0500000US41013,41013,"Crook County, Oregon",16923,96,2855,376,1055,219,48,53,446,165,561,160,1800,232,80,55,560,162,1160,194,14068,385,7254,236,2852,245,1721,259,2681,218,6814,236,1936,265,1672,223,3206,244
0500000US41015,41015,"Curry County, Oregon",19165,156,2754,534,1137,315,86,62,341,143,710,252,1617,323,65,47,550,168,1002,258,16411,556,8150,324,2591,329,1684,261,3875,237,8261,381,2404,276,1937,277,3920,312
0500000US41017,41017,"Deschutes County, Oregon",127893,329,16505,1283,7688,763,648,238,3099,465,3941,572,8817,815,379,159,3733,631,4705,517,111388,1362,54635,779,23815,913,14981,955,15839,695,56753,894,17352,757,18596,977,20805,804
