GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,Estimate; Income in the past 12 months below poverty level: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years"
0500000US41001,41001,"Baker County, Oregon",18,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,18,17,18,17,10,12,0,19,10,12,0,19,8,15,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US41003,41003,"Benton County, Oregon",728,103,132,75,78,60,66,56,51,57,0,28,15,23,12,18,54,46,39,41,0,28,0,28,0,28,0,28,39,41,15,18,0,28,0,28,0,28,0,28,15,18,596,83,547,83,267,89,50,39,53,41,164,61,280,94,49,31,21,24,21,24,0,28,0,28,21,24,0,28,28,23,0,28,0,28,0,28,0,28,28,23
0500000US41005,41005,"Clackamas County, Oregon",3600,283,155,83,88,68,78,67,0,28,0,28,78,67,10,17,67,51,0,28,0,28,0,28,0,28,0,28,0,28,67,51,67,51,8,12,0,28,59,50,0,28,3445,294,2817,288,1455,209,256,106,217,89,982,187,1362,218,628,190,282,131,78,73,0,28,0,28,78,73,204,106,346,123,273,119,60,84,35,41,178,78,73,54
0500000US41007,41007,"Clatsop County, Oregon",168,60,31,39,14,23,0,25,0,25,0,25,0,25,14,23,17,31,0,25,0,25,0,25,0,25,0,25,0,25,17,31,17,31,0,25,0,25,17,31,0,25,137,54,87,55,42,38,11,18,0,25,31,29,45,39,50,45,18,29,18,29,0,25,0,25,18,29,0,25,32,35,0,25,0,25,0,25,0,25,32,35
0500000US41009,41009,"Columbia County, Oregon",150,47,6,10,6,10,6,10,6,10,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,144,47,101,37,75,29,11,23,0,25,64,31,26,24,43,40,13,22,13,22,0,25,0,25,13,22,0,25,30,31,9,14,0,25,0,25,9,14,21,30
0500000US41011,41011,"Coos County, Oregon",148,75,8,13,8,13,8,13,0,28,8,13,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,140,72,131,71,63,50,41,48,9,14,13,23,68,52,9,14,0,28,0,28,0,28,0,28,0,28,0,28,9,14,0,28,0,28,0,28,0,28,9,14
0500000US41013,41013,"Crook County, Oregon",0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22
0500000US41015,41015,"Curry County, Oregon",34,58,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,34,58,23,44,0,22,0,22,0,22,0,22,23,44,11,25,11,25,11,25,0,22,0,22,11,25,0,22,0,22,0,22,0,22,0,22,0,22,0,22
0500000US41017,41017,"Deschutes County, Oregon",332,125,86,63,38,39,27,34,0,28,0,28,27,34,11,18,48,55,19,33,19,33,19,33,0,28,0,28,0,28,29,44,29,44,0,28,0,28,29,44,0,28,246,128,196,114,101,86,15,25,78,81,8,12,95,65,50,52,0,28,0,28,0,28,0,28,0,28,0,28,50,52,39,49,0,28,0,28,39,49,11,19
