GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No own child,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - No own child,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - 1 or 2 own children,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - 1 or 2 own children,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - 3 or 4 own children,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - 3 or 4 own children,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - 5 or more own children,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - 5 or more own children,Estimate; Income in the past 12 months below poverty level: - Other families:,Margin of Error; Income in the past 12 months below poverty level: - Other families:,"Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - No own child","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - No own child","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 1 or 2 own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 1 or 2 own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 3 or 4 own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 3 or 4 own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 5 or more own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 5 or more own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - No own child","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - No own child","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 1 or 2 own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 1 or 2 own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 3 or 4 own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 3 or 4 own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 5 or more own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 5 or more own children",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No own child,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - No own child,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - 1 or 2 own children,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - 1 or 2 own children,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - 3 or 4 own children,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - 3 or 4 own children,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - 5 or more own children,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - 5 or more own children,Estimate; Income in the past 12 months at or above poverty level: - Other families:,Margin of Error; Income in the past 12 months at or above poverty level: - Other families:,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - No own child","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - No own child","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 1 or 2 own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 1 or 2 own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 3 or 4 own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 3 or 4 own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 5 or more own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 5 or more own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - No own child","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - No own child","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 1 or 2 own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 1 or 2 own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 3 or 4 own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 3 or 4 own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 5 or more own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 5 or more own children"
0500000US41001,41001,"Baker County, Oregon",4603,238,540,123,186,67,93,49,48,31,34,36,11,17,354,111,45,43,4,8,14,23,27,34,0,19,309,90,22,17,265,90,15,19,7,16,4063,215,3606,236,2603,185,735,132,240,68,28,20,457,118,151,65,89,57,62,43,0,19,0,19,306,93,162,58,121,62,23,27,0,19
0500000US41003,41003,"Benton County, Oregon",18698,502,1779,262,767,178,326,97,268,101,130,75,43,43,1012,211,235,86,152,74,83,53,0,28,0,28,777,180,217,89,461,154,99,83,0,28,16919,462,14558,500,9404,370,4119,332,950,169,85,49,2361,287,611,166,273,107,317,124,21,24,0,28,1750,244,890,185,777,186,83,75,0,28
0500000US41005,41005,"Clackamas County, Oregon",101963,1101,6930,539,2975,355,1155,237,1258,311,542,192,20,30,3955,438,739,239,178,96,411,185,150,99,0,28,3216,382,558,188,2289,351,329,121,40,45,95033,1117,78205,1168,47629,938,23910,917,6186,517,480,163,16828,831,5718,531,2789,324,2724,440,205,104,0,28,11110,647,5476,513,5015,532,567,170,52,78
0500000US41007,41007,"Clatsop County, Oregon",9878,425,1321,231,492,143,235,100,148,75,109,69,0,25,829,188,145,105,32,28,84,95,29,27,0,25,684,182,101,70,431,139,137,72,15,23,8557,404,7054,412,4924,334,1782,262,348,109,0,25,1503,223,489,142,157,68,277,101,55,52,0,25,1014,174,641,151,342,88,31,36,0,25
0500000US41009,41009,"Columbia County, Oregon",13725,409,1272,230,464,133,152,64,187,102,106,64,19,21,808,199,142,80,0,25,132,76,10,16,0,25,666,179,115,60,376,137,145,79,30,44,12453,386,10398,444,7054,362,2662,286,654,140,28,26,2055,282,717,162,300,105,376,128,41,40,0,25,1338,229,651,169,580,153,107,54,0,25
0500000US41011,41011,"Coos County, Oregon",15899,626,1789,286,767,154,444,110,206,89,113,70,4,10,1022,230,183,84,93,76,87,73,3,7,0,28,839,207,281,133,401,151,136,100,21,25,14110,592,11527,576,8459,469,2499,341,547,157,22,20,2583,392,876,206,567,172,204,80,93,77,12,19,1707,299,1050,193,644,218,13,22,0,28
0500000US41013,41013,"Crook County, Oregon",6041,312,881,197,555,179,194,105,214,96,147,86,0,22,326,118,68,48,9,14,41,37,18,28,0,22,258,108,49,53,176,92,33,33,0,22,5160,263,4346,252,3195,209,986,166,140,75,25,27,814,187,352,135,206,104,144,95,2,4,0,22,462,144,279,106,177,112,6,10,0,22
0500000US41015,41015,"Curry County, Oregon",6164,473,478,162,147,81,58,56,39,28,50,60,0,22,331,131,50,53,0,22,50,53,0,22,0,22,281,120,100,67,158,99,23,21,0,22,5686,500,4919,487,4038,401,736,231,99,66,46,45,767,203,384,162,157,110,184,139,43,29,0,22,383,114,292,107,91,52,0,22,0,22
0500000US41017,41017,"Deschutes County, Oregon",43353,933,4689,546,2320,445,1102,264,570,177,595,244,53,68,2369,375,752,208,90,84,558,179,104,93,0,28,1617,316,347,149,979,256,279,127,12,18,38664,1014,32437,843,20914,775,9417,645,1775,326,331,165,6227,618,2118,406,905,284,1060,251,153,116,0,28,4109,447,2020,315,2016,337,73,71,0,28
