GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Householder under 25 years:,Margin of Error; Householder under 25 years:,"Estimate; Householder under 25 years: - Less than $10,000","Margin of Error; Householder under 25 years: - Less than $10,000","Estimate; Householder under 25 years: - $10,000 to $14,999","Margin of Error; Householder under 25 years: - $10,000 to $14,999","Estimate; Householder under 25 years: - $15,000 to $19,999","Margin of Error; Householder under 25 years: - $15,000 to $19,999","Estimate; Householder under 25 years: - $20,000 to $24,999","Margin of Error; Householder under 25 years: - $20,000 to $24,999","Estimate; Householder under 25 years: - $25,000 to $29,999","Margin of Error; Householder under 25 years: - $25,000 to $29,999","Estimate; Householder under 25 years: - $30,000 to $34,999","Margin of Error; Householder under 25 years: - $30,000 to $34,999","Estimate; Householder under 25 years: - $35,000 to $39,999","Margin of Error; Householder under 25 years: - $35,000 to $39,999","Estimate; Householder under 25 years: - $40,000 to $44,999","Margin of Error; Householder under 25 years: - $40,000 to $44,999","Estimate; Householder under 25 years: - $45,000 to $49,999","Margin of Error; Householder under 25 years: - $45,000 to $49,999","Estimate; Householder under 25 years: - $50,000 to $59,999","Margin of Error; Householder under 25 years: - $50,000 to $59,999","Estimate; Householder under 25 years: - $60,000 to $74,999","Margin of Error; Householder under 25 years: - $60,000 to $74,999","Estimate; Householder under 25 years: - $75,000 to $99,999","Margin of Error; Householder under 25 years: - $75,000 to $99,999","Estimate; Householder under 25 years: - $100,000 to $124,999","Margin of Error; Householder under 25 years: - $100,000 to $124,999","Estimate; Householder under 25 years: - $125,000 to $149,999","Margin of Error; Householder under 25 years: - $125,000 to $149,999","Estimate; Householder under 25 years: - $150,000 to $199,999","Margin of Error; Householder under 25 years: - $150,000 to $199,999","Estimate; Householder under 25 years: - $200,000 or more","Margin of Error; Householder under 25 years: - $200,000 or more",Estimate; Householder 25 to 44 years:,Margin of Error; Householder 25 to 44 years:,"Estimate; Householder 25 to 44 years: - Less than $10,000","Margin of Error; Householder 25 to 44 years: - Less than $10,000","Estimate; Householder 25 to 44 years: - $10,000 to $14,999","Margin of Error; Householder 25 to 44 years: - $10,000 to $14,999","Estimate; Householder 25 to 44 years: - $15,000 to $19,999","Margin of Error; Householder 25 to 44 years: - $15,000 to $19,999","Estimate; Householder 25 to 44 years: - $20,000 to $24,999","Margin of Error; Householder 25 to 44 years: - $20,000 to $24,999","Estimate; Householder 25 to 44 years: - $25,000 to $29,999","Margin of Error; Householder 25 to 44 years: - $25,000 to $29,999","Estimate; Householder 25 to 44 years: - $30,000 to $34,999","Margin of Error; Householder 25 to 44 years: - $30,000 to $34,999","Estimate; Householder 25 to 44 years: - $35,000 to $39,999","Margin of Error; Householder 25 to 44 years: - $35,000 to $39,999","Estimate; Householder 25 to 44 years: - $40,000 to $44,999","Margin of Error; Householder 25 to 44 years: - $40,000 to $44,999","Estimate; Householder 25 to 44 years: - $45,000 to $49,999","Margin of Error; Householder 25 to 44 years: - $45,000 to $49,999","Estimate; Householder 25 to 44 years: - $50,000 to $59,999","Margin of Error; Householder 25 to 44 years: - $50,000 to $59,999","Estimate; Householder 25 to 44 years: - $60,000 to $74,999","Margin of Error; Householder 25 to 44 years: - $60,000 to $74,999","Estimate; Householder 25 to 44 years: - $75,000 to $99,999","Margin of Error; Householder 25 to 44 years: - $75,000 to $99,999","Estimate; Householder 25 to 44 years: - $100,000 to $124,999","Margin of Error; Householder 25 to 44 years: - $100,000 to $124,999","Estimate; Householder 25 to 44 years: - $125,000 to $149,999","Margin of Error; Householder 25 to 44 years: - $125,000 to $149,999","Estimate; Householder 25 to 44 years: - $150,000 to $199,999","Margin of Error; Householder 25 to 44 years: - $150,000 to $199,999","Estimate; Householder 25 to 44 years: - $200,000 or more","Margin of Error; Householder 25 to 44 years: - $200,000 or more",Estimate; Householder 45 to 64 years:,Margin of Error; Householder 45 to 64 years:,"Estimate; Householder 45 to 64 years: - Less than $10,000","Margin of Error; Householder 45 to 64 years: - Less than $10,000","Estimate; Householder 45 to 64 years: - $10,000 to $14,999","Margin of Error; Householder 45 to 64 years: - $10,000 to $14,999","Estimate; Householder 45 to 64 years: - $15,000 to $19,999","Margin of Error; Householder 45 to 64 years: - $15,000 to $19,999","Estimate; Householder 45 to 64 years: - $20,000 to $24,999","Margin of Error; Householder 45 to 64 years: - $20,000 to $24,999","Estimate; Householder 45 to 64 years: - $25,000 to $29,999","Margin of Error; Householder 45 to 64 years: - $25,000 to $29,999","Estimate; Householder 45 to 64 years: - $30,000 to $34,999","Margin of Error; Householder 45 to 64 years: - $30,000 to $34,999","Estimate; Householder 45 to 64 years: - $35,000 to $39,999","Margin of Error; Householder 45 to 64 years: - $35,000 to $39,999","Estimate; Householder 45 to 64 years: - $40,000 to $44,999","Margin of Error; Householder 45 to 64 years: - $40,000 to $44,999","Estimate; Householder 45 to 64 years: - $45,000 to $49,999","Margin of Error; Householder 45 to 64 years: - $45,000 to $49,999","Estimate; Householder 45 to 64 years: - $50,000 to $59,999","Margin of Error; Householder 45 to 64 years: - $50,000 to $59,999","Estimate; Householder 45 to 64 years: - $60,000 to $74,999","Margin of Error; Householder 45 to 64 years: - $60,000 to $74,999","Estimate; Householder 45 to 64 years: - $75,000 to $99,999","Margin of Error; Householder 45 to 64 years: - $75,000 to $99,999","Estimate; Householder 45 to 64 years: - $100,000 to $124,999","Margin of Error; Householder 45 to 64 years: - $100,000 to $124,999","Estimate; Householder 45 to 64 years: - $125,000 to $149,999","Margin of Error; Householder 45 to 64 years: - $125,000 to $149,999","Estimate; Householder 45 to 64 years: - $150,000 to $199,999","Margin of Error; Householder 45 to 64 years: - $150,000 to $199,999","Estimate; Householder 45 to 64 years: - $200,000 or more","Margin of Error; Householder 45 to 64 years: - $200,000 or more",Estimate; Householder 65 years and over:,Margin of Error; Householder 65 years and over:,"Estimate; Householder 65 years and over: - Less than $10,000","Margin of Error; Householder 65 years and over: - Less than $10,000","Estimate; Householder 65 years and over: - $10,000 to $14,999","Margin of Error; Householder 65 years and over: - $10,000 to $14,999","Estimate; Householder 65 years and over: - $15,000 to $19,999","Margin of Error; Householder 65 years and over: - $15,000 to $19,999","Estimate; Householder 65 years and over: - $20,000 to $24,999","Margin of Error; Householder 65 years and over: - $20,000 to $24,999","Estimate; Householder 65 years and over: - $25,000 to $29,999","Margin of Error; Householder 65 years and over: - $25,000 to $29,999","Estimate; Householder 65 years and over: - $30,000 to $34,999","Margin of Error; Householder 65 years and over: - $30,000 to $34,999","Estimate; Householder 65 years and over: - $35,000 to $39,999","Margin of Error; Householder 65 years and over: - $35,000 to $39,999","Estimate; Householder 65 years and over: - $40,000 to $44,999","Margin of Error; Householder 65 years and over: - $40,000 to $44,999","Estimate; Householder 65 years and over: - $45,000 to $49,999","Margin of Error; Householder 65 years and over: - $45,000 to $49,999","Estimate; Householder 65 years and over: - $50,000 to $59,999","Margin of Error; Householder 65 years and over: - $50,000 to $59,999","Estimate; Householder 65 years and over: - $60,000 to $74,999","Margin of Error; Householder 65 years and over: - $60,000 to $74,999","Estimate; Householder 65 years and over: - $75,000 to $99,999","Margin of Error; Householder 65 years and over: - $75,000 to $99,999","Estimate; Householder 65 years and over: - $100,000 to $124,999","Margin of Error; Householder 65 years and over: - $100,000 to $124,999","Estimate; Householder 65 years and over: - $125,000 to $149,999","Margin of Error; Householder 65 years and over: - $125,000 to $149,999","Estimate; Householder 65 years and over: - $150,000 to $199,999","Margin of Error; Householder 65 years and over: - $150,000 to $199,999","Estimate; Householder 65 years and over: - $200,000 or more","Margin of Error; Householder 65 years and over: - $200,000 or more"
0500000US41001,41001,"Baker County, Oregon",126,36,30,33,0,19,0,19,30,33,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,47,37,0,19,13,14,0,19,0,19,26,38,0,19,8,16,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,25,22,7,11,0,19,0,19,0,19,0,19,0,19,0,19,6,11,0,19,7,12,5,9,0,19,0,19,0,19,0,19,0,19,24,21,5,9,11,16,8,13,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
0500000US41003,41003,"Benton County, Oregon",1713,174,364,129,141,77,109,84,32,32,8,13,0,28,17,30,0,28,33,54,0,28,12,19,0,28,0,28,0,28,0,28,12,19,0,28,801,113,0,28,0,28,18,30,135,64,51,46,107,86,54,41,0,28,50,41,98,68,104,71,39,38,122,67,9,16,0,28,14,22,391,90,37,37,7,11,23,36,32,39,25,33,14,24,30,44,0,28,49,43,21,25,5,6,33,36,64,43,20,26,22,30,9,15,157,62,45,34,0,28,0,28,19,30,54,44,0,28,7,13,10,15,0,28,22,32,0,28,0,28,0,28,0,28,0,28,0,28
0500000US41005,41005,"Clackamas County, Oregon",7251,363,512,183,129,102,36,47,12,19,35,41,0,28,140,135,63,52,0,28,0,28,0,28,85,77,12,20,0,28,0,28,0,28,0,28,4103,327,175,107,276,157,317,168,412,179,256,132,323,151,127,96,205,153,225,132,475,178,281,105,452,144,178,92,201,109,158,106,42,37,2162,186,107,71,19,30,80,64,132,75,55,47,202,124,115,74,210,116,43,38,317,129,199,105,245,91,143,81,129,83,42,32,124,62,474,116,62,45,13,24,14,23,10,19,51,46,60,49,10,16,0,28,28,27,83,73,62,55,81,66,0,28,0,28,0,28,0,28
0500000US41007,41007,"Clatsop County, Oregon",812,97,66,45,0,25,29,41,0,25,0,25,0,25,0,25,22,27,0,25,0,25,0,25,15,21,0,25,0,25,0,25,0,25,0,25,493,89,41,47,34,54,54,44,78,60,38,41,11,14,70,55,11,17,0,25,58,50,69,55,14,21,0,25,15,25,0,25,0,25,172,70,0,25,0,25,0,25,54,48,0,25,0,25,14,21,11,20,0,25,20,23,0,25,34,27,0,25,0,25,24,34,15,24,81,41,12,17,21,23,0,25,0,25,19,28,0,25,0,25,13,19,0,25,0,25,0,25,16,25,0,25,0,25,0,25,0,25
0500000US41009,41009,"Columbia County, Oregon",588,98,6,12,0,25,0,25,6,12,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,313,107,50,59,26,46,22,38,16,24,44,61,12,19,0,25,26,26,0,25,25,30,0,25,41,51,51,69,0,25,0,25,0,25,209,85,15,21,0,25,31,35,18,31,4,8,0,25,0,25,0,25,27,30,48,43,16,28,12,24,21,24,14,20,3,5,0,25,60,52,12,19,0,25,3,5,34,51,0,25,2,4,0,25,0,25,9,15,0,25,0,25,0,25,0,25,0,25,0,25,0,25
0500000US41011,41011,"Coos County, Oregon",908,128,56,44,35,44,0,28,0,28,0,28,0,28,14,22,0,28,7,13,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,300,120,74,73,0,28,0,28,36,44,16,26,106,74,10,16,46,58,0,28,0,28,12,17,0,28,0,28,0,28,0,28,0,28,397,108,44,41,0,28,0,28,27,36,10,15,17,18,11,14,38,47,0,28,62,58,49,61,52,34,78,86,0,28,9,13,0,28,155,40,33,31,7,12,0,28,11,16,38,30,5,7,0,28,4,8,9,12,31,28,3,6,0,28,14,18,0,28,0,28,0,28
0500000US41013,41013,"Crook County, Oregon",438,82,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,268,81,0,22,10,18,69,70,0,22,0,22,16,29,0,22,0,22,31,45,35,51,52,54,37,37,18,29,0,22,0,22,0,22,106,71,0,22,0,22,0,22,44,49,12,21,0,22,0,22,0,22,0,22,43,48,0,22,7,11,0,22,0,22,0,22,0,22,64,25,0,22,29,31,10,17,0,22,0,22,9,18,0,22,0,22,0,22,2,7,0,22,0,22,0,22,14,23,0,22,0,22
0500000US41015,41015,"Curry County, Oregon",446,118,46,68,46,68,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,258,111,6,10,7,13,0,22,16,30,0,22,0,22,0,22,16,27,51,68,0,22,69,78,34,51,42,62,0,22,0,22,17,28,108,62,0,22,29,41,0,22,6,10,18,26,0,22,0,22,12,16,0,22,0,22,0,22,34,42,4,7,0,22,5,8,0,22,34,24,0,22,8,14,10,13,0,22,0,22,0,22,10,18,0,22,6,9,0,22,0,22,0,22,0,22,0,22,0,22,0,22
0500000US41017,41017,"Deschutes County, Oregon",3039,301,313,159,19,33,0,28,64,74,53,85,0,28,35,44,44,63,0,28,0,28,0,28,98,134,0,28,0,28,0,28,0,28,0,28,1657,248,80,72,9,18,184,193,361,197,168,102,43,55,198,143,98,82,87,70,91,65,108,138,46,65,179,133,5,9,0,28,0,28,795,143,44,48,0,28,28,46,68,60,30,32,62,60,18,26,19,29,74,76,0,28,63,59,204,132,66,45,38,38,32,38,49,50,274,72,16,25,19,31,67,54,19,23,0,28,19,26,7,13,0,28,0,28,36,38,0,28,30,42,0,28,0,28,23,24,38,60
