GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars):,Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars):,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars): - Householder under 25 years,Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars): - Householder under 25 years,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars): - Householder 25 to 44 years,Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars): - Householder 25 to 44 years,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars): - Householder 45 to 64 years,Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars): - Householder 45 to 64 years,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars): - Householder 65 years and over,Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars): - Householder 65 years and over
0500000US41001,41001,"Baker County, Oregon",365005600,23753817,7901500,2775603,83087000,11574905,165334100,12824901,108683100,15412829
0500000US41003,41003,"Benton County, Oregon",2217974500,57500071,95601900,14596877,636086200,37048282,1050835000,50247019,435451400,27404949
0500000US41005,41005,"Clackamas County, Oregon",12289698200,202390234,175013300,33438186,3688750800,122254818,6360828700,160769444,2065105400,76445867
0500000US41007,41007,"Clatsop County, Oregon",942439900,61218368,17296500,5838066,226835800,20335145,460151200,36378310,238156400,40572209
0500000US41009,41009,"Columbia County, Oregon",1272533800,54261841,19865100,7223722,381090300,23895479,673197700,49332121,198380700,16897741
0500000US41011,41011,"Coos County, Oregon",1333469600,60371009,22281300,7048595,293241500,28143551,626051500,56048336,391895300,34235086
0500000US41013,41013,"Crook County, Oregon",432222000,22531051,8332900,3302669,100914300,15320686,207275100,17624328,115699800,8738497
0500000US41015,41015,"Curry County, Oregon",524483900,38067085,10697600,5470339,107050700,20935190,230493100,27901451,176242400,16948925
0500000US41017,41017,"Deschutes County, Oregon",4321123400,131378888,79301600,19353575,1407800100,88494231,1951841700,109054242,882180000,60633840
0500000US41019,41019,"Douglas County, Oregon",2279429200,61627630,41108700,10280527,525427900,34651029,1094891300,52920349,618001200,29549418
0500000US41021,41021,"Gilliam County, Oregon",48148600,5699816,672700,534271,10319300,1949924,27159500,5363769,9997200,2048454
0500000US41023,41023,"Grant County, Oregon",170790300,18687199,2509200,1351648,39651700,7751786,83160500,15069396,45469000,6430853
0500000US41025,41025,"Harney County, Oregon",149056000,10775475,2715000,1516555,35564500,5713073,72452700,6623999,38323900,7207095
0500000US41027,41027,"Hood River County, Oregon",550027300,31307429,9899700,5521285,181010700,18488021,261121600,21513211,97995300,13281963
0500000US41029,41029,"Jackson County, Oregon",4858752000,133669357,124154700,23981741,1354120700,72418067,2151953200,83436946,1228523400,66284054
0500000US41031,41031,"Jefferson County, Oregon",453187600,43610576,10772800,4105163,109392200,13311948,215535200,34884694,117487400,25732468
0500000US41033,41033,"Josephine County, Oregon",1766549700,79813021,29682900,6979350,431899400,45502758,796146100,63718835,508821300,25045107
0500000US41035,41035,"Klamath County, Oregon",1407811800,48692602,40360800,9254495,399394200,24264905,639887900,33020013,328169000,15639874
0500000US41037,41037,"Lake County, Oregon",170217700,18348447,2650500,1367805,37903200,6923392,92594200,15201048,37069700,6401624
0500000US41039,41039,"Lane County, Oregon",8382866100,153606762,279485800,31517680,2503429000,71774613,3870224100,138333157,1729727200,59705623
0500000US41041,41041,"Lincoln County, Oregon",1151085900,52472075,23903900,9662646,256033200,25557881,543878900,32673031,327269900,23299284
0500000US41043,41043,"Linn County, Oregon",2457923300,64849351,66653500,13020194,747864100,30967538,1118095700,51482569,525310100,23744130
0500000US41045,41045,"Malheur County, Oregon",482046000,29446578,12517600,3934447,141347400,15983002,210161700,19788799,118019400,9841832
0500000US41047,41047,"Marion County, Oregon",6805142800,136554973,161718600,19865759,2258498300,88264382,3006625200,90168359,1378300600,54532567
0500000US41049,41049,"Morrow County, Oregon",223573100,16060950,5074000,3243695,74747200,9760811,99302000,10823450,44449800,7447183
0500000US41051,41051,"Multnomah County, Oregon",22041356600,289614327,456256000,32556562,9237429900,180613555,9287602200,202505760,3060068400,96654923
0500000US41053,41053,"Polk County, Oregon",1823267200,61331235,48267400,11071339,535397700,38290661,868312400,44820227,371289700,24117407
0500000US41055,41055,"Sherman County, Oregon",45197200,4390088,1450900,803828,10132300,2648550,20355800,3494898,13258200,2141672
0500000US41057,41057,"Tillamook County, Oregon",539676800,28309901,7264300,3460755,131081900,13113581,250383500,22052585,150947100,13591530
0500000US41059,41059,"Umatilla County, Oregon",1558368800,48934534,51903900,13245836,489445400,27321825,723532700,41935057,293486900,20748602
0500000US41061,41061,"Union County, Oregon",566716700,27440820,13159800,3099493,163502300,11587464,256940100,19511819,133114500,17746608
0500000US41063,41063,"Wallowa County, Oregon",153588500,11741558,832600,692572,28401700,4789199,79449800,8227028,44904300,4595972
0500000US41065,41065,"Wasco County, Oregon",571608600,37623600,11207800,4106140,150799100,26108662,278367500,24689394,131234200,12663576
0500000US41067,41067,"Washington County, Oregon",16391784200,196973960,311708200,27544624,6685297800,118278555,7318211000,174276869,2076567100,65176651
0500000US41071,41071,"Yamhill County, Oregon",2318983900,115937647,32924000,8656799,732385700,42278933,1054819100,57381184,498855200,85561449
