GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With Supplemental Security Income (SSI),Margin of Error; Total: - With Supplemental Security Income (SSI),Estimate; Total: - No Supplemental Security Income (SSI),Margin of Error; Total: - No Supplemental Security Income (SSI)
0500000US41001,41001,"Baker County, Oregon",7120,210,388,102,6732,233
0500000US41003,41003,"Benton County, Oregon",33384,461,787,169,32597,469
0500000US41005,41005,"Clackamas County, Oregon",146527,937,4483,464,142044,1019
0500000US41007,41007,"Clatsop County, Oregon",15749,366,897,193,14852,409
0500000US41009,41009,"Columbia County, Oregon",19069,260,780,172,18289,315
0500000US41011,41011,"Coos County, Oregon",26072,569,1611,259,24461,612
0500000US41013,41013,"Crook County, Oregon",8880,313,470,137,8410,351
0500000US41015,41015,"Curry County, Oregon",10355,345,612,164,9743,392
0500000US41017,41017,"Deschutes County, Oregon",64568,876,2089,335,62479,915
0500000US41019,41019,"Douglas County, Oregon",43846,599,2345,292,41501,621
0500000US41021,41021,"Gilliam County, Oregon",883,57,14,13,869,59
0500000US41023,41023,"Grant County, Oregon",3319,161,161,48,3158,161
0500000US41025,41025,"Harney County, Oregon",3113,162,270,96,2843,165
0500000US41027,41027,"Hood River County, Oregon",8144,360,165,77,7979,368
0500000US41029,41029,"Jackson County, Oregon",83140,854,3978,426,79162,860
0500000US41031,41031,"Jefferson County, Oregon",7882,243,443,120,7439,286
0500000US41033,41033,"Josephine County, Oregon",34390,589,1950,313,32440,606
0500000US41035,41035,"Klamath County, Oregon",27378,410,1734,288,25644,501
0500000US41037,41037,"Lake County, Oregon",3566,161,198,72,3368,177
0500000US41039,41039,"Lane County, Oregon",144912,977,6675,538,138237,1032
0500000US41041,41041,"Lincoln County, Oregon",20913,524,1146,186,19767,549
0500000US41043,41043,"Linn County, Oregon",44722,532,2160,302,42562,578
0500000US41045,41045,"Malheur County, Oregon",10136,242,696,136,9440,258
0500000US41047,41047,"Marion County, Oregon",113285,765,4545,477,108740,885
0500000US41049,41049,"Morrow County, Oregon",3741,154,198,61,3543,172
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,12483,638,293456,1556
0500000US41053,41053,"Polk County, Oregon",28239,469,1227,226,27012,512
0500000US41055,41055,"Sherman County, Oregon",827,61,25,14,802,58
0500000US41057,41057,"Tillamook County, Oregon",10236,340,338,99,9898,333
0500000US41059,41059,"Umatilla County, Oregon",26744,355,1186,232,25558,381
0500000US41061,41061,"Union County, Oregon",10235,204,456,116,9779,229
0500000US41063,41063,"Wallowa County, Oregon",2996,154,215,66,2781,144
0500000US41065,41065,"Wasco County, Oregon",9612,296,569,112,9043,291
0500000US41067,41067,"Washington County, Oregon",201771,975,5673,540,196098,1037
0500000US41069,41069,"Wheeler County, Oregon",625,47,15,12,610,45
0500000US41071,41071,"Yamhill County, Oregon",34138,503,1436,262,32702,551
