GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Quintile Share of Aggregate Income: - Lowest Quintile
HD02_VD02,Margin of Error; Quintile Share of Aggregate Income: - Lowest Quintile
HD01_VD03,Estimate; Quintile Share of Aggregate Income: - Second Quintile
HD02_VD03,Margin of Error; Quintile Share of Aggregate Income: - Second Quintile
HD01_VD04,Estimate; Quintile Share of Aggregate Income: - Third Quintile
HD02_VD04,Margin of Error; Quintile Share of Aggregate Income: - Third Quintile
HD01_VD05,Estimate; Quintile Share of Aggregate Income: - Fourth Quintile
HD02_VD05,Margin of Error; Quintile Share of Aggregate Income: - Fourth Quintile
HD01_VD06,Estimate; Quintile Share of Aggregate Income: - Highest Quintile
HD02_VD06,Margin of Error; Quintile Share of Aggregate Income: - Highest Quintile
HD01_VD07,Estimate; Top 5 Percent
HD02_VD07,Margin of Error; Top 5 Percent
