GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Gini Index,Margin of Error; Gini Index
0500000US41001,41001,"Baker County, Oregon",0.4446,0.0232
0500000US41003,41003,"Benton County, Oregon",0.4803,0.0115
0500000US41005,41005,"Clackamas County, Oregon",0.4428,0.0066
0500000US41007,41007,"Clatsop County, Oregon",0.4381,0.0286
0500000US41009,41009,"Columbia County, Oregon",0.4172,0.0198
0500000US41011,41011,"Coos County, Oregon",0.4590,0.0198
0500000US41013,41013,"Crook County, Oregon",0.4083,0.0147
0500000US41015,41015,"Curry County, Oregon",0.4246,0.0231
0500000US41017,41017,"Deschutes County, Oregon",0.4529,0.0140
0500000US41019,41019,"Douglas County, Oregon",0.4255,0.0113
0500000US41021,41021,"Gilliam County, Oregon",0.4016,0.0469
0500000US41023,41023,"Grant County, Oregon",0.4647,0.0282
0500000US41025,41025,"Harney County, Oregon",0.4176,0.0289
0500000US41027,41027,"Hood River County, Oregon",0.3792,0.0202
0500000US41029,41029,"Jackson County, Oregon",0.4487,0.0105
0500000US41031,41031,"Jefferson County, Oregon",0.4478,0.0479
0500000US41033,41033,"Josephine County, Oregon",0.4608,0.0185
0500000US41035,41035,"Klamath County, Oregon",0.4349,0.0112
0500000US41037,41037,"Lake County, Oregon",0.4557,0.0409
0500000US41039,41039,"Lane County, Oregon",0.4647,0.0074
0500000US41041,41041,"Lincoln County, Oregon",0.4311,0.0125
0500000US41043,41043,"Linn County, Oregon",0.3993,0.0086
0500000US41045,41045,"Malheur County, Oregon",0.4531,0.0178
0500000US41047,41047,"Marion County, Oregon",0.4247,0.0081
0500000US41049,41049,"Morrow County, Oregon",0.3978,0.0221
0500000US41051,41051,"Multnomah County, Oregon",0.4758,0.0047
0500000US41053,41053,"Polk County, Oregon",0.4187,0.0117
0500000US41055,41055,"Sherman County, Oregon",0.4379,0.0261
0500000US41057,41057,"Tillamook County, Oregon",0.4034,0.0204
0500000US41059,41059,"Umatilla County, Oregon",0.4128,0.0143
0500000US41061,41061,"Union County, Oregon",0.4597,0.0214
0500000US41063,41063,"Wallowa County, Oregon",0.4187,0.0264
0500000US41065,41065,"Wasco County, Oregon",0.4403,0.0286
0500000US41067,41067,"Washington County, Oregon",0.4259,0.0065
0500000US41069,41069,"Wheeler County, Oregon",0.4277,0.0413
0500000US41071,41071,"Yamhill County, Oregon",0.4244,0.0215
