GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars)
0500000US41001,41001,"Baker County, Oregon",51104,3303
0500000US41003,41003,"Benton County, Oregon",75846,2361
0500000US41005,41005,"Clackamas County, Oregon",77499,1327
0500000US41007,41007,"Clatsop County, Oregon",58318,4134
0500000US41009,41009,"Columbia County, Oregon",63645,3659
0500000US41011,41011,"Coos County, Oregon",48058,1966
0500000US41013,41013,"Crook County, Oregon",49024,3502
0500000US41015,41015,"Curry County, Oregon",48444,4221
0500000US41017,41017,"Deschutes County, Oregon",62214,1807
0500000US41019,41019,"Douglas County, Oregon",49183,2067
0500000US41021,41021,"Gilliam County, Oregon",60060,8809
0500000US41023,41023,"Grant County, Oregon",47518,5574
0500000US41025,41025,"Harney County, Oregon",44226,4062
0500000US41027,41027,"Hood River County, Oregon",67145,6618
0500000US41029,41029,"Jackson County, Oregon",54187,1390
0500000US41031,41031,"Jefferson County, Oregon",50753,5648
0500000US41033,41033,"Josephine County, Oregon",46789,1326
0500000US41035,41035,"Klamath County, Oregon",50238,2925
0500000US41037,41037,"Lake County, Oregon",48955,6110
0500000US41039,41039,"Lane County, Oregon",57177,1344
0500000US41041,41041,"Lincoln County, Oregon",54499,2337
0500000US41043,41043,"Linn County, Oregon",55547,1702
0500000US41045,41045,"Malheur County, Oregon",48682,2931
0500000US41047,41047,"Marion County, Oregon",58000,1366
0500000US41049,41049,"Morrow County, Oregon",53459,2222
0500000US41051,41051,"Multnomah County, Oregon",72034,1097
0500000US41053,41053,"Polk County, Oregon",65233,2766
0500000US41055,41055,"Sherman County, Oregon",57115,6425
0500000US41057,41057,"Tillamook County, Oregon",51549,2151
0500000US41059,41059,"Umatilla County, Oregon",59111,2446
0500000US41061,41061,"Union County, Oregon",52629,2414
0500000US41063,41063,"Wallowa County, Oregon",54809,4076
0500000US41065,41065,"Wasco County, Oregon",54907,3956
0500000US41067,41067,"Washington County, Oregon",80179,1438
0500000US41069,41069,"Wheeler County, Oregon",46641,8925
0500000US41071,41071,"Yamhill County, Oregon",63484,2267
