GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars)
0500000US41001,41001,"Baker County, Oregon",16607,6042
0500000US41003,41003,"Benton County, Oregon",37188,39293
0500000US41005,41005,"Clackamas County, Oregon",44276,17711
0500000US41007,41007,"Clatsop County, Oregon",35000,32348
0500000US41009,41009,"Columbia County, Oregon",43561,16887
0500000US41011,41011,"Coos County, Oregon",41838,22773
0500000US41013,41013,"Crook County, Oregon",72321,74376
0500000US41015,41015,"Curry County, Oregon",73438,64611
0500000US41017,41017,"Deschutes County, Oregon",27134,50824
0500000US41019,41019,"Douglas County, Oregon",38346,7397
0500000US41021,41021,"Gilliam County, Oregon",-,**
0500000US41023,41023,"Grant County, Oregon",28750,4135
0500000US41025,41025,"Harney County, Oregon",29107,9951
0500000US41027,41027,"Hood River County, Oregon",-,**
0500000US41029,41029,"Jackson County, Oregon",36250,10854
0500000US41031,41031,"Jefferson County, Oregon",43981,7330
0500000US41033,41033,"Josephine County, Oregon",41528,37311
0500000US41035,41035,"Klamath County, Oregon",35591,13917
0500000US41037,41037,"Lake County, Oregon",-,**
0500000US41039,41039,"Lane County, Oregon",47201,19818
0500000US41041,41041,"Lincoln County, Oregon",34688,9725
0500000US41043,41043,"Linn County, Oregon",24375,21770
0500000US41045,41045,"Malheur County, Oregon",56750,74643
0500000US41047,41047,"Marion County, Oregon",48843,17970
0500000US41049,41049,"Morrow County, Oregon",-,**
0500000US41051,41051,"Multnomah County, Oregon",33563,4910
0500000US41053,41053,"Polk County, Oregon",43021,17379
0500000US41055,41055,"Sherman County, Oregon",67813,93962
0500000US41057,41057,"Tillamook County, Oregon",29643,27952
0500000US41059,41059,"Umatilla County, Oregon",49375,10331
0500000US41061,41061,"Union County, Oregon",66429,27881
0500000US41063,41063,"Wallowa County, Oregon",-,**
0500000US41065,41065,"Wasco County, Oregon",48125,17876
0500000US41067,41067,"Washington County, Oregon",46908,8484
0500000US41069,41069,"Wheeler County, Oregon",-,**
0500000US41071,41071,"Yamhill County, Oregon",40703,15004
