GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars)
0500000US41001,41001,"Baker County, Oregon",90063,63609
0500000US41003,41003,"Benton County, Oregon",47708,20160
0500000US41005,41005,"Clackamas County, Oregon",72654,15494
0500000US41007,41007,"Clatsop County, Oregon",33750,19089
0500000US41009,41009,"Columbia County, Oregon",70870,12146
0500000US41011,41011,"Coos County, Oregon",47857,12510
0500000US41013,41013,"Crook County, Oregon",37656,21761
0500000US41015,41015,"Curry County, Oregon",37083,21660
0500000US41017,41017,"Deschutes County, Oregon",55673,31767
0500000US41019,41019,"Douglas County, Oregon",39462,7181
0500000US41021,41021,"Gilliam County, Oregon",-,**
0500000US41023,41023,"Grant County, Oregon",34219,10317
0500000US41025,41025,"Harney County, Oregon",14167,2925
0500000US41027,41027,"Hood River County, Oregon",42667,30114
0500000US41029,41029,"Jackson County, Oregon",34105,8154
0500000US41031,41031,"Jefferson County, Oregon",80592,66914
0500000US41033,41033,"Josephine County, Oregon",57632,14413
0500000US41035,41035,"Klamath County, Oregon",43056,10048
0500000US41037,41037,"Lake County, Oregon",25000,14646
0500000US41039,41039,"Lane County, Oregon",52762,6831
0500000US41041,41041,"Lincoln County, Oregon",40898,29484
0500000US41043,41043,"Linn County, Oregon",56818,23091
0500000US41045,41045,"Malheur County, Oregon",22589,13496
0500000US41047,41047,"Marion County, Oregon",42688,16088
0500000US41049,41049,"Morrow County, Oregon",52014,2381
0500000US41051,41051,"Multnomah County, Oregon",49665,7090
0500000US41053,41053,"Polk County, Oregon",51235,6271
0500000US41055,41055,"Sherman County, Oregon",135357,146509
0500000US41057,41057,"Tillamook County, Oregon",31823,52318
0500000US41059,41059,"Umatilla County, Oregon",53214,25255
0500000US41061,41061,"Union County, Oregon",42500,3830
0500000US41063,41063,"Wallowa County, Oregon",64167,14764
0500000US41065,41065,"Wasco County, Oregon",40461,9258
0500000US41067,41067,"Washington County, Oregon",74210,6305
0500000US41069,41069,"Wheeler County, Oregon",182813,264785
0500000US41071,41071,"Yamhill County, Oregon",43068,12109
