GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 2-person families,Margin of Error; Total: - 2-person families,Estimate; Total: - 3-person families,Margin of Error; Total: - 3-person families,Estimate; Total: - 4-person families,Margin of Error; Total: - 4-person families,Estimate; Total: - 5-person families,Margin of Error; Total: - 5-person families,Estimate; Total: - 6-person families,Margin of Error; Total: - 6-person families,Estimate; Total: - 7-or-more-person families,Margin of Error; Total: - 7-or-more-person families
0500000US41001,41001,"Baker County, Oregon",51199,3083,51333,4484,43409,13933,57798,7721,57232,25467,22500,14190,37344,15060
0500000US41003,41003,"Benton County, Oregon",75012,2512,68524,3573,78958,7061,81180,10403,89767,13034,81667,31619,75625,55641
0500000US41005,41005,"Clackamas County, Oregon",76549,1135,69515,1285,76425,2850,91197,3092,86419,3750,78139,8810,85144,10572
0500000US41007,41007,"Clatsop County, Oregon",54849,4773,51346,3133,61383,4743,68607,8884,49073,8350,51250,15668,104500,47439
0500000US41009,41009,"Columbia County, Oregon",63435,3506,58223,2911,67135,6658,73275,5133,64896,17236,87763,23401,72250,35806
0500000US41011,41011,"Coos County, Oregon",47830,1854,43801,2536,49899,4994,54514,7074,62250,13636,52829,8551,49648,37925
0500000US41013,41013,"Crook County, Oregon",48486,3228,48940,6422,50018,3687,48695,8933,25333,17104,47250,59835,38250,42141
0500000US41015,41015,"Curry County, Oregon",48833,3841,46401,4882,65690,23673,47474,54051,44757,50145,51510,25762,89821,53729
0500000US41017,41017,"Deschutes County, Oregon",61488,1577,57317,2624,62877,4915,71696,3340,68032,7505,65759,12560,72667,10930
0500000US41019,41019,"Douglas County, Oregon",48420,2107,46421,2703,46576,5905,60660,8178,52210,7105,38750,13108,73125,37403
0500000US41021,41021,"Gilliam County, Oregon",56667,6709,55667,7575,47083,36939,56389,22643,61750,8577,-,**,-,**
0500000US41023,41023,"Grant County, Oregon",46000,5982,39099,6938,49236,7763,78529,16435,49792,36586,34766,58574,41667,1492
0500000US41025,41025,"Harney County, Oregon",42540,4594,39575,5686,42500,11299,55903,18974,45179,14022,31429,5941,36000,49422
0500000US41027,41027,"Hood River County, Oregon",64422,5343,60025,3762,85281,6933,62078,5560,56250,21511,65000,26729,37188,50526
0500000US41029,41029,"Jackson County, Oregon",53254,1345,51905,1440,48253,2612,62218,5332,54652,14271,57311,15534,76987,14120
0500000US41031,41031,"Jefferson County, Oregon",46040,4085,45428,5769,50222,9194,41799,2786,62813,3081,36364,23572,39564,16683
0500000US41033,41033,"Josephine County, Oregon",46913,1446,46275,1809,47242,9337,48484,7623,48875,11015,47470,22765,62981,20187
0500000US41035,41035,"Klamath County, Oregon",48896,2067,46076,2443,47787,4419,61130,8213,58618,10210,52375,21067,83214,23233
0500000US41037,41037,"Lake County, Oregon",47537,5441,45156,9497,40625,16976,61818,15343,30179,33900,43125,84163,62500,33731
0500000US41039,41039,"Lane County, Oregon",56605,1357,52093,1309,59595,3246,62688,2982,65754,4724,68011,6529,62222,9573
0500000US41041,41041,"Lincoln County, Oregon",53750,2374,51317,3341,51717,3842,66146,17551,57361,10348,84904,8237,61567,6228
0500000US41043,41043,"Linn County, Oregon",55169,1751,49920,2284,57680,4859,64235,5914,62784,6414,49576,8253,54141,19507
0500000US41045,41045,"Malheur County, Oregon",45825,3356,43871,3985,46083,7878,45859,15576,45938,11395,51528,8598,52292,40860
0500000US41047,41047,"Marion County, Oregon",54920,1478,54389,1630,56063,3549,52413,3891,54256,3439,62671,6407,61176,9641
0500000US41049,41049,"Morrow County, Oregon",52652,1947,52060,5371,52961,4978,51480,6237,52952,2202,57750,42223,75313,19519
0500000US41051,41051,"Multnomah County, Oregon",65897,1115,61194,1242,68692,2932,81254,2259,64993,3863,60426,9303,46386,7018
0500000US41053,41053,"Polk County, Oregon",62802,2661,59858,3953,62181,11809,71131,8705,65341,4440,57833,26969,63576,22533
0500000US41055,41055,"Sherman County, Oregon",57115,6669,51591,10518,51875,13087,84000,9427,62000,23195,133750,122553,26667,35205
0500000US41057,41057,"Tillamook County, Oregon",51235,2242,49710,2614,64239,10544,52650,11521,42717,16669,54375,16697,75605,81107
0500000US41059,41059,"Umatilla County, Oregon",57434,1960,53197,2604,62482,6698,61166,5453,57526,9222,66620,4133,92525,34300
0500000US41061,41061,"Union County, Oregon",51973,2448,48961,3794,52024,5640,56607,10423,51250,24931,86500,35759,52279,33766
0500000US41063,41063,"Wallowa County, Oregon",54513,4107,51453,5387,54375,6265,66607,23783,70000,29954,75833,38568,157679,132193
0500000US41065,41065,"Wasco County, Oregon",53598,4104,52125,5941,46573,10346,59239,17629,66607,9151,48750,38656,60326,26266
0500000US41067,41067,"Washington County, Oregon",76711,1302,70920,1309,79692,3629,88770,4538,80756,6192,69663,8542,82689,13885
0500000US41069,41069,"Wheeler County, Oregon",46875,7842,44375,5351,52083,17905,57188,14473,26042,3267,-,**,-,**
0500000US41071,41071,"Yamhill County, Oregon",62284,2204,60062,3195,53318,4173,67321,10490,78092,7390,80833,11909,57679,13766
