GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Aggregate nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars):,Margin of Error; Aggregate nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars):,Estimate; Male householder (dollars):,Margin of Error; Male householder (dollars):,Estimate; Male householder (dollars): - Living alone (dollars):,Margin of Error; Male householder (dollars): - Living alone (dollars):,Estimate; Male householder (dollars): - Living alone (dollars): - Householder 15 to 64 years (dollars),Margin of Error; Male householder (dollars): - Living alone (dollars): - Householder 15 to 64 years (dollars),Estimate; Male householder (dollars): - Living alone (dollars): - Householder 65 years and over (dollars),Margin of Error; Male householder (dollars): - Living alone (dollars): - Householder 65 years and over (dollars),Estimate; Male householder (dollars): - Not living alone (dollars):,Margin of Error; Male householder (dollars): - Not living alone (dollars):,Estimate; Male householder (dollars): - Not living alone (dollars): - Householder 15 to 64 years (dollars),Margin of Error; Male householder (dollars): - Not living alone (dollars): - Householder 15 to 64 years (dollars),Estimate; Male householder (dollars): - Not living alone (dollars): - Householder 65 years and over (dollars),Margin of Error; Male householder (dollars): - Not living alone (dollars): - Householder 65 years and over (dollars),Estimate; Female householder (dollars):,Margin of Error; Female householder (dollars):,Estimate; Female householder (dollars): - Living alone (dollars):,Margin of Error; Female householder (dollars): - Living alone (dollars):,Estimate; Female householder (dollars): - Living alone (dollars): - Householder 15 to 64 years (dollars),Margin of Error; Female householder (dollars): - Living alone (dollars): - Householder 15 to 64 years (dollars),Estimate; Female householder (dollars): - Living alone (dollars): - Householder 65 years and over (dollars),Margin of Error; Female householder (dollars): - Living alone (dollars): - Householder 65 years and over (dollars),Estimate; Female householder (dollars): - Not living alone (dollars):,Margin of Error; Female householder (dollars): - Not living alone (dollars):,Estimate; Female householder (dollars): - Not living alone (dollars): - Householder 15 to 64 years (dollars),Margin of Error; Female householder (dollars): - Not living alone (dollars): - Householder 15 to 64 years (dollars),Estimate; Female householder (dollars): - Not living alone (dollars): - Householder 65 years and over (dollars),Margin of Error; Female householder (dollars): - Not living alone (dollars): - Householder 65 years and over (dollars)
0500000US41001,41001,"Baker County, Oregon",79490200,14039208,39837400,7672676,30178400,5144413,21792700,4908050,8385700,2477088,9659000,5849237,8996100,5840947,662900,560455,39652800,12978698,32330900,12467392,13619900,4714630,18711000,11155892,7322000,3377309,3823000,2331211,3499000,2552186
0500000US41003,41003,"Benton County, Oregon",539028700,39248181,271618100,30896860,164704500,21929196,117538000,19050436,47166500,10681664,106913600,21494931,100406000,21336739,6507700,5896008,267410500,24328722,163811400,16313474,101978700,14418541,61832600,9305303,103599200,18694717,96620700,18288062,6978400,3758627
0500000US41005,41005,"Clackamas County, Oregon",2261842400,109960928,1143646100,89474042,748908700,63176646,596271900,57998446,152636800,21212814,394737300,61276260,360681800,57144554,34055500,12859033,1118196400,69833783,828830300,57144616,477664400,49902986,351165900,27996565,289366100,38578458,249440100,33963733,39926000,12001515
0500000US41007,41007,"Clatsop County, Oregon",232776000,22948831,135524800,20002044,92297400,15550893,69515200,15419466,22782200,4947647,43227300,12879678,36455400,12053654,6771900,3279583,97251300,12363286,82574400,11637449,40686800,9179613,41887600,7586066,14676900,5612766,13143600,5491957,1533300,1287001
0500000US41009,41009,"Columbia County, Oregon",216869400,25690437,121132500,19156928,86377400,14357528,71463900,13406554,14913500,4689499,34755100,12662063,28745800,11524817,6009300,5732825,95736800,20749836,78053000,20894804,44383400,18460084,33669600,7335083,17683800,6111183,14619600,5465229,3064300,1939316
0500000US41011,41011,"Coos County, Oregon",332462500,27774193,180539300,24847217,108240800,15829681,68129000,11644704,40111700,8617641,72298500,20922631,51825500,13891939,20473000,17321300,151923300,20246380,103805500,13073171,52373400,10594797,51432000,6392687,48117800,14540861,37589100,14033002,10528700,3942178
0500000US41013,41013,"Crook County, Oregon",88824600,13445652,48406900,10319936,33093500,8099591,22831200,7618304,10262300,3585631,15313400,7041257,10621200,6128854,4692200,3364012,40417600,8238926,31962900,8287187,15454800,7221900,16508100,4032491,8454800,4001208,6150000,3607912,2304800,1744267
0500000US41015,41015,"Curry County, Oregon",133188500,18945826,50957800,10169956,36272900,8227739,23675800,7240256,12597100,3486472,14684900,7571257,13245400,7738444,1439600,1149229,82230700,14683290,64418700,14866022,30530000,10355059,33888700,10061421,17812000,7115223,12756600,6214410,5055400,3089739
0500000US41017,41017,"Deschutes County, Oregon",934291600,69005371,506388500,60635062,269151000,44355721,195132200,43664045,74018900,14680503,237237400,37105642,215800400,37221583,21437000,9758692,427903100,40701427,305017000,32465491,182704400,29557802,122312600,14313665,122886200,29483081,117390400,28755274,5495800,3472166
0500000US41019,41019,"Douglas County, Oregon",487242400,34255544,248302400,26534429,180021400,21303744,116599500,21010532,63421900,9532759,68281000,13667727,48239900,11862479,20041100,7670004,238940100,23718824,155916900,15969915,73720700,13266455,82196200,9351794,83023200,19391768,69420900,18914480,13602300,5193384
0500000US41021,41021,"Gilliam County, Oregon",14578000,5001066,11147900,4803256,10063400,4602410,9547600,4603835,515700,298435,1084600,1258930,1084600,1258930,-,**,3430000,1229068,3149900,1213110,906300,414840,2243500,1111644,280200,239610,280200,239610,-,**
0500000US41029,41029,"Jackson County, Oregon",1114052600,64640765,528244800,54938708,363619100,45813284,228703000,29104894,134916000,33460526,164625800,26990140,139683700,24528268,24942100,10848054,585807700,37968445,429381000,33927913,226978100,29240026,202402900,18585892,156426800,29842850,136048700,30589648,20378100,9667056
0500000US41031,41031,"Jefferson County, Oregon",106452800,27770928,56291300,12414850,35920700,9497001,28933000,9056104,6987700,3338942,20370600,7915990,18773400,8043414,1597100,1900252,50161500,25203783,40575400,25050704,18134900,6506367,22440500,23948695,9586200,4921687,7920400,4519042,1665800,1990852
0500000US41033,41033,"Josephine County, Oregon",388449900,38446890,164627800,24471708,125648700,22337071,77925800,22081678,47723000,9426713,38979100,10640896,34404700,10809983,4574400,2704940,223822100,29637496,162597500,13929254,69032600,9938178,93564900,10578617,61224600,23330013,51649400,23837096,9575200,4373851
0500000US41035,41035,"Klamath County, Oregon",267638000,20611665,141977400,16326295,96869500,12533584,71041900,11918647,25827600,4990207,45107900,12518325,35977400,11864289,9130500,4328637,125660700,14358166,94287300,10096306,49369900,8689633,44917400,7346324,31373400,10113238,23459600,8208743,7913700,5084960
0500000US41039,41039,"Lane County, Oregon",2102193300,70214509,1032691800,57867000,600442700,43852501,427418300,37949180,173024500,20482927,432249000,38879425,389982100,35682632,42266900,11476128,1069501500,47171527,708033500,36762532,412610200,31438209,295423400,21885806,361468000,37382694,316976000,37002469,44492000,9535187
0500000US41041,41041,"Lincoln County, Oregon",276184700,26438103,136018900,19228394,91485800,17832064,56305700,14843687,35180100,9373996,44533200,12416140,39441400,12162232,5091800,2325435,140165800,15400901,103687500,11284817,56603500,9177058,47084000,5629030,36478300,8638918,23581200,6340740,12897100,5349298
0500000US41043,41043,"Linn County, Oregon",499860800,34454126,245365400,27369708,148783900,17382023,97778900,15113955,51005000,8230730,96581500,22684542,87337000,22465248,9244600,4385497,254495400,25815441,178819300,23950441,89719800,22015268,89099600,10641130,75676100,16225468,68297800,15790604,7378200,4128291
0500000US41045,41045,"Malheur County, Oregon",92125600,15277946,48200800,12453180,37301400,10578374,27446200,10310332,9855200,2820418,10899400,4989607,8756700,4160123,2142700,1968871,43924800,7560355,33712100,4607917,17859600,3902287,15852500,3128899,10212700,6190324,7479100,4719560,2733700,4132900
0500000US41047,41047,"Marion County, Oregon",1364098300,68748364,609236900,44708999,428515900,39366734,319328600,36169108,109187200,16729353,180721000,25934619,164984100,25017980,15736900,6456781,754861400,52637790,597753000,46633256,330816400,36367054,266936600,23075689,157108400,23204480,133043700,21439641,24064700,8635779
0500000US41051,41051,"Multnomah County, Oregon",7130539100,148939351,3599736900,133741775,2066567400,94294647,1757005600,86867717,309561800,32409289,1533169500,95985082,1476276800,96156316,56892600,13713465,3530802200,113579049,2194798300,98461568,1574410500,80543295,620387900,41326375,1336003900,66713774,1239674800,64989164,96329100,19432775
0500000US41053,41053,"Polk County, Oregon",330538300,31464270,156535700,25333483,97882700,14409345,66860500,13252384,31022100,7338292,58653000,19728508,51123100,18883067,7529900,5345872,174002600,17530496,125116800,14342692,73299900,13883912,51816900,8474948,48885800,13182721,44409900,12978310,4475900,3192631
0500000US41057,41057,"Tillamook County, Oregon",125401200,15624765,61752100,11778842,32863600,6387219,23821900,6074826,9041700,3093369,28888600,11105183,25859400,11014411,3029200,2241405,63649100,10378223,52338700,8977703,23268400,7471638,29070300,5915814,11310400,4921559,8313000,3871399,2997300,2401454
0500000US41059,41059,"Umatilla County, Oregon",289668200,22667887,166522800,18294243,114241700,17165596,81025700,13305889,33216000,9393707,52281100,11864105,49335800,11475801,2945400,2432750,123145400,15123689,102323500,12398972,58935900,10055215,43387600,6798311,20821900,9964958,18243500,9403177,2578400,2243872
0500000US41061,41061,"Union County, Oregon",112613800,14295256,57970100,10847993,38547200,8625402,29250300,7678651,9296900,4037560,19422900,7676486,18248200,7615644,1174700,1035712,54643700,10246377,40703900,7918501,21191100,5286869,19512800,5987913,13939800,5225781,11603200,4334001,2336600,2672208
0500000US41065,41065,"Wasco County, Oregon",111136500,12665476,58563400,10741086,41741100,8709092,29657500,7929042,12083600,3371113,16822300,6642479,13400300,5698307,3422100,2090021,52573100,8214730,40155300,6861456,20402000,5040560,19753300,3578748,12417700,5189886,8486100,4186259,3931600,2418496
0500000US41067,41067,"Washington County, Oregon",3592362800,145802225,1906789100,140476216,1167895300,69687275,999952400,65630409,167942900,20899865,738893800,116780300,698510200,112771243,40383600,17197409,1685573700,90001537,1186590700,59744085,758643000,48176989,427947600,36054873,498983100,64899507,464887200,67537452,34095900,10860850
0500000US41071,41071,"Yamhill County, Oregon",383778800,36835543,192096000,29263391,123609100,21320943,95810700,20313258,27798400,6843958,68487000,22200058,60965800,22136514,7521100,4401039,191682800,24219762,150901300,22862149,74854600,21958267,76046800,11055616,40781500,10916587,38033600,11075915,2747900,2455649
