GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Householder 15 to 24 years:,Margin of Error; Householder 15 to 24 years:,Estimate; Householder 15 to 24 years: - Less than 20.0 percent,Margin of Error; Householder 15 to 24 years: - Less than 20.0 percent,Estimate; Householder 15 to 24 years: - 20.0 to 24.9 percent,Margin of Error; Householder 15 to 24 years: - 20.0 to 24.9 percent,Estimate; Householder 15 to 24 years: - 25.0 to 29.9 percent,Margin of Error; Householder 15 to 24 years: - 25.0 to 29.9 percent,Estimate; Householder 15 to 24 years: - 30.0 to 34.9 percent,Margin of Error; Householder 15 to 24 years: - 30.0 to 34.9 percent,Estimate; Householder 15 to 24 years: - 35.0 percent or more,Margin of Error; Householder 15 to 24 years: - 35.0 percent or more,Estimate; Householder 15 to 24 years: - Not computed,Margin of Error; Householder 15 to 24 years: - Not computed,Estimate; Householder 25 to 34 years:,Margin of Error; Householder 25 to 34 years:,Estimate; Householder 25 to 34 years: - Less than 20.0 percent,Margin of Error; Householder 25 to 34 years: - Less than 20.0 percent,Estimate; Householder 25 to 34 years: - 20.0 to 24.9 percent,Margin of Error; Householder 25 to 34 years: - 20.0 to 24.9 percent,Estimate; Householder 25 to 34 years: - 25.0 to 29.9 percent,Margin of Error; Householder 25 to 34 years: - 25.0 to 29.9 percent,Estimate; Householder 25 to 34 years: - 30.0 to 34.9 percent,Margin of Error; Householder 25 to 34 years: - 30.0 to 34.9 percent,Estimate; Householder 25 to 34 years: - 35.0 percent or more,Margin of Error; Householder 25 to 34 years: - 35.0 percent or more,Estimate; Householder 25 to 34 years: - Not computed,Margin of Error; Householder 25 to 34 years: - Not computed,Estimate; Householder 35 to 64 years:,Margin of Error; Householder 35 to 64 years:,Estimate; Householder 35 to 64 years: - Less than 20.0 percent,Margin of Error; Householder 35 to 64 years: - Less than 20.0 percent,Estimate; Householder 35 to 64 years: - 20.0 to 24.9 percent,Margin of Error; Householder 35 to 64 years: - 20.0 to 24.9 percent,Estimate; Householder 35 to 64 years: - 25.0 to 29.9 percent,Margin of Error; Householder 35 to 64 years: - 25.0 to 29.9 percent,Estimate; Householder 35 to 64 years: - 30.0 to 34.9 percent,Margin of Error; Householder 35 to 64 years: - 30.0 to 34.9 percent,Estimate; Householder 35 to 64 years: - 35.0 percent or more,Margin of Error; Householder 35 to 64 years: - 35.0 percent or more,Estimate; Householder 35 to 64 years: - Not computed,Margin of Error; Householder 35 to 64 years: - Not computed,Estimate; Householder 65 years and over:,Margin of Error; Householder 65 years and over:,Estimate; Householder 65 years and over: - Less than 20.0 percent,Margin of Error; Householder 65 years and over: - Less than 20.0 percent,Estimate; Householder 65 years and over: - 20.0 to 24.9 percent,Margin of Error; Householder 65 years and over: - 20.0 to 24.9 percent,Estimate; Householder 65 years and over: - 25.0 to 29.9 percent,Margin of Error; Householder 65 years and over: - 25.0 to 29.9 percent,Estimate; Householder 65 years and over: - 30.0 to 34.9 percent,Margin of Error; Householder 65 years and over: - 30.0 to 34.9 percent,Estimate; Householder 65 years and over: - 35.0 percent or more,Margin of Error; Householder 65 years and over: - 35.0 percent or more,Estimate; Householder 65 years and over: - Not computed,Margin of Error; Householder 65 years and over: - Not computed
0500000US41001,41001,"Baker County, Oregon",4768,187,13,21,6,12,0,19,0,19,0,19,7,16,0,19,247,74,117,60,31,26,28,28,12,18,59,37,0,19,2539,161,1367,148,374,98,171,66,65,44,533,111,29,30,1969,100,1195,95,240,80,139,49,83,43,312,81,0,19
0500000US41003,41003,"Benton County, Oregon",19346,486,79,54,0,28,2,4,11,19,6,9,48,46,12,18,1570,223,628,172,142,55,337,113,136,65,327,124,0,28,12271,402,6464,367,1504,201,1130,179,828,182,2208,255,137,84,5426,247,3192,242,475,126,514,137,260,91,963,164,22,24
0500000US41005,41005,"Clackamas County, Oregon",100826,1307,669,207,339,143,100,71,37,49,29,28,164,85,0,28,6976,523,1741,321,1210,238,1290,266,984,212,1751,242,0,28,67407,1041,25888,904,9707,543,7679,527,6053,489,17590,862,490,148,25774,640,12643,556,2768,317,2148,265,1612,230,6453,432,150,83
0500000US41007,41007,"Clatsop County, Oregon",9870,313,40,43,0,25,23,38,0,25,6,10,11,18,0,25,491,128,205,82,16,19,100,67,37,35,133,58,0,25,5848,254,2462,262,765,146,477,125,518,140,1589,231,37,36,3491,169,1675,181,312,89,352,106,318,86,834,162,0,25
0500000US41009,41009,"Columbia County, Oregon",14084,505,82,62,0,25,25,39,22,34,12,19,23,28,0,25,1155,190,304,104,163,59,217,85,118,65,353,122,0,25,9210,390,4317,294,1310,207,1030,186,708,154,1807,268,38,28,3637,217,2083,200,410,109,256,87,225,95,642,128,21,24
0500000US41011,41011,"Coos County, Oregon",17238,586,132,84,28,37,5,9,32,44,41,46,26,43,0,28,711,144,298,100,108,59,89,65,73,60,143,73,0,28,9090,466,4047,384,1132,175,956,208,688,184,2115,272,152,104,7305,352,3904,317,677,163,609,141,473,153,1552,218,90,52
0500000US41013,41013,"Crook County, Oregon",6260,306,25,35,0,22,0,22,25,35,0,22,0,22,0,22,387,130,99,71,0,22,0,22,47,62,223,111,18,31,3423,254,1506,227,448,127,272,108,313,121,860,181,24,18,2425,165,1240,157,240,85,171,77,100,56,661,161,13,20
0500000US41015,41015,"Curry County, Oregon",7022,474,66,76,0,22,0,22,0,22,0,22,66,76,0,22,263,117,61,61,58,55,51,48,21,33,72,54,0,22,3194,421,1443,283,458,171,284,124,192,94,784,188,33,36,3499,203,1876,229,216,86,175,79,359,135,873,185,0,22
0500000US41017,41017,"Deschutes County, Oregon",42301,901,284,126,66,51,0,28,51,79,45,51,122,73,0,28,3225,369,1255,260,358,136,435,161,365,128,812,239,0,28,25793,782,9568,658,3522,389,2685,446,1970,311,7846,609,202,122,12999,448,5848,392,1357,243,1227,248,729,163,3738,393,100,70
