GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Percent of income imputed -- - No income imputed,Estimate; Percent of income imputed -- - Dollar value of zero imputed,Estimate; Percent of income imputed -- - More than 0 to less than 10 percent of total income for household imputed,Estimate; Percent of income imputed -- - 10 to less than 25 percent of total income for household imputed,Estimate; Percent of income imputed -- - 25 to less than 50 percent of total income for household imputed,Estimate; Percent of income imputed -- - 50 to less than 100 percent of total income for household imputed,Estimate; Percent of income imputed -- - 100 percent of total income for household imputed
0500000US41001,41001,"Baker County, Oregon",7120,5090,164,193,103,225,279,1066
0500000US41003,41003,"Benton County, Oregon",33384,26378,764,845,547,853,1120,2877
0500000US41005,41005,"Clackamas County, Oregon",146527,109987,3438,3964,2494,4189,6661,15794
0500000US41007,41007,"Clatsop County, Oregon",15749,11655,373,470,391,595,753,1512
0500000US41009,41009,"Columbia County, Oregon",19069,14838,423,498,341,526,691,1752
0500000US41011,41011,"Coos County, Oregon",26072,18873,776,506,593,901,1324,3099
0500000US41013,41013,"Crook County, Oregon",8880,6535,239,214,147,205,478,1062
0500000US41015,41015,"Curry County, Oregon",10355,6992,259,382,245,273,663,1541
0500000US41017,41017,"Deschutes County, Oregon",64568,48039,1349,1600,1226,1683,3138,7533
0500000US41019,41019,"Douglas County, Oregon",43846,31285,1230,1122,702,1180,2130,6197
0500000US41021,41021,"Gilliam County, Oregon",883,633,2,11,13,13,64,147
0500000US41023,41023,"Grant County, Oregon",3319,2353,66,152,124,65,120,439
0500000US41025,41025,"Harney County, Oregon",3113,2096,44,92,90,77,282,432
0500000US41027,41027,"Hood River County, Oregon",8144,6430,217,193,101,258,280,665
0500000US41029,41029,"Jackson County, Oregon",83140,60960,1939,1803,1983,2307,4916,9232
0500000US41031,41031,"Jefferson County, Oregon",7882,4810,104,366,233,296,615,1458
0500000US41033,41033,"Josephine County, Oregon",34390,23673,1138,593,604,899,1977,5506
0500000US41035,41035,"Klamath County, Oregon",27378,20708,766,531,434,771,1219,2949
0500000US41037,41037,"Lake County, Oregon",3566,2510,115,144,47,120,157,473
0500000US41039,41039,"Lane County, Oregon",144912,110843,3829,3340,3106,3423,6242,14129
0500000US41041,41041,"Lincoln County, Oregon",20913,15039,468,635,431,696,1018,2626
0500000US41043,41043,"Linn County, Oregon",44722,33847,1334,1179,893,1272,1730,4467
0500000US41045,41045,"Malheur County, Oregon",10136,7468,205,308,189,222,447,1297
0500000US41047,41047,"Marion County, Oregon",113285,85366,2960,2888,2240,3584,5194,11053
0500000US41049,41049,"Morrow County, Oregon",3741,2560,47,135,102,96,283,518
0500000US41051,41051,"Multnomah County, Oregon",305939,242783,6868,6787,5339,7637,12392,24133
0500000US41053,41053,"Polk County, Oregon",28239,21857,740,887,557,840,944,2414
0500000US41055,41055,"Sherman County, Oregon",827,592,13,13,12,41,50,106
0500000US41057,41057,"Tillamook County, Oregon",10236,8023,265,192,184,288,349,935
0500000US41059,41059,"Umatilla County, Oregon",26744,18136,722,1073,930,1040,1388,3455
0500000US41061,41061,"Union County, Oregon",10235,7281,319,455,236,233,605,1106
0500000US41063,41063,"Wallowa County, Oregon",2996,1983,66,100,83,117,124,523
0500000US41065,41065,"Wasco County, Oregon",9612,6828,316,278,180,350,463,1197
0500000US41067,41067,"Washington County, Oregon",201771,163535,4452,4304,3191,3488,7290,15511
0500000US41069,41069,"Wheeler County, Oregon",625,450,1,18,22,8,31,95
0500000US41071,41071,"Yamhill County, Oregon",34138,26765,628,767,623,862,1442,3051
