GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children under 18 years:,Margin of Error; Married-couple family: - With own children under 18 years:,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children under 18 years,Margin of Error; Married-couple family: - No own children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children under 18 years"
0500000US41001,41001,"Baker County, Oregon",4603,238,3792,243,1096,152,260,82,213,89,623,103,2696,184,811,164,196,80,103,60,5,7,32,35,66,48,93,59,615,128,431,116,126,66,55,56,250,85,184,61
0500000US41003,41003,"Benton County, Oregon",18698,502,15325,536,5595,368,1295,211,1292,223,3008,270,9730,390,3373,347,846,182,421,127,101,87,18,23,302,112,425,126,2527,301,1420,258,255,122,263,123,902,191,1107,201
0500000US41005,41005,"Clackamas County, Oregon",101963,1101,81180,1175,32396,914,6466,682,6578,446,19352,823,48784,921,20783,820,6457,558,3490,464,509,168,569,198,2412,356,2967,333,14326,653,8292,638,1647,315,954,257,5691,549,6034,553
0500000US41007,41007,"Clatsop County, Oregon",9878,425,7546,393,2387,250,604,152,414,106,1369,190,5159,338,2332,277,634,177,445,150,157,115,62,58,226,80,189,77,1698,256,956,174,205,98,235,96,516,122,742,171
0500000US41009,41009,"Columbia County, Oregon",13725,409,10862,432,3656,281,699,191,723,137,2234,257,7206,362,2863,360,859,204,559,185,79,55,78,64,402,140,300,105,2004,301,1238,221,291,107,204,94,743,169,766,179
0500000US41011,41011,"Coos County, Oregon",15899,626,12294,611,3391,379,708,190,590,157,2093,316,8903,486,3605,442,1059,213,399,128,47,33,103,79,249,107,660,179,2546,369,1215,265,295,141,226,98,694,187,1331,238
0500000US41013,41013,"Crook County, Oregon",6041,312,4901,300,1512,210,243,111,382,122,887,177,3389,241,1140,213,420,144,205,108,84,70,18,28,103,71,215,104,720,170,392,139,94,62,15,23,283,127,328,121
0500000US41015,41015,"Curry County, Oregon",6164,473,5066,490,970,247,259,144,190,108,521,206,4096,406,1098,249,434,180,277,156,9,10,127,103,141,120,157,110,664,167,272,108,80,64,19,19,173,98,392,129
0500000US41017,41017,"Deschutes County, Oregon",43353,933,34757,844,12741,618,2633,328,2792,381,7316,527,22016,771,8596,696,2870,419,1875,324,670,229,317,149,888,272,995,291,5726,572,3359,458,827,231,441,188,2091,347,2367,386
