GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male householder:
HD02_VD02,Margin of Error; Male householder:
HD01_VD03,Estimate; Male householder: - Living alone:
HD02_VD03,Margin of Error; Male householder: - Living alone:
HD01_VD04,Estimate; Male householder: - Living alone: - Householder 15 to 64 years
HD02_VD04,Margin of Error; Male householder: - Living alone: - Householder 15 to 64 years
HD01_VD05,Estimate; Male householder: - Living alone: - Householder 65 years and over
HD02_VD05,Margin of Error; Male householder: - Living alone: - Householder 65 years and over
HD01_VD06,Estimate; Male householder: - Not living alone:
HD02_VD06,Margin of Error; Male householder: - Not living alone:
HD01_VD07,Estimate; Male householder: - Not living alone: - Householder 15 to 64 years
HD02_VD07,Margin of Error; Male householder: - Not living alone: - Householder 15 to 64 years
HD01_VD08,Estimate; Male householder: - Not living alone: - Householder 65 years and over
HD02_VD08,Margin of Error; Male householder: - Not living alone: - Householder 65 years and over
HD01_VD09,Estimate; Female householder:
HD02_VD09,Margin of Error; Female householder:
HD01_VD10,Estimate; Female householder: - Living alone:
HD02_VD10,Margin of Error; Female householder: - Living alone:
HD01_VD11,Estimate; Female householder: - Living alone: - Householder 15 to 64 years
HD02_VD11,Margin of Error; Female householder: - Living alone: - Householder 15 to 64 years
HD01_VD12,Estimate; Female householder: - Living alone: - Householder 65 years and over
HD02_VD12,Margin of Error; Female householder: - Living alone: - Householder 65 years and over
HD01_VD13,Estimate; Female householder: - Not living alone:
HD02_VD13,Margin of Error; Female householder: - Not living alone:
HD01_VD14,Estimate; Female householder: - Not living alone: - Householder 15 to 64 years
HD02_VD14,Margin of Error; Female householder: - Not living alone: - Householder 15 to 64 years
HD01_VD15,Estimate; Female householder: - Not living alone: - Householder 65 years and over
HD02_VD15,Margin of Error; Female householder: - Not living alone: - Householder 65 years and over
