GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - In labor force:,Margin of Error; Income in the past 12 months below poverty level: - Male: - In labor force:,Estimate; Income in the past 12 months below poverty level: - Male: - In labor force: - Employed,Margin of Error; Income in the past 12 months below poverty level: - Male: - In labor force: - Employed,Estimate; Income in the past 12 months below poverty level: - Male: - In labor force: - Unemployed,Margin of Error; Income in the past 12 months below poverty level: - Male: - In labor force: - Unemployed,Estimate; Income in the past 12 months below poverty level: - Male: - Not in labor force,Margin of Error; Income in the past 12 months below poverty level: - Male: - Not in labor force,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - In labor force:,Margin of Error; Income in the past 12 months below poverty level: - Female: - In labor force:,Estimate; Income in the past 12 months below poverty level: - Female: - In labor force: - Employed,Margin of Error; Income in the past 12 months below poverty level: - Female: - In labor force: - Employed,Estimate; Income in the past 12 months below poverty level: - Female: - In labor force: - Unemployed,Margin of Error; Income in the past 12 months below poverty level: - Female: - In labor force: - Unemployed,Estimate; Income in the past 12 months below poverty level: - Female: - Not in labor force,Margin of Error; Income in the past 12 months below poverty level: - Female: - Not in labor force,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - In labor force:,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - In labor force:,Estimate; Income in the past 12 months at or above poverty level: - Male: - In labor force: - Employed,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - In labor force: - Employed,Estimate; Income in the past 12 months at or above poverty level: - Male: - In labor force: - Unemployed,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - In labor force: - Unemployed,Estimate; Income in the past 12 months at or above poverty level: - Male: - Not in labor force,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Not in labor force,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - In labor force:,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - In labor force:,Estimate; Income in the past 12 months at or above poverty level: - Female: - In labor force: - Employed,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - In labor force: - Employed,Estimate; Income in the past 12 months at or above poverty level: - Female: - In labor force: - Unemployed,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - In labor force: - Unemployed,Estimate; Income in the past 12 months at or above poverty level: - Female: - Not in labor force,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Not in labor force
0500000US41001,41001,"Baker County, Oregon",12906,134,1940,291,827,156,434,123,199,76,235,94,393,104,1113,190,539,124,388,115,151,79,574,145,10966,298,5495,171,3354,170,3072,199,282,93,2141,146,5471,193,2952,219,2787,203,165,62,2519,157
0500000US41003,41003,"Benton County, Oregon",67811,397,15950,829,7906,546,3652,507,2975,428,677,215,4254,502,8044,543,4448,577,3793,550,655,161,3596,469,51861,802,25828,537,18251,484,16810,482,1441,256,7577,384,26033,561,16140,602,15490,571,650,151,9893,433
0500000US41005,41005,"Clackamas County, Oregon",302093,517,27618,1334,12265,837,6985,676,4372,600,2613,399,5280,525,15353,809,6525,499,4295,421,2230,324,8828,832,274475,1464,134608,944,99651,1166,90916,1197,8735,723,34957,912,139867,898,85625,1213,78559,1268,7066,636,54242,1065
0500000US41007,41007,"Clatsop County, Oregon",29557,243,4166,546,1736,331,1176,291,859,245,317,132,560,179,2430,295,1084,207,863,194,221,103,1346,241,25391,581,12576,361,8567,369,7828,384,739,138,4009,273,12815,316,7683,385,7200,384,483,147,5132,290
0500000US41009,41009,"Columbia County, Oregon",38831,187,4513,567,1885,318,1063,217,545,145,518,160,822,221,2628,362,1057,233,664,172,393,147,1571,274,34318,596,17285,357,11412,495,10176,508,1236,248,5873,394,17033,370,9977,438,9027,413,950,199,7056,402
0500000US41011,41011,"Coos County, Oregon",51310,239,8700,665,4210,428,2243,382,1194,245,1049,247,1967,298,4490,447,1744,314,1264,259,480,163,2746,361,42610,693,20608,401,11775,494,10422,541,1353,238,8833,427,22002,479,11451,519,10770,478,681,177,10551,538
0500000US41013,41013,"Crook County, Oregon",16923,96,2855,376,1055,219,523,146,227,88,296,126,532,158,1800,232,682,192,454,137,228,119,1118,190,14068,385,7254,236,4478,256,3740,256,738,203,2776,204,6814,236,3591,264,3256,263,335,100,3223,240
0500000US41015,41015,"Curry County, Oregon",19127,162,2754,534,1137,315,569,216,174,78,395,209,568,221,1617,323,557,175,339,131,218,119,1060,266,16373,557,8112,335,4080,341,3653,372,427,161,4032,261,8261,381,4238,277,3854,303,384,144,4023,345
0500000US41017,41017,"Deschutes County, Oregon",127593,404,16480,1277,7663,758,4186,587,2567,438,1619,355,3477,553,8817,815,4166,599,2961,487,1205,333,4651,515,111113,1382,54360,806,37262,950,33095,1062,4167,470,17098,718,56753,894,33806,1012,31137,968,2669,434,22947,857
0500000US41019,41019,"Douglas County, Oregon",87539,268,14314,1136,5979,611,2545,323,1448,259,1097,233,3434,503,8335,728,3487,495,2208,351,1279,269,4848,519,73225,1186,36572,666,21066,630,18651,656,2415,328,15506,617,36653,717,19029,653,17331,669,1698,267,17624,663
0500000US41021,41021,"Gilliam County, Oregon",1572,60,191,52,87,27,28,15,7,8,21,15,59,24,104,36,24,22,11,11,13,17,80,31,1381,71,741,54,583,57,516,54,67,30,158,39,640,55,370,53,353,52,17,11,270,46
