GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,Estimate; Income in the past 12 months below poverty level: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years"
0500000US41001,41001,"Baker County, Oregon",95,38,47,37,8,16,8,16,0,19,8,16,0,19,0,19,39,37,0,19,0,19,0,19,0,19,0,19,0,19,39,37,39,37,0,19,26,38,13,14,0,19,48,38,42,34,0,19,0,19,0,19,0,19,42,34,6,11,0,19,0,19,0,19,0,19,0,19,0,19,6,11,6,11,0,19,0,19,6,11,0,19
0500000US41003,41003,"Benton County, Oregon",954,116,215,91,140,83,125,77,0,28,58,59,67,55,15,22,75,67,0,28,0,28,0,28,0,28,0,28,0,28,75,67,53,58,33,54,0,28,20,35,22,33,739,123,588,126,336,105,98,56,55,49,183,90,252,96,151,69,63,37,35,21,23,18,0,28,12,19,28,33,88,55,66,49,0,28,12,20,54,41,22,32
0500000US41005,41005,"Clackamas County, Oregon",5709,355,1359,274,784,197,637,178,49,60,236,134,352,152,147,100,575,221,300,176,245,161,0,28,153,138,92,77,55,72,275,149,220,132,12,19,50,50,158,114,55,70,4350,308,3535,317,2526,275,322,133,932,226,1272,301,1009,203,815,198,308,107,128,58,21,34,27,33,80,41,180,103,507,162,380,147,38,64,63,61,279,113,127,72
0500000US41007,41007,"Clatsop County, Oregon",623,99,153,73,94,64,74,54,29,34,33,38,12,18,20,30,59,66,25,32,25,32,17,28,0,25,8,13,0,25,34,54,34,54,0,25,0,25,34,54,0,25,470,101,299,90,196,89,79,60,21,23,96,54,103,54,171,78,75,57,67,57,0,25,15,25,52,50,8,15,96,58,81,55,37,39,0,25,44,37,15,24
0500000US41009,41009,"Columbia County, Oregon",466,117,172,84,53,46,53,46,0,25,22,38,31,27,0,25,119,90,0,25,0,25,0,25,0,25,0,25,0,25,119,90,119,90,0,25,119,90,0,25,0,25,294,116,265,116,98,81,0,25,22,40,76,73,167,74,29,35,16,28,16,28,16,28,0,25,0,25,0,25,13,21,13,21,0,25,13,21,0,25,0,25
0500000US41011,41011,"Coos County, Oregon",588,120,143,92,59,49,35,44,35,44,0,28,0,28,24,28,84,74,0,28,0,28,0,28,0,28,0,28,0,28,84,74,77,73,0,28,48,67,29,39,7,12,445,101,350,108,155,96,0,28,62,61,93,79,195,74,95,60,68,55,57,50,16,26,0,28,41,45,11,17,27,29,0,28,0,28,0,28,0,28,27,29
0500000US41013,41013,"Crook County, Oregon",394,85,101,64,101,64,72,56,0,22,0,22,72,56,29,31,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,293,78,200,80,186,78,79,67,25,31,82,60,14,23,93,81,52,54,40,52,0,22,0,22,40,52,12,21,41,61,41,61,0,22,0,22,41,61,0,22
0500000US41015,41015,"Curry County, Oregon",324,126,42,44,29,41,0,22,0,22,0,22,0,22,29,41,13,16,0,22,0,22,0,22,0,22,0,22,0,22,13,16,13,16,0,22,13,16,0,22,0,22,282,120,261,121,151,110,93,79,0,22,58,63,110,91,21,19,13,15,7,13,0,22,0,22,7,13,6,9,8,14,0,22,0,22,0,22,0,22,8,14
0500000US41017,41017,"Deschutes County, Oregon",2577,316,763,238,349,186,317,178,0,28,192,139,125,128,32,53,414,174,187,101,187,101,9,18,80,72,98,90,0,28,227,132,227,132,71,78,43,52,113,77,0,28,1814,290,1457,272,842,260,166,112,130,94,546,265,615,253,357,157,224,152,122,98,90,93,0,28,32,36,102,135,133,83,79,60,13,21,0,28,66,56,54,64
