GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Married-couple family: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Married-couple family: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - Bachelor's degree or higher,Estimate; Income in the past 12 months below poverty level: - Other families:,Margin of Error; Income in the past 12 months below poverty level: - Other families:,"Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - Less than high school graduate","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - Less than high school graduate","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - High school graduate (includes equivalency)","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - High school graduate (includes equivalency)","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - Some college, associate's degree","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - Bachelor's degree or higher","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - Bachelor's degree or higher","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - Less than high school graduate","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - Less than high school graduate","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - High school graduate (includes equivalency)","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - High school graduate (includes equivalency)","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - Some college, associate's degree","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - Bachelor's degree or higher","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - Bachelor's degree or higher",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level: - Other families:,Margin of Error; Income in the past 12 months at or above poverty level: - Other families:,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - Less than high school graduate","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - Less than high school graduate","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - High school graduate (includes equivalency)","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - High school graduate (includes equivalency)","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - Some college, associate's degree","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - Bachelor's degree or higher","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - Bachelor's degree or higher","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - Less than high school graduate","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - Less than high school graduate","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - High school graduate (includes equivalency)","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - High school graduate (includes equivalency)","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - Some college, associate's degree","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - Bachelor's degree or higher","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - Bachelor's degree or higher"
0500000US41001,41001,"Baker County, Oregon",4603,238,540,123,186,67,43,34,57,39,74,43,12,13,354,111,45,43,0,19,5,16,40,40,0,19,309,90,68,46,150,76,76,46,15,18,4063,215,3606,236,233,81,795,129,1508,217,1070,157,457,118,151,65,11,14,82,53,39,31,19,20,306,93,29,25,48,32,196,88,33,30
0500000US41003,41003,"Benton County, Oregon",18698,502,1779,262,767,178,74,49,165,71,306,107,222,93,1012,211,235,86,43,46,64,47,128,70,0,28,777,180,153,95,159,88,375,155,90,58,16919,462,14558,500,380,136,1594,223,3568,343,9016,468,2361,287,611,166,35,21,184,100,227,111,165,72,1750,244,56,55,296,123,828,180,570,153
0500000US41005,41005,"Clackamas County, Oregon",101963,1101,6930,539,2975,355,716,186,815,178,816,207,628,184,3955,438,739,239,147,88,239,144,353,165,0,28,3216,382,318,131,1154,264,1367,227,377,160,95033,1117,78205,1168,3577,424,14613,690,29178,1020,30837,962,16828,831,5718,531,488,155,1361,291,2407,372,1462,291,11110,647,873,220,2564,363,4939,507,2734,305
0500000US41007,41007,"Clatsop County, Oregon",9878,425,1321,231,492,143,67,49,201,90,163,79,61,45,829,188,145,105,26,22,91,92,28,32,0,25,684,182,98,67,141,79,380,152,65,58,8557,404,7054,412,369,132,1431,227,3099,283,2155,259,1503,223,489,142,74,50,131,68,164,83,120,70,1014,174,92,52,254,89,496,134,172,61
0500000US41009,41009,"Columbia County, Oregon",13725,409,1272,230,464,133,102,56,153,71,100,58,109,63,808,199,142,80,16,18,74,62,45,41,7,11,666,179,196,103,167,78,275,113,28,27,12453,386,10398,444,705,161,2892,315,4478,366,2323,270,2055,282,717,162,65,62,275,104,275,105,102,56,1338,229,106,63,480,159,543,142,209,91
0500000US41011,41011,"Coos County, Oregon",15899,626,1789,286,767,154,147,76,148,75,376,118,96,58,1022,230,183,84,53,64,73,72,50,39,7,11,839,207,179,84,266,118,371,135,23,27,14110,592,11527,576,929,232,2977,339,4534,330,3087,331,2583,392,876,206,210,112,287,111,296,141,83,56,1707,299,197,90,542,181,835,210,133,71
0500000US41013,41013,"Crook County, Oregon",6041,312,881,197,555,179,107,65,206,105,209,122,33,32,326,118,68,48,0,22,42,38,0,22,26,31,258,108,135,93,18,25,65,49,40,44,5160,263,4346,252,321,94,1614,221,1596,229,815,182,814,187,352,135,67,64,123,74,89,86,73,59,462,144,128,86,142,87,167,84,25,30
0500000US41015,41015,"Curry County, Oregon",6164,473,478,162,147,81,26,31,29,24,79,58,13,20,331,131,50,53,0,22,50,53,0,22,0,22,281,120,21,27,142,90,99,72,19,29,5686,500,4919,487,316,124,1328,256,1969,347,1306,239,767,203,384,162,44,31,129,95,196,123,15,13,383,114,13,21,111,71,194,99,65,44
0500000US41017,41017,"Deschutes County, Oregon",43353,933,4689,546,2320,445,264,187,550,206,1113,264,393,139,2369,375,752,208,183,127,242,118,240,137,87,84,1617,316,204,121,272,116,985,229,156,108,38664,1014,32437,843,1467,288,5788,515,12499,765,12683,699,6227,618,2118,406,374,195,242,111,997,282,505,209,4109,447,236,133,807,199,2158,332,908,290
0500000US41019,41019,"Douglas County, Oregon",29217,689,4001,431,1606,266,285,102,576,167,621,175,124,95,2395,328,594,171,212,97,201,113,171,84,10,17,1801,305,147,78,506,159,1106,257,42,64,25216,688,20872,664,1571,272,5855,541,9043,552,4403,310,4344,437,1518,316,193,123,489,163,580,192,256,125,2826,338,332,142,742,135,1274,209,478,159
0500000US41021,41021,"Gilliam County, Oregon",532,44,30,19,16,13,7,6,9,11,0,12,0,12,14,13,6,9,0,12,6,9,0,12,0,12,8,10,0,12,0,12,8,10,0,12,502,46,419,47,23,13,109,33,205,49,82,25,83,33,15,16,0,12,15,16,0,12,0,12,68,31,9,11,30,19,29,19,0,12
0500000US41023,41023,"Grant County, Oregon",2126,143,293,100,139,68,71,58,16,17,52,33,0,17,154,68,47,34,2,3,0,17,38,32,7,10,107,52,6,9,79,52,17,14,5,7,1833,139,1633,132,91,30,422,79,697,111,423,96,200,66,73,32,0,17,45,27,25,18,3,5,127,50,5,7,19,14,63,29,40,37
0500000US41025,41025,"Harney County, Oregon",2158,174,321,113,189,91,73,42,21,19,95,83,0,17,132,67,21,23,0,17,16,21,5,8,0,17,111,59,12,16,71,57,16,18,12,19,1837,142,1571,137,151,87,559,115,537,94,324,103,266,100,100,67,0,17,52,56,45,38,3,5,166,84,3,5,98,65,61,52,4,4
0500000US41027,41027,"Hood River County, Oregon",5453,368,364,162,208,109,78,64,83,70,33,42,14,28,156,111,7,13,7,13,0,22,0,22,0,22,149,111,7,8,117,103,25,32,0,22,5089,333,4327,319,534,144,961,180,1295,263,1537,246,762,170,301,109,136,69,66,47,83,52,16,28,461,136,17,19,89,61,252,116,103,67
0500000US41029,41029,"Jackson County, Oregon",53998,961,6831,602,2675,350,690,226,668,175,1014,233,303,114,4156,513,847,247,208,107,285,114,312,154,42,38,3309,488,628,181,948,278,1468,303,265,141,47167,952,38076,936,2861,409,8587,741,14453,831,12175,638,9091,675,2647,422,225,85,806,190,1082,302,534,163,6444,548,785,236,1598,262,2849,367,1212,233
0500000US41031,41031,"Jefferson County, Oregon",5506,301,824,154,199,81,58,46,36,34,105,56,0,22,625,145,186,103,64,55,28,34,50,36,44,67,439,120,170,81,108,61,158,79,3,6,4682,327,3506,308,422,142,1086,186,1246,189,752,153,1176,198,567,159,100,77,292,122,98,64,77,68,609,135,37,31,243,96,286,100,43,34
0500000US41033,41033,"Josephine County, Oregon",22009,700,3157,382,1506,291,256,131,657,199,436,127,157,115,1651,318,602,192,119,86,137,78,310,152,36,49,1049,271,58,69,448,163,507,201,36,42,18852,647,15371,679,1239,237,3933,377,6671,516,3528,390,3481,406,1090,245,81,69,416,141,475,167,118,67,2391,327,211,88,725,191,1092,248,363,154
0500000US41035,41035,"Klamath County, Oregon",18313,530,2629,371,1208,277,326,113,316,131,487,178,79,57,1421,244,255,102,29,30,144,87,82,44,0,28,1166,223,349,123,451,144,366,130,0,28,15684,556,12119,508,896,172,3375,329,4472,362,3376,346,3565,332,1473,255,103,66,667,207,551,186,152,77,2092,264,298,117,755,181,703,150,336,138
0500000US41037,41037,"Lake County, Oregon",2148,192,304,108,198,93,4,6,122,82,55,39,17,18,106,62,0,17,0,17,0,17,0,17,0,17,106,62,26,26,39,38,41,39,0,17,1844,200,1680,195,204,100,500,122,543,107,433,106,164,67,73,46,29,36,10,12,28,27,6,9,91,46,19,29,17,18,43,38,12,15
0500000US41039,41039,"Lane County, Oregon",86248,1114,10416,692,3711,400,518,127,1267,263,1419,254,507,138,6705,600,1546,341,269,141,430,162,701,251,146,83,5159,490,727,226,1198,267,2704,332,530,176,75832,1207,60481,1161,3442,334,12289,780,23351,917,21399,796,15351,774,5038,457,749,164,1355,261,2040,312,894,199,10313,655,759,176,2402,321,4718,473,2434,318
0500000US41041,41041,"Lincoln County, Oregon",13045,489,1471,227,643,144,138,75,204,93,235,111,66,38,828,170,121,63,77,58,19,20,25,21,0,25,707,154,173,79,281,111,246,98,7,11,11574,487,9503,488,644,180,2329,248,3718,315,2812,286,2071,274,773,194,135,81,224,92,336,130,78,49,1298,238,197,84,267,94,594,163,240,103
0500000US41043,41043,"Linn County, Oregon",30845,638,3883,412,1455,260,315,134,452,150,581,157,107,55,2428,368,332,161,64,51,95,76,169,119,4,6,2096,322,329,139,709,187,1039,252,19,21,26962,674,22411,773,1701,281,6286,503,10181,581,4243,383,4551,489,1582,267,188,115,641,180,638,171,115,66,2969,366,240,113,832,236,1440,235,457,137
0500000US41045,41045,"Malheur County, Oregon",6879,291,1378,221,602,144,176,84,197,85,208,90,21,18,776,152,128,71,79,62,20,19,29,29,0,25,648,138,284,113,121,59,218,93,25,39,5501,296,4633,283,601,127,1177,186,1922,192,933,143,868,149,318,108,59,40,70,33,160,82,29,28,550,127,126,73,62,34,302,102,60,34
0500000US41047,41047,"Marion County, Oregon",78306,946,11200,795,4493,485,1827,348,1183,273,1025,242,458,176,6707,675,1236,296,332,151,438,190,432,147,34,32,5471,641,1615,324,1537,263,2125,384,194,103,67106,931,52985,1032,5413,484,11618,675,20160,787,15794,711,14121,829,4754,426,1393,269,1289,264,1400,242,672,177,9367,674,1131,265,2536,370,4110,508,1590,295
0500000US41049,41049,"Morrow County, Oregon",2811,174,434,92,117,56,62,44,7,11,43,28,5,9,317,80,111,61,45,39,40,37,26,30,0,19,206,67,51,36,118,47,35,39,2,4,2377,159,2063,143,304,88,690,129,811,136,258,61,314,91,99,52,28,39,29,22,42,25,0,19,215,77,99,63,46,28,49,34,21,19
