GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Householder under 25 years:
HD02_VD02,Margin of Error; Householder under 25 years:
HD01_VD03,"Estimate; Householder under 25 years: - Less than $10,000"
HD02_VD03,"Margin of Error; Householder under 25 years: - Less than $10,000"
HD01_VD04,"Estimate; Householder under 25 years: - $10,000 to $14,999"
HD02_VD04,"Margin of Error; Householder under 25 years: - $10,000 to $14,999"
HD01_VD05,"Estimate; Householder under 25 years: - $15,000 to $19,999"
HD02_VD05,"Margin of Error; Householder under 25 years: - $15,000 to $19,999"
HD01_VD06,"Estimate; Householder under 25 years: - $20,000 to $24,999"
HD02_VD06,"Margin of Error; Householder under 25 years: - $20,000 to $24,999"
HD01_VD07,"Estimate; Householder under 25 years: - $25,000 to $29,999"
HD02_VD07,"Margin of Error; Householder under 25 years: - $25,000 to $29,999"
HD01_VD08,"Estimate; Householder under 25 years: - $30,000 to $34,999"
HD02_VD08,"Margin of Error; Householder under 25 years: - $30,000 to $34,999"
HD01_VD09,"Estimate; Householder under 25 years: - $35,000 to $39,999"
HD02_VD09,"Margin of Error; Householder under 25 years: - $35,000 to $39,999"
HD01_VD10,"Estimate; Householder under 25 years: - $40,000 to $44,999"
HD02_VD10,"Margin of Error; Householder under 25 years: - $40,000 to $44,999"
HD01_VD11,"Estimate; Householder under 25 years: - $45,000 to $49,999"
HD02_VD11,"Margin of Error; Householder under 25 years: - $45,000 to $49,999"
HD01_VD12,"Estimate; Householder under 25 years: - $50,000 to $59,999"
HD02_VD12,"Margin of Error; Householder under 25 years: - $50,000 to $59,999"
HD01_VD13,"Estimate; Householder under 25 years: - $60,000 to $74,999"
HD02_VD13,"Margin of Error; Householder under 25 years: - $60,000 to $74,999"
HD01_VD14,"Estimate; Householder under 25 years: - $75,000 to $99,999"
HD02_VD14,"Margin of Error; Householder under 25 years: - $75,000 to $99,999"
HD01_VD15,"Estimate; Householder under 25 years: - $100,000 to $124,999"
HD02_VD15,"Margin of Error; Householder under 25 years: - $100,000 to $124,999"
HD01_VD16,"Estimate; Householder under 25 years: - $125,000 to $149,999"
HD02_VD16,"Margin of Error; Householder under 25 years: - $125,000 to $149,999"
HD01_VD17,"Estimate; Householder under 25 years: - $150,000 to $199,999"
HD02_VD17,"Margin of Error; Householder under 25 years: - $150,000 to $199,999"
HD01_VD18,"Estimate; Householder under 25 years: - $200,000 or more"
HD02_VD18,"Margin of Error; Householder under 25 years: - $200,000 or more"
HD01_VD19,Estimate; Householder 25 to 44 years:
HD02_VD19,Margin of Error; Householder 25 to 44 years:
HD01_VD20,"Estimate; Householder 25 to 44 years: - Less than $10,000"
HD02_VD20,"Margin of Error; Householder 25 to 44 years: - Less than $10,000"
HD01_VD21,"Estimate; Householder 25 to 44 years: - $10,000 to $14,999"
HD02_VD21,"Margin of Error; Householder 25 to 44 years: - $10,000 to $14,999"
HD01_VD22,"Estimate; Householder 25 to 44 years: - $15,000 to $19,999"
HD02_VD22,"Margin of Error; Householder 25 to 44 years: - $15,000 to $19,999"
HD01_VD23,"Estimate; Householder 25 to 44 years: - $20,000 to $24,999"
HD02_VD23,"Margin of Error; Householder 25 to 44 years: - $20,000 to $24,999"
HD01_VD24,"Estimate; Householder 25 to 44 years: - $25,000 to $29,999"
HD02_VD24,"Margin of Error; Householder 25 to 44 years: - $25,000 to $29,999"
HD01_VD25,"Estimate; Householder 25 to 44 years: - $30,000 to $34,999"
HD02_VD25,"Margin of Error; Householder 25 to 44 years: - $30,000 to $34,999"
HD01_VD26,"Estimate; Householder 25 to 44 years: - $35,000 to $39,999"
HD02_VD26,"Margin of Error; Householder 25 to 44 years: - $35,000 to $39,999"
HD01_VD27,"Estimate; Householder 25 to 44 years: - $40,000 to $44,999"
HD02_VD27,"Margin of Error; Householder 25 to 44 years: - $40,000 to $44,999"
HD01_VD28,"Estimate; Householder 25 to 44 years: - $45,000 to $49,999"
HD02_VD28,"Margin of Error; Householder 25 to 44 years: - $45,000 to $49,999"
HD01_VD29,"Estimate; Householder 25 to 44 years: - $50,000 to $59,999"
HD02_VD29,"Margin of Error; Householder 25 to 44 years: - $50,000 to $59,999"
HD01_VD30,"Estimate; Householder 25 to 44 years: - $60,000 to $74,999"
HD02_VD30,"Margin of Error; Householder 25 to 44 years: - $60,000 to $74,999"
HD01_VD31,"Estimate; Householder 25 to 44 years: - $75,000 to $99,999"
HD02_VD31,"Margin of Error; Householder 25 to 44 years: - $75,000 to $99,999"
HD01_VD32,"Estimate; Householder 25 to 44 years: - $100,000 to $124,999"
HD02_VD32,"Margin of Error; Householder 25 to 44 years: - $100,000 to $124,999"
HD01_VD33,"Estimate; Householder 25 to 44 years: - $125,000 to $149,999"
HD02_VD33,"Margin of Error; Householder 25 to 44 years: - $125,000 to $149,999"
HD01_VD34,"Estimate; Householder 25 to 44 years: - $150,000 to $199,999"
HD02_VD34,"Margin of Error; Householder 25 to 44 years: - $150,000 to $199,999"
HD01_VD35,"Estimate; Householder 25 to 44 years: - $200,000 or more"
HD02_VD35,"Margin of Error; Householder 25 to 44 years: - $200,000 or more"
HD01_VD36,Estimate; Householder 45 to 64 years:
HD02_VD36,Margin of Error; Householder 45 to 64 years:
HD01_VD37,"Estimate; Householder 45 to 64 years: - Less than $10,000"
HD02_VD37,"Margin of Error; Householder 45 to 64 years: - Less than $10,000"
HD01_VD38,"Estimate; Householder 45 to 64 years: - $10,000 to $14,999"
HD02_VD38,"Margin of Error; Householder 45 to 64 years: - $10,000 to $14,999"
HD01_VD39,"Estimate; Householder 45 to 64 years: - $15,000 to $19,999"
HD02_VD39,"Margin of Error; Householder 45 to 64 years: - $15,000 to $19,999"
HD01_VD40,"Estimate; Householder 45 to 64 years: - $20,000 to $24,999"
HD02_VD40,"Margin of Error; Householder 45 to 64 years: - $20,000 to $24,999"
HD01_VD41,"Estimate; Householder 45 to 64 years: - $25,000 to $29,999"
HD02_VD41,"Margin of Error; Householder 45 to 64 years: - $25,000 to $29,999"
HD01_VD42,"Estimate; Householder 45 to 64 years: - $30,000 to $34,999"
HD02_VD42,"Margin of Error; Householder 45 to 64 years: - $30,000 to $34,999"
HD01_VD43,"Estimate; Householder 45 to 64 years: - $35,000 to $39,999"
HD02_VD43,"Margin of Error; Householder 45 to 64 years: - $35,000 to $39,999"
HD01_VD44,"Estimate; Householder 45 to 64 years: - $40,000 to $44,999"
HD02_VD44,"Margin of Error; Householder 45 to 64 years: - $40,000 to $44,999"
HD01_VD45,"Estimate; Householder 45 to 64 years: - $45,000 to $49,999"
