GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Householder under 25 years:,Margin of Error; Householder under 25 years:,"Estimate; Householder under 25 years: - Less than $10,000","Margin of Error; Householder under 25 years: - Less than $10,000","Estimate; Householder under 25 years: - $10,000 to $14,999","Margin of Error; Householder under 25 years: - $10,000 to $14,999","Estimate; Householder under 25 years: - $15,000 to $19,999","Margin of Error; Householder under 25 years: - $15,000 to $19,999","Estimate; Householder under 25 years: - $20,000 to $24,999","Margin of Error; Householder under 25 years: - $20,000 to $24,999","Estimate; Householder under 25 years: - $25,000 to $29,999","Margin of Error; Householder under 25 years: - $25,000 to $29,999","Estimate; Householder under 25 years: - $30,000 to $34,999","Margin of Error; Householder under 25 years: - $30,000 to $34,999","Estimate; Householder under 25 years: - $35,000 to $39,999","Margin of Error; Householder under 25 years: - $35,000 to $39,999","Estimate; Householder under 25 years: - $40,000 to $44,999","Margin of Error; Householder under 25 years: - $40,000 to $44,999","Estimate; Householder under 25 years: - $45,000 to $49,999","Margin of Error; Householder under 25 years: - $45,000 to $49,999","Estimate; Householder under 25 years: - $50,000 to $59,999","Margin of Error; Householder under 25 years: - $50,000 to $59,999","Estimate; Householder under 25 years: - $60,000 to $74,999","Margin of Error; Householder under 25 years: - $60,000 to $74,999","Estimate; Householder under 25 years: - $75,000 to $99,999","Margin of Error; Householder under 25 years: - $75,000 to $99,999","Estimate; Householder under 25 years: - $100,000 to $124,999","Margin of Error; Householder under 25 years: - $100,000 to $124,999","Estimate; Householder under 25 years: - $125,000 to $149,999","Margin of Error; Householder under 25 years: - $125,000 to $149,999","Estimate; Householder under 25 years: - $150,000 to $199,999","Margin of Error; Householder under 25 years: - $150,000 to $199,999","Estimate; Householder under 25 years: - $200,000 or more","Margin of Error; Householder under 25 years: - $200,000 or more",Estimate; Householder 25 to 44 years:,Margin of Error; Householder 25 to 44 years:,"Estimate; Householder 25 to 44 years: - Less than $10,000","Margin of Error; Householder 25 to 44 years: - Less than $10,000","Estimate; Householder 25 to 44 years: - $10,000 to $14,999","Margin of Error; Householder 25 to 44 years: - $10,000 to $14,999","Estimate; Householder 25 to 44 years: - $15,000 to $19,999","Margin of Error; Householder 25 to 44 years: - $15,000 to $19,999","Estimate; Householder 25 to 44 years: - $20,000 to $24,999","Margin of Error; Householder 25 to 44 years: - $20,000 to $24,999","Estimate; Householder 25 to 44 years: - $25,000 to $29,999","Margin of Error; Householder 25 to 44 years: - $25,000 to $29,999","Estimate; Householder 25 to 44 years: - $30,000 to $34,999","Margin of Error; Householder 25 to 44 years: - $30,000 to $34,999","Estimate; Householder 25 to 44 years: - $35,000 to $39,999","Margin of Error; Householder 25 to 44 years: - $35,000 to $39,999","Estimate; Householder 25 to 44 years: - $40,000 to $44,999","Margin of Error; Householder 25 to 44 years: - $40,000 to $44,999","Estimate; Householder 25 to 44 years: - $45,000 to $49,999","Margin of Error; Householder 25 to 44 years: - $45,000 to $49,999","Estimate; Householder 25 to 44 years: - $50,000 to $59,999","Margin of Error; Householder 25 to 44 years: - $50,000 to $59,999","Estimate; Householder 25 to 44 years: - $60,000 to $74,999","Margin of Error; Householder 25 to 44 years: - $60,000 to $74,999","Estimate; Householder 25 to 44 years: - $75,000 to $99,999","Margin of Error; Householder 25 to 44 years: - $75,000 to $99,999","Estimate; Householder 25 to 44 years: - $100,000 to $124,999","Margin of Error; Householder 25 to 44 years: - $100,000 to $124,999","Estimate; Householder 25 to 44 years: - $125,000 to $149,999","Margin of Error; Householder 25 to 44 years: - $125,000 to $149,999","Estimate; Householder 25 to 44 years: - $150,000 to $199,999","Margin of Error; Householder 25 to 44 years: - $150,000 to $199,999","Estimate; Householder 25 to 44 years: - $200,000 or more","Margin of Error; Householder 25 to 44 years: - $200,000 or more",Estimate; Householder 45 to 64 years:,Margin of Error; Householder 45 to 64 years:,"Estimate; Householder 45 to 64 years: - Less than $10,000","Margin of Error; Householder 45 to 64 years: - Less than $10,000","Estimate; Householder 45 to 64 years: - $10,000 to $14,999","Margin of Error; Householder 45 to 64 years: - $10,000 to $14,999","Estimate; Householder 45 to 64 years: - $15,000 to $19,999","Margin of Error; Householder 45 to 64 years: - $15,000 to $19,999","Estimate; Householder 45 to 64 years: - $20,000 to $24,999","Margin of Error; Householder 45 to 64 years: - $20,000 to $24,999","Estimate; Householder 45 to 64 years: - $25,000 to $29,999","Margin of Error; Householder 45 to 64 years: - $25,000 to $29,999","Estimate; Householder 45 to 64 years: - $30,000 to $34,999","Margin of Error; Householder 45 to 64 years: - $30,000 to $34,999","Estimate; Householder 45 to 64 years: - $35,000 to $39,999","Margin of Error; Householder 45 to 64 years: - $35,000 to $39,999","Estimate; Householder 45 to 64 years: - $40,000 to $44,999","Margin of Error; Householder 45 to 64 years: - $40,000 to $44,999","Estimate; Householder 45 to 64 years: - $45,000 to $49,999","Margin of Error; Householder 45 to 64 years: - $45,000 to $49,999","Estimate; Householder 45 to 64 years: - $50,000 to $59,999","Margin of Error; Householder 45 to 64 years: - $50,000 to $59,999","Estimate; Householder 45 to 64 years: - $60,000 to $74,999","Margin of Error; Householder 45 to 64 years: - $60,000 to $74,999","Estimate; Householder 45 to 64 years: - $75,000 to $99,999","Margin of Error; Householder 45 to 64 years: - $75,000 to $99,999","Estimate; Householder 45 to 64 years: - $100,000 to $124,999","Margin of Error; Householder 45 to 64 years: - $100,000 to $124,999","Estimate; Householder 45 to 64 years: - $125,000 to $149,999","Margin of Error; Householder 45 to 64 years: - $125,000 to $149,999","Estimate; Householder 45 to 64 years: - $150,000 to $199,999","Margin of Error; Householder 45 to 64 years: - $150,000 to $199,999","Estimate; Householder 45 to 64 years: - $200,000 or more","Margin of Error; Householder 45 to 64 years: - $200,000 or more",Estimate; Householder 65 years and over:,Margin of Error; Householder 65 years and over:,"Estimate; Householder 65 years and over: - Less than $10,000","Margin of Error; Householder 65 years and over: - Less than $10,000","Estimate; Householder 65 years and over: - $10,000 to $14,999","Margin of Error; Householder 65 years and over: - $10,000 to $14,999","Estimate; Householder 65 years and over: - $15,000 to $19,999","Margin of Error; Householder 65 years and over: - $15,000 to $19,999","Estimate; Householder 65 years and over: - $20,000 to $24,999","Margin of Error; Householder 65 years and over: - $20,000 to $24,999","Estimate; Householder 65 years and over: - $25,000 to $29,999","Margin of Error; Householder 65 years and over: - $25,000 to $29,999","Estimate; Householder 65 years and over: - $30,000 to $34,999","Margin of Error; Householder 65 years and over: - $30,000 to $34,999","Estimate; Householder 65 years and over: - $35,000 to $39,999","Margin of Error; Householder 65 years and over: - $35,000 to $39,999","Estimate; Householder 65 years and over: - $40,000 to $44,999","Margin of Error; Householder 65 years and over: - $40,000 to $44,999","Estimate; Householder 65 years and over: - $45,000 to $49,999","Margin of Error; Householder 65 years and over: - $45,000 to $49,999","Estimate; Householder 65 years and over: - $50,000 to $59,999","Margin of Error; Householder 65 years and over: - $50,000 to $59,999","Estimate; Householder 65 years and over: - $60,000 to $74,999","Margin of Error; Householder 65 years and over: - $60,000 to $74,999","Estimate; Householder 65 years and over: - $75,000 to $99,999","Margin of Error; Householder 65 years and over: - $75,000 to $99,999","Estimate; Householder 65 years and over: - $100,000 to $124,999","Margin of Error; Householder 65 years and over: - $100,000 to $124,999","Estimate; Householder 65 years and over: - $125,000 to $149,999","Margin of Error; Householder 65 years and over: - $125,000 to $149,999","Estimate; Householder 65 years and over: - $150,000 to $199,999","Margin of Error; Householder 65 years and over: - $150,000 to $199,999","Estimate; Householder 65 years and over: - $200,000 or more","Margin of Error; Householder 65 years and over: - $200,000 or more"
0500000US41001,41001,"Baker County, Oregon",112,41,14,26,14,26,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10,17,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,10,17,0,19,0,19,0,19,0,19,34,23,21,19,2,4,2,8,0,19,1,2,0,19,0,19,0,19,0,19,3,5,5,9,0,19,0,19,0,19,0,19,0,19,54,18,1,3,0,19,7,10,10,13,2,4,7,10,0,19,0,19,0,19,7,10,0,19,20,23,0,19,0,19,0,19,0,19
0500000US41003,41003,"Benton County, Oregon",672,169,146,66,70,42,17,20,8,14,3,6,9,14,0,28,13,15,17,23,9,14,0,28,0,28,0,28,0,28,0,28,0,28,0,28,253,127,10,17,8,12,10,18,15,18,57,82,7,14,24,30,45,64,26,28,0,28,0,28,51,48,0,28,0,28,0,28,0,28,180,74,10,15,0,28,0,28,0,28,0,28,17,21,13,17,15,24,0,28,0,28,17,23,17,21,52,49,18,25,12,15,9,14,93,54,0,28,0,28,0,28,11,14,0,28,0,28,0,28,0,28,0,28,22,32,17,26,29,42,14,23,0,28,0,28,0,28
0500000US41005,41005,"Clackamas County, Oregon",3407,382,256,158,29,44,7,13,42,59,0,28,0,28,0,28,53,84,0,28,45,57,72,73,8,13,0,28,0,28,0,28,0,28,0,28,1666,272,87,61,60,56,121,92,24,29,164,101,19,24,96,61,111,72,115,118,117,73,221,116,252,120,85,60,39,38,100,79,55,62,1211,191,54,54,21,25,23,37,17,28,77,77,0,28,56,47,98,81,56,47,73,48,89,56,290,101,150,69,57,58,85,57,65,51,274,95,15,25,37,41,12,14,25,27,31,29,27,32,0,28,16,26,0,28,32,35,27,40,35,38,0,28,0,28,17,26,0,28
0500000US41007,41007,"Clatsop County, Oregon",436,107,51,48,0,25,29,41,0,25,11,16,0,25,0,25,11,18,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,149,91,64,73,0,25,7,9,21,30,21,34,0,25,0,25,0,25,13,20,0,25,0,25,0,25,15,22,8,11,0,25,0,25,167,76,7,11,24,31,0,25,0,25,6,9,7,11,12,16,0,25,0,25,18,25,37,38,46,42,4,9,6,9,0,25,0,25,69,41,0,25,29,35,0,25,0,25,0,25,0,25,0,25,33,32,0,25,7,11,0,25,0,25,0,25,0,25,0,25,0,25
0500000US41009,41009,"Columbia County, Oregon",289,96,15,24,0,25,15,24,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,102,60,0,25,0,25,0,25,10,17,0,25,19,30,0,25,0,25,0,25,0,25,37,39,6,11,19,28,11,17,0,25,0,25,121,62,6,10,6,10,0,25,0,25,0,25,0,25,0,25,0,25,29,40,11,14,23,29,0,25,26,24,14,20,6,13,0,25,51,41,0,25,16,21,0,25,0,25,0,25,2,4,0,25,5,10,3,5,11,17,0,25,0,25,0,25,0,25,14,23,0,25
0500000US41011,41011,"Coos County, Oregon",742,170,34,46,0,28,6,11,0,28,0,28,26,43,2,4,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,291,131,7,10,0,28,27,38,0,28,28,32,41,45,0,28,32,42,35,35,73,94,2,3,46,48,0,28,0,28,0,28,0,28,240,123,58,53,0,28,27,41,22,36,6,10,4,8,6,14,0,28,17,28,8,13,46,42,25,31,0,28,11,15,0,28,10,19,177,65,12,19,0,28,0,28,12,15,52,51,13,16,23,28,12,15,15,24,8,13,0,28,9,14,4,6,17,25,0,28,0,28
0500000US41013,41013,"Crook County, Oregon",173,71,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,48,37,9,14,19,21,0,22,0,22,0,22,20,29,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,92,56,45,44,10,18,0,22,0,22,0,22,0,22,8,12,0,22,29,41,0,22,0,22,0,22,0,22,0,22,0,22,0,22,33,24,0,22,0,22,0,22,10,12,6,11,0,22,5,9,0,22,12,19,0,22,0,22,0,22,0,22,0,22,0,22,0,22
0500000US41015,41015,"Curry County, Oregon",151,62,29,35,0,22,0,22,0,22,0,22,0,22,0,22,0,22,20,31,0,22,0,22,0,22,9,16,0,22,0,22,0,22,0,22,39,35,6,11,0,22,0,22,0,22,0,22,0,22,33,36,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,71,50,0,22,0,22,0,22,3,7,24,29,0,22,0,22,0,22,32,36,0,22,0,22,12,20,0,22,0,22,0,22,0,22,12,18,0,22,0,22,8,17,0,22,0,22,4,7,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22
0500000US41017,41017,"Deschutes County, Oregon",881,234,105,134,0,28,0,28,0,28,0,28,7,14,0,28,0,28,0,28,0,28,0,28,98,134,0,28,0,28,0,28,0,28,0,28,206,114,29,37,18,32,0,28,0,28,35,53,9,17,0,28,26,41,0,28,0,28,48,68,13,23,0,28,28,46,0,28,0,28,431,126,0,28,10,14,60,66,27,35,20,29,29,51,10,18,37,55,9,16,6,9,93,89,73,72,0,28,57,50,0,28,0,28,139,71,5,10,29,40,12,21,7,13,11,16,17,20,0,28,8,13,0,28,26,38,6,11,0,28,3,6,0,28,15,28,0,28
