GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With Social Security income,Margin of Error; Total: - With Social Security income,Estimate; Total: - No Social Security income,Margin of Error; Total: - No Social Security income
0500000US41001,41001,"Baker County, Oregon",7120,210,2912,156,4208,226
0500000US41003,41003,"Benton County, Oregon",33384,461,8596,318,24788,501
0500000US41005,41005,"Clackamas County, Oregon",146527,937,43423,741,103104,1038
0500000US41007,41007,"Clatsop County, Oregon",15749,366,5821,237,9928,367
0500000US41009,41009,"Columbia County, Oregon",19069,260,6234,309,12835,325
0500000US41011,41011,"Coos County, Oregon",26072,569,11559,477,14513,570
0500000US41013,41013,"Crook County, Oregon",8880,313,3640,225,5240,307
0500000US41015,41015,"Curry County, Oregon",10355,345,5080,249,5275,368
0500000US41017,41017,"Deschutes County, Oregon",64568,876,21363,671,43205,1079
0500000US41019,41019,"Douglas County, Oregon",43846,599,19658,520,24188,699
0500000US41021,41021,"Gilliam County, Oregon",883,57,270,45,613,59
0500000US41023,41023,"Grant County, Oregon",3319,161,1476,86,1843,159
0500000US41025,41025,"Harney County, Oregon",3113,162,1237,128,1876,133
0500000US41027,41027,"Hood River County, Oregon",8144,360,2433,189,5711,334
0500000US41029,41029,"Jackson County, Oregon",83140,854,30852,721,52288,831
0500000US41031,41031,"Jefferson County, Oregon",7882,243,2792,181,5090,247
0500000US41033,41033,"Josephine County, Oregon",34390,589,16077,566,18313,660
0500000US41035,41035,"Klamath County, Oregon",27378,410,10586,394,16792,482
0500000US41037,41037,"Lake County, Oregon",3566,161,1394,123,2172,161
0500000US41039,41039,"Lane County, Oregon",144912,977,46865,729,98047,1047
0500000US41041,41041,"Lincoln County, Oregon",20913,524,8885,297,12028,498
0500000US41043,41043,"Linn County, Oregon",44722,532,15998,470,28724,553
0500000US41045,41045,"Malheur County, Oregon",10136,242,3569,194,6567,306
0500000US41047,41047,"Marion County, Oregon",113285,765,34797,651,78488,970
0500000US41049,41049,"Morrow County, Oregon",3741,154,1168,133,2573,151
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,70457,994,235482,1568
0500000US41053,41053,"Polk County, Oregon",28239,469,9242,321,18997,477
0500000US41055,41055,"Sherman County, Oregon",827,61,339,46,488,52
0500000US41057,41057,"Tillamook County, Oregon",10236,340,4337,234,5899,337
0500000US41059,41059,"Umatilla County, Oregon",26744,355,8436,356,18308,453
0500000US41061,41061,"Union County, Oregon",10235,204,3612,180,6623,220
0500000US41063,41063,"Wallowa County, Oregon",2996,154,1337,96,1659,151
0500000US41065,41065,"Wasco County, Oregon",9612,296,3526,195,6086,287
0500000US41067,41067,"Washington County, Oregon",201771,975,45727,877,156044,1104
0500000US41069,41069,"Wheeler County, Oregon",625,47,326,36,299,42
0500000US41071,41071,"Yamhill County, Oregon",34138,503,11131,364,23007,540
