GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Quintile Upper Limits: - Lowest Quintile,Margin of Error; Quintile Upper Limits: - Lowest Quintile,Estimate; Quintile Upper Limits: - Second Quintile,Margin of Error; Quintile Upper Limits: - Second Quintile,Estimate; Quintile Upper Limits: - Third Quintile,Margin of Error; Quintile Upper Limits: - Third Quintile,Estimate; Quintile Upper Limits: - Fourth Quintile,Margin of Error; Quintile Upper Limits: - Fourth Quintile,Estimate; Lower Limit of Top 5 Percent,Margin of Error; Lower Limit of Top 5 Percent
0500000US41001,41001,"Baker County, Oregon",15721,1661,30829,2591,48073,2612,73867,6364,134500,6133
0500000US41003,41003,"Benton County, Oregon",16964,1069,37165,1937,64713,2198,106275,2531,183500,11519
0500000US41005,41005,"Clackamas County, Oregon",29011,698,51575,901,78077,1301,117957,1653,207081,6597
0500000US41007,41007,"Clatsop County, Oregon",21550,1708,36569,1618,54451,2761,86779,4043,143965,11197
0500000US41009,41009,"Columbia County, Oregon",22468,1523,43721,2268,66648,2275,100104,3117,153035,8834
0500000US41011,41011,"Coos County, Oregon",16410,981,30323,1620,46615,1386,73229,3067,127429,7986
0500000US41013,41013,"Crook County, Oregon",17953,1550,30792,1346,49068,2030,71979,3312,121667,15785
0500000US41015,41015,"Curry County, Oregon",17677,1736,30944,5998,49190,3316,79188,4308,118563,8981
0500000US41017,41017,"Deschutes County, Oregon",22031,893,39434,1246,63244,1828,96686,2886,162896,5136
0500000US41019,41019,"Douglas County, Oregon",18502,736,32369,1115,49862,1522,76952,2139,128131,4696
0500000US41021,41021,"Gilliam County, Oregon",20827,3635,40009,8511,55667,4752,81000,7052,123292,8680
0500000US41023,41023,"Grant County, Oregon",16199,1866,27784,4406,45613,3152,76745,5260,144148,15536
0500000US41025,41025,"Harney County, Oregon",17493,3014,29648,3085,45394,3204,69447,6994,133235,17213
0500000US41027,41027,"Hood River County, Oregon",25667,3222,48530,3122,67610,5329,95005,5107,158603,24422
0500000US41029,41029,"Jackson County, Oregon",19074,826,34978,1043,55042,1235,84184,1998,147511,5632
0500000US41031,41031,"Jefferson County, Oregon",20562,1876,36135,2661,51900,2785,78353,4791,130374,13427
0500000US41033,41033,"Josephine County, Oregon",15924,900,29616,1150,46866,1621,75474,1997,126479,6332
0500000US41035,41035,"Klamath County, Oregon",16651,1008,31145,1821,49299,1879,77662,3447,131196,6788
0500000US41037,41037,"Lake County, Oregon",16627,1506,25244,3668,44879,5262,68800,10495,122317,11575
0500000US41039,41039,"Lane County, Oregon",17341,400,33687,672,54286,943,85448,1444,149095,4285
0500000US41041,41041,"Lincoln County, Oregon",19002,1045,32389,2419,53578,1737,82300,3328,141033,4771
0500000US41043,41043,"Linn County, Oregon",20124,920,37453,1219,56547,1383,82175,1599,129750,4728
0500000US41045,41045,"Malheur County, Oregon",14288,1556,27132,2353,44996,2965,71914,3309,117176,12872
0500000US41047,41047,"Marion County, Oregon",21540,663,38131,850,57957,1102,88209,2271,144965,3907
0500000US41049,41049,"Morrow County, Oregon",22745,4190,39209,3210,56561,5284,88242,8422,137350,9141
0500000US41051,41051,"Multnomah County, Oregon",20846,426,41029,572,65917,763,104727,1144,189526,3869
0500000US41053,41053,"Polk County, Oregon",22138,1308,41336,2240,64263,1890,100549,3513,156386,4660
0500000US41055,41055,"Sherman County, Oregon",15941,3882,32471,5443,55033,4923,84529,5055,152942,19952
0500000US41057,41057,"Tillamook County, Oregon",20662,1342,35220,1879,51716,2099,77147,2471,131387,24110
0500000US41059,41059,"Umatilla County, Oregon",20055,1398,37606,1647,58264,2017,88369,3759,137732,5669
0500000US41061,41061,"Union County, Oregon",17313,1334,32829,2045,52749,2210,82450,2999,141010,12457
0500000US41063,41063,"Wallowa County, Oregon",17425,3085,33792,4669,50986,5769,82669,7280,126833,14824
0500000US41065,41065,"Wasco County, Oregon",22017,1997,36116,1753,53075,2832,83257,4594,153339,17040
0500000US41067,41067,"Washington County, Oregon",28416,706,51011,683,78403,1297,119532,1303,201965,4159
0500000US41069,41069,"Wheeler County, Oregon",14894,1987,30756,1701,46000,5990,69375,11880,114688,79556
0500000US41071,41071,"Yamhill County, Oregon",24010,1390,42727,1399,66444,1799,100443,1979,161473,9515
