GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars)
0500000US41001,41001,"Baker County, Oregon",51959,3385
0500000US41003,41003,"Benton County, Oregon",76736,2422
0500000US41005,41005,"Clackamas County, Oregon",78819,1401
0500000US41007,41007,"Clatsop County, Oregon",59101,3883
0500000US41009,41009,"Columbia County, Oregon",64225,3762
0500000US41011,41011,"Coos County, Oregon",48368,2029
0500000US41013,41013,"Crook County, Oregon",48887,3879
0500000US41015,41015,"Curry County, Oregon",48584,4180
0500000US41017,41017,"Deschutes County, Oregon",62899,1964
0500000US41019,41019,"Douglas County, Oregon",49193,2021
0500000US41021,41021,"Gilliam County, Oregon",60536,8251
0500000US41023,41023,"Grant County, Oregon",46536,5875
0500000US41025,41025,"Harney County, Oregon",44173,4149
0500000US41027,41027,"Hood River County, Oregon",74663,10389
0500000US41029,41029,"Jackson County, Oregon",55588,1554
0500000US41031,41031,"Jefferson County, Oregon",53115,4158
0500000US41033,41033,"Josephine County, Oregon",47136,1605
0500000US41035,41035,"Klamath County, Oregon",52173,3042
0500000US41037,41037,"Lake County, Oregon",48563,5797
0500000US41039,41039,"Lane County, Oregon",57697,1398
0500000US41041,41041,"Lincoln County, Oregon",54785,2204
0500000US41043,41043,"Linn County, Oregon",56761,1711
0500000US41045,41045,"Malheur County, Oregon",49115,3147
0500000US41047,41047,"Marion County, Oregon",61553,1561
0500000US41049,41049,"Morrow County, Oregon",59858,5003
0500000US41051,41051,"Multnomah County, Oregon",75013,1218
0500000US41053,41053,"Polk County, Oregon",65709,3080
0500000US41055,41055,"Sherman County, Oregon",57404,6342
0500000US41057,41057,"Tillamook County, Oregon",52155,2314
0500000US41059,41059,"Umatilla County, Oregon",63895,2470
0500000US41061,41061,"Union County, Oregon",53374,2300
0500000US41063,41063,"Wallowa County, Oregon",55264,4096
0500000US41065,41065,"Wasco County, Oregon",57123,4019
0500000US41067,41067,"Washington County, Oregon",83152,1475
0500000US41069,41069,"Wheeler County, Oregon",46641,8990
0500000US41071,41071,"Yamhill County, Oregon",65052,2235
