GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars)
0500000US41001,41001,"Baker County, Oregon",51199,3083
0500000US41003,41003,"Benton County, Oregon",75012,2512
0500000US41005,41005,"Clackamas County, Oregon",76549,1135
0500000US41007,41007,"Clatsop County, Oregon",54849,4773
0500000US41009,41009,"Columbia County, Oregon",63435,3506
0500000US41011,41011,"Coos County, Oregon",47830,1854
0500000US41013,41013,"Crook County, Oregon",48486,3228
0500000US41015,41015,"Curry County, Oregon",48833,3841
0500000US41017,41017,"Deschutes County, Oregon",61488,1577
0500000US41019,41019,"Douglas County, Oregon",48420,2107
0500000US41021,41021,"Gilliam County, Oregon",56667,6709
0500000US41023,41023,"Grant County, Oregon",46000,5982
0500000US41025,41025,"Harney County, Oregon",42540,4594
0500000US41027,41027,"Hood River County, Oregon",64422,5343
0500000US41029,41029,"Jackson County, Oregon",53254,1345
0500000US41031,41031,"Jefferson County, Oregon",46040,4085
0500000US41033,41033,"Josephine County, Oregon",46913,1446
0500000US41035,41035,"Klamath County, Oregon",48896,2067
0500000US41037,41037,"Lake County, Oregon",47537,5441
0500000US41039,41039,"Lane County, Oregon",56605,1357
0500000US41041,41041,"Lincoln County, Oregon",53750,2374
0500000US41043,41043,"Linn County, Oregon",55169,1751
0500000US41045,41045,"Malheur County, Oregon",45825,3356
0500000US41047,41047,"Marion County, Oregon",54920,1478
0500000US41049,41049,"Morrow County, Oregon",52652,1947
0500000US41051,41051,"Multnomah County, Oregon",65897,1115
0500000US41053,41053,"Polk County, Oregon",62802,2661
0500000US41055,41055,"Sherman County, Oregon",57115,6669
0500000US41057,41057,"Tillamook County, Oregon",51235,2242
0500000US41059,41059,"Umatilla County, Oregon",57434,1960
0500000US41061,41061,"Union County, Oregon",51973,2448
0500000US41063,41063,"Wallowa County, Oregon",54513,4107
0500000US41065,41065,"Wasco County, Oregon",53598,4104
0500000US41067,41067,"Washington County, Oregon",76711,1302
0500000US41069,41069,"Wheeler County, Oregon",46875,7842
0500000US41071,41071,"Yamhill County, Oregon",62284,2204
