GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Aggregate family income in the past 12 months (in 2013 inflation-adjusted dollars):,Margin of Error; Aggregate family income in the past 12 months (in 2013 inflation-adjusted dollars):,Estimate; Married couple family (dollars):,Margin of Error; Married couple family (dollars):,Estimate; Married couple family (dollars): - Householder 15 to 24 years (dollars),Margin of Error; Married couple family (dollars): - Householder 15 to 24 years (dollars),Estimate; Married couple family (dollars): - Householder 25 to 34 years (dollars),Margin of Error; Married couple family (dollars): - Householder 25 to 34 years (dollars),Estimate; Married couple family (dollars): - Householder 35 to 44 years (dollars),Margin of Error; Married couple family (dollars): - Householder 35 to 44 years (dollars),Estimate; Married couple family (dollars): - Householder 45 to 54 years (dollars),Margin of Error; Married couple family (dollars): - Householder 45 to 54 years (dollars),Estimate; Married couple family (dollars): - Householder 55 to 59 years (dollars),Margin of Error; Married couple family (dollars): - Householder 55 to 59 years (dollars),Estimate; Married couple family (dollars): - Householder 60 to 64 years (dollars),Margin of Error; Married couple family (dollars): - Householder 60 to 64 years (dollars),Estimate; Married couple family (dollars): - Householder 65 to 74 years (dollars),Margin of Error; Married couple family (dollars): - Householder 65 to 74 years (dollars),Estimate; Married couple family (dollars): - Householder 75 years and over (dollars),Margin of Error; Married couple family (dollars): - Householder 75 years and over (dollars),Estimate; Other family (dollars):,Margin of Error; Other family (dollars):,"Estimate; Other family (dollars): - Male householder, no wife present (dollars):","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars):","Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 15 to 24 years (dollars)","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 15 to 24 years (dollars)","Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 25 to 34 years (dollars)","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 25 to 34 years (dollars)","Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 35 to 44 years (dollars)","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 35 to 44 years (dollars)","Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 45 to 54 years (dollars)","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 45 to 54 years (dollars)","Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 55 to 59 years (dollars)","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 55 to 59 years (dollars)","Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 60 to 64 years (dollars)","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 60 to 64 years (dollars)","Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 65 to 74 years (dollars)","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 65 to 74 years (dollars)","Estimate; Other family (dollars): - Male householder, no wife present (dollars): - Householder 75 years and over (dollars)","Margin of Error; Other family (dollars): - Male householder, no wife present (dollars): - Householder 75 years and over (dollars)","Estimate; Other family (dollars): - Female householder, no husband present (dollars):","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars):","Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 15 to 24 years (dollars)","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 15 to 24 years (dollars)","Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 25 to 34 years (dollars)","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 25 to 34 years (dollars)","Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 35 to 44 years (dollars)","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 35 to 44 years (dollars)","Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 45 to 54 years (dollars)","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 45 to 54 years (dollars)","Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 55 to 59 years (dollars)","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 55 to 59 years (dollars)","Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 60 to 64 years (dollars)","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 60 to 64 years (dollars)","Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 65 to 74 years (dollars)","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 65 to 74 years (dollars)","Estimate; Other family (dollars): - Female householder, no husband present (dollars): - Householder 75 years and over (dollars)","Margin of Error; Other family (dollars): - Female householder, no husband present (dollars): - Householder 75 years and over (dollars)"
0500000US41005,41005,"Clackamas County, Oregon",9857258100,212805866,8768273400,210902286,39303500,12112292,790186900,67276531,1823038700,99436246,2488784100,104718422,1185070300,88879373,1121831600,105993380,948220500,60684717,371837800,48293465,1088984800,61310215,425297800,45945162,15384700,8779860,51312900,15265529,80333300,17958226,178163300,32515416,43615900,17136042,17750500,8496260,20057800,10615144,18679400,7248536,663687000,45237031,20021400,8058912,68300000,14515865,129058800,18192155,217195300,35311966,59472200,15248881,53437600,17375374,54463100,11063286,61738500,17254115
0500000US41017,41017,"Deschutes County, Oregon",3334493900,141424127,2979725200,136479296,17561100,7525083,313821300,48731924,664498900,68401443,681713000,82885798,355004000,59146806,360582600,50461940,423950500,41791022,162593700,19387963,354768700,57658460,128607700,31345747,13320900,10634660,17882100,7290745,17831400,8103694,38045300,15992551,6594600,4516615,9782200,5533251,6742300,3846512,18409000,19105022,226161000,44931560,7233100,3627765,35803900,8635894,36670800,11266327,47147100,11753162,38156000,29138553,15112400,6238469,27178700,23689330,18859100,9009830
0500000US41019,41019,"Douglas County, Oregon",1749786000,56645059,1515709800,58375195,12208000,5245548,118661700,15125055,212252900,27246324,409621300,45694524,181292300,23204862,202840900,24479074,262139200,23192447,116693600,11643842,234076200,29861351,85829200,20797184,5487000,4243529,10995700,5208026,21516500,12845017,16589600,7441271,8588700,4000150,3797000,2276638,11547200,7323463,7307400,5368900,148247000,21630778,2723600,1499724,17818300,6179304,32436400,11444199,34512100,10296110,9751700,4282395,12231500,6031100,12131900,4046913,26641600,13378980
0500000US41029,41029,"Jackson County, Oregon",3646915600,119977742,3167953600,117075450,37789400,12934702,341791500,51412605,523255300,46232549,664575400,55927594,485827900,52965511,359109000,37600565,476159700,41602404,279445300,28338819,478962100,39795808,154491100,25687548,6869200,3858735,29462700,9039306,41951000,14299149,33873500,13983000,7246000,4519454,11388700,6451018,16176300,9476533,7523700,4191036,324470900,30420946,9426200,4823513,39533900,9623858,85306700,22298913,82603100,13848486,31085400,10959369,13898500,5495860,26292600,6542652,36324700,10758917
0500000US41033,41033,"Josephine County, Oregon",1338193500,80273677,1164996700,81176670,7871700,4187253,82385800,13917349,206903800,42826900,239112500,52211301,145543400,35877497,168014200,28968888,208382800,19743821,106782500,13082879,173196800,21086729,59374600,12527866,1452000,1234241,10746300,5084776,8634100,4294361,20241900,8417207,5955600,3717980,3943000,2438675,5130100,3667162,3271600,2596848,113822200,16138561,5454500,5116812,12591100,5018549,21272500,7227651,22852900,6754473,13003000,7543252,9887600,4044562,15311200,6473545,13449300,5572071
0500000US41035,41035,"Klamath County, Oregon",1119985000,48155815,940793000,46164480,10194000,3790163,84478300,16112986,168466800,21601230,218389200,26420446,129551500,21445086,127168700,18437804,139097600,15850381,63446700,10778986,179192100,17765191,79445400,14271062,2828500,2366410,12447900,6779399,25063400,8335284,15102400,6122829,12483300,7688961,310500,340833,3278900,2106590,7930400,5267582,99746600,11566807,8293500,4533937,11068500,3273872,25333500,8275308,20487800,6001154,3816500,2432217,6769500,3178042,13402100,4714474,10575300,4048525
0500000US41039,41039,"Lane County, Oregon",6124869800,159066891,5268433500,154661054,48376000,15593134,559833300,41500242,972304200,52005968,1228344700,84850800,705533100,63511215,744172200,74782943,687903100,40233902,321966900,34924513,856436400,58335460,292684700,36669846,12443000,5342901,41716700,10024208,61846100,13528622,96742200,32803221,21424900,6461238,13646700,4619732,25896200,9815679,18968800,6681889,563751700,45637894,22931500,7287412,70373300,12250893,133081600,21741620,137661000,32209384,51602300,11517118,40230700,10177726,47405800,8926085,60465600,12427330
0500000US41041,41041,"Lincoln County, Oregon",857736300,49550686,749243600,50886658,4931500,3129123,63396600,13136605,97200300,15230562,156679300,24142320,100119400,20068485,124341100,19403647,136717200,19240059,65858200,14223454,108492800,18438681,41758100,12530753,1936600,2014102,7433000,3591297,9511200,6734482,12353700,4652577,1258600,1355142,2187400,1706355,4954100,4735201,2123600,2163996,66734600,14119002,3743700,2045482,5799800,2465188,13716100,4914416,22222500,10257189,3100900,1479408,2408100,1912582,8697300,4103604,7046200,2839114
0500000US41043,41043,"Linn County, Oregon",1914390900,60171239,1672315900,64684679,17735700,5378071,189236000,22972205,320982100,28037707,382333200,31726155,218480900,28306620,210339000,23709584,222549300,20462698,110659500,11869684,242075100,25893146,95246200,20561820,2926200,2015370,11184700,5279360,24869100,9803528,23419100,8197245,13233800,8355727,12533200,12906222,3159600,1906009,3920600,2349481,146828900,15372866,5782100,2312851,34934800,7968141,35233100,8762178,28505800,7893520,8757000,5230428,7392500,3846549,13782200,4378048,12441400,4310502
