GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):
HD02_VD02,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total (dollars):
HD01_VD04,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Total (dollars)
HD02_VD04,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Total (dollars)
HD01_VD06,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Total (dollars)
HD02_VD06,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Total (dollars)
HD01_VD07,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Householder 15 to 64 years (dollars)
HD02_VD07,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Householder 15 to 64 years (dollars)
HD01_VD08,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Householder 65 years and over (dollars)
HD02_VD08,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Living alone -- - Householder 65 years and over (dollars)
HD01_VD10,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Total (dollars)
HD02_VD10,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Total (dollars)
HD01_VD11,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Householder 15 to 64 years (dollars)
HD02_VD11,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Householder 15 to 64 years (dollars)
HD01_VD12,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Householder 65 years and over (dollars)
HD02_VD12,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Male householder -- - Not living alone -- - Householder 65 years and over (dollars)
HD01_VD14,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Total (dollars)
HD02_VD14,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Total (dollars)
HD01_VD16,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Total (dollars)
HD02_VD16,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Total (dollars)
HD01_VD17,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Householder 15 to 64 years (dollars)
HD02_VD17,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Householder 15 to 64 years (dollars)
HD01_VD18,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Householder 65 years and over (dollars)
HD02_VD18,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Living alone -- - Householder 65 years and over (dollars)
HD01_VD20,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Total (dollars)
HD02_VD20,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Total (dollars)
HD01_VD21,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Householder 15 to 64 years (dollars)
HD02_VD21,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Householder 15 to 64 years (dollars)
HD01_VD22,Estimate; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Householder 65 years and over (dollars)
HD02_VD22,Margin of Error; Median nonfamily household income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Female householder -- - Not living alone -- - Householder 65 years and over (dollars)
