GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US41001,41001,"Baker County, Oregon",2352,213,112,66,145,86,279,101,214,101,294,93,175,79,117,69,198,80,532,145,286,85
0500000US41003,41003,"Benton County, Oregon",14038,653,315,136,1017,214,1210,242,1163,205,1171,202,902,183,619,172,1313,248,5087,465,1241,240
0500000US41005,41005,"Clackamas County, Oregon",45701,1331,1137,254,3406,393,5630,540,6379,628,4753,498,3912,406,3004,413,4066,390,11013,657,2401,349
0500000US41007,41007,"Clatsop County, Oregon",5879,434,175,84,402,121,631,197,563,134,627,161,506,133,475,176,464,173,1511,228,525,129
0500000US41009,41009,"Columbia County, Oregon",4985,457,114,68,392,128,486,163,523,166,539,166,313,99,423,170,503,154,1276,210,416,125
0500000US41011,41011,"Coos County, Oregon",8834,645,193,68,445,137,942,219,1109,275,740,180,713,200,834,196,779,197,2244,373,835,232
0500000US41013,41013,"Crook County, Oregon",2620,304,55,61,250,88,259,134,297,139,132,66,238,113,188,93,175,94,747,206,279,123
0500000US41015,41015,"Curry County, Oregon",3333,411,123,66,267,154,346,151,444,150,155,70,309,155,367,146,376,159,559,181,387,157
0500000US41017,41017,"Deschutes County, Oregon",22267,814,430,180,1312,297,2390,354,2870,441,2492,423,2107,329,1432,293,2282,408,5883,468,1069,288
