GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $20,000:","Margin of Error; With a mortgage: - Less than $20,000:","Estimate; With a mortgage: - Less than $20,000: - Less than 20 percent","Margin of Error; With a mortgage: - Less than $20,000: - Less than 20 percent","Estimate; With a mortgage: - Less than $20,000: - 20 to 29 percent","Margin of Error; With a mortgage: - Less than $20,000: - 20 to 29 percent","Estimate; With a mortgage: - Less than $20,000: - 30 percent or more","Margin of Error; With a mortgage: - Less than $20,000: - 30 percent or more","Estimate; With a mortgage: - $20,000 to $34,999:","Margin of Error; With a mortgage: - $20,000 to $34,999:","Estimate; With a mortgage: - $20,000 to $34,999: - Less than 20 percent","Margin of Error; With a mortgage: - $20,000 to $34,999: - Less than 20 percent","Estimate; With a mortgage: - $20,000 to $34,999: - 20 to 29 percent","Margin of Error; With a mortgage: - $20,000 to $34,999: - 20 to 29 percent","Estimate; With a mortgage: - $20,000 to $34,999: - 30 percent or more","Margin of Error; With a mortgage: - $20,000 to $34,999: - 30 percent or more","Estimate; With a mortgage: - $35,000 to $49,999:","Margin of Error; With a mortgage: - $35,000 to $49,999:","Estimate; With a mortgage: - $35,000 to $49,999: - Less than 20 percent","Margin of Error; With a mortgage: - $35,000 to $49,999: - Less than 20 percent","Estimate; With a mortgage: - $35,000 to $49,999: - 20 to 29 percent","Margin of Error; With a mortgage: - $35,000 to $49,999: - 20 to 29 percent","Estimate; With a mortgage: - $35,000 to $49,999: - 30 percent or more","Margin of Error; With a mortgage: - $35,000 to $49,999: - 30 percent or more","Estimate; With a mortgage: - $50,000 to $74,999:","Margin of Error; With a mortgage: - $50,000 to $74,999:","Estimate; With a mortgage: - $50,000 to $74,999: - Less than 20 percent","Margin of Error; With a mortgage: - $50,000 to $74,999: - Less than 20 percent","Estimate; With a mortgage: - $50,000 to $74,999: - 20 to 29 percent","Margin of Error; With a mortgage: - $50,000 to $74,999: - 20 to 29 percent","Estimate; With a mortgage: - $50,000 to $74,999: - 30 percent or more","Margin of Error; With a mortgage: - $50,000 to $74,999: - 30 percent or more","Estimate; With a mortgage: - $75,000 or more:","Margin of Error; With a mortgage: - $75,000 or more:","Estimate; With a mortgage: - $75,000 or more: - Less than 20 percent","Margin of Error; With a mortgage: - $75,000 or more: - Less than 20 percent","Estimate; With a mortgage: - $75,000 or more: - 20 to 29 percent","Margin of Error; With a mortgage: - $75,000 or more: - 20 to 29 percent","Estimate; With a mortgage: - $75,000 or more: - 30 percent or more","Margin of Error; With a mortgage: - $75,000 or more: - 30 percent or more",Estimate; With a mortgage: - Zero or negative income,Margin of Error; With a mortgage: - Zero or negative income,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $20,000:","Margin of Error; Not mortgaged: - Less than $20,000:","Estimate; Not mortgaged: - Less than $20,000: - Less than 20 percent","Margin of Error; Not mortgaged: - Less than $20,000: - Less than 20 percent","Estimate; Not mortgaged: - Less than $20,000: - 20 to 29 percent","Margin of Error; Not mortgaged: - Less than $20,000: - 20 to 29 percent","Estimate; Not mortgaged: - Less than $20,000: - 30 percent or more","Margin of Error; Not mortgaged: - Less than $20,000: - 30 percent or more","Estimate; Not mortgaged: - $20,000 to $34,999:","Margin of Error; Not mortgaged: - $20,000 to $34,999:","Estimate; Not mortgaged: - $20,000 to $34,999: - Less than 20 percent","Margin of Error; Not mortgaged: - $20,000 to $34,999: - Less than 20 percent","Estimate; Not mortgaged: - $20,000 to $34,999: - 20 to 29 percent","Margin of Error; Not mortgaged: - $20,000 to $34,999: - 20 to 29 percent","Estimate; Not mortgaged: - $20,000 to $34,999: - 30 percent or more","Margin of Error; Not mortgaged: - $20,000 to $34,999: - 30 percent or more","Estimate; Not mortgaged: - $35,000 to $49,999:","Margin of Error; Not mortgaged: - $35,000 to $49,999:","Estimate; Not mortgaged: - $35,000 to $49,999: - Less than 20 percent","Margin of Error; Not mortgaged: - $35,000 to $49,999: - Less than 20 percent","Estimate; Not mortgaged: - $35,000 to $49,999: - 20 to 29 percent","Margin of Error; Not mortgaged: - $35,000 to $49,999: - 20 to 29 percent","Estimate; Not mortgaged: - $35,000 to $49,999: - 30 percent or more","Margin of Error; Not mortgaged: - $35,000 to $49,999: - 30 percent or more","Estimate; Not mortgaged: - $50,000 to $74,999:","Margin of Error; Not mortgaged: - $50,000 to $74,999:","Estimate; Not mortgaged: - $50,000 to $74,999: - Less than 20 percent","Margin of Error; Not mortgaged: - $50,000 to $74,999: - Less than 20 percent","Estimate; Not mortgaged: - $50,000 to $74,999: - 20 to 29 percent","Margin of Error; Not mortgaged: - $50,000 to $74,999: - 20 to 29 percent","Estimate; Not mortgaged: - $50,000 to $74,999: - 30 percent or more","Margin of Error; Not mortgaged: - $50,000 to $74,999: - 30 percent or more","Estimate; Not mortgaged: - $75,000 or more:","Margin of Error; Not mortgaged: - $75,000 or more:","Estimate; Not mortgaged: - $75,000 or more: - Less than 20 percent","Margin of Error; Not mortgaged: - $75,000 or more: - Less than 20 percent","Estimate; Not mortgaged: - $75,000 or more: - 20 to 29 percent","Margin of Error; Not mortgaged: - $75,000 or more: - 20 to 29 percent","Estimate; Not mortgaged: - $75,000 or more: - 30 percent or more","Margin of Error; Not mortgaged: - $75,000 or more: - 30 percent or more",Estimate; Not mortgaged: - Zero or negative income,Margin of Error; Not mortgaged: - Zero or negative income
0500000US41001,41001,"Baker County, Oregon",4768,187,2422,220,227,79,0,19,9,14,218,80,308,86,15,19,34,24,259,74,346,93,73,42,138,65,135,60,608,114,269,77,238,78,101,44,912,154,575,126,248,60,89,53,21,29,2346,192,542,104,123,54,159,55,260,83,550,114,412,103,136,65,2,3,409,73,385,69,17,26,7,11,482,108,478,108,4,5,0,19,355,79,355,79,0,19,0,19,8,6
0500000US41003,41003,"Benton County, Oregon",19346,486,12167,462,517,163,0,28,5,7,512,162,827,164,0,28,38,36,789,170,1236,207,54,44,300,97,882,175,2338,312,423,115,906,202,1009,181,7237,423,4269,309,2118,221,850,192,12,16,7179,425,907,184,105,54,237,91,565,128,1172,201,643,151,384,102,145,60,1078,176,969,170,85,57,24,27,1200,209,1158,201,42,39,0,28,2663,275,2663,275,0,28,0,28,159,92
0500000US41005,41005,"Clackamas County, Oregon",100826,1307,74091,1260,3132,373,14,16,51,42,3067,371,4708,528,79,70,213,87,4416,516,6937,510,318,98,997,223,5622,493,14252,792,1360,230,4231,416,8661,663,44727,1072,19992,751,15887,642,8848,613,335,144,26735,795,3704,401,446,128,680,160,2578,308,4470,380,1835,268,1411,240,1224,184,4358,351,3166,326,1070,187,122,68,4937,412,4569,381,292,105,76,79,8961,609,8832,599,107,61,22,28,305,114
0500000US41007,41007,"Clatsop County, Oregon",9870,313,6521,324,439,136,4,6,0,25,435,135,751,167,25,25,108,63,618,155,937,176,54,41,214,103,669,147,1487,199,281,109,426,113,780,149,2890,262,1634,223,859,149,397,119,17,24,3349,299,568,118,79,42,84,43,405,93,803,134,405,91,266,79,132,59,733,160,648,165,75,45,10,17,545,132,532,126,13,21,0,25,680,119,680,119,0,25,0,25,20,27
0500000US41009,41009,"Columbia County, Oregon",14084,505,9681,454,352,110,0,25,0,25,352,110,936,187,16,20,82,53,838,175,999,164,103,61,307,105,589,109,2405,265,354,116,975,181,1076,195,4946,345,2863,270,1624,243,459,132,43,30,4403,326,714,133,121,64,181,81,412,110,958,177,571,145,225,88,162,92,848,181,822,185,26,22,0,25,875,179,862,177,13,19,0,25,992,203,992,203,0,25,0,25,16,18
0500000US41011,41011,"Coos County, Oregon",17238,586,9077,538,626,164,0,28,0,28,626,164,1311,238,26,27,117,65,1168,238,1855,274,339,130,374,120,1142,208,2133,330,508,152,1153,233,472,157,3096,381,2003,303,837,171,256,130,56,46,8161,490,2240,304,450,153,547,177,1243,224,1802,223,1167,167,431,124,204,98,1333,216,1192,187,141,105,0,28,1345,233,1337,234,8,14,0,28,1255,211,1255,211,0,28,0,28,186,104
0500000US41013,41013,"Crook County, Oregon",6260,306,3869,297,305,111,0,22,0,22,305,111,645,169,30,32,94,62,521,155,652,157,64,38,214,95,374,132,1125,205,363,112,294,110,468,145,1116,193,614,163,309,95,193,92,26,34,2391,281,601,160,183,97,75,46,343,121,669,177,533,161,136,66,0,22,364,109,330,101,34,39,0,22,380,107,380,107,0,22,0,22,348,108,348,108,0,22,0,22,29,29
0500000US41015,41015,"Curry County, Oregon",7022,474,3814,412,546,195,0,22,0,22,546,195,486,158,0,22,10,16,476,158,620,198,120,87,68,48,432,141,739,186,114,59,331,149,294,123,1423,275,728,185,479,167,216,105,0,22,3208,381,730,188,257,102,138,86,335,140,821,207,563,167,196,91,62,46,553,148,533,138,20,34,0,22,425,154,419,152,0,22,6,11,646,179,646,179,0,22,0,22,33,36
0500000US41017,41017,"Deschutes County, Oregon",42301,901,30014,848,2225,386,0,28,31,36,2194,382,3297,452,42,37,149,70,3106,449,3810,545,250,114,826,217,2734,436,6775,569,1006,234,2551,378,3218,380,13705,734,6793,575,4503,471,2409,362,202,122,12287,692,2201,339,281,145,492,159,1428,257,2559,363,1285,301,817,182,457,147,1924,292,1670,282,198,80,56,46,2247,324,2158,320,64,47,25,28,3256,456,3252,456,4,7,0,28,100,70
