GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Percent of income imputed -- - No income imputed,Estimate; Percent of income imputed -- - Dollar value of zero imputed,Estimate; Percent of income imputed -- - More than 0 to less than 10 percent of total income for household imputed,Estimate; Percent of income imputed -- - 10 to less than 25 percent of total income for household imputed,Estimate; Percent of income imputed -- - 25 to less than 50 percent of total income for household imputed,Estimate; Percent of income imputed -- - 50 to less than 100 percent of total income for household imputed,Estimate; Percent of income imputed -- - 100 percent of total income for household imputed
0500000US41001,41001,"Baker County, Oregon",2517,1796,73,85,17,33,73,440
0500000US41003,41003,"Benton County, Oregon",14686,11493,285,218,163,448,510,1569
0500000US41005,41005,"Clackamas County, Oregon",44564,34089,1143,636,419,892,1491,5894
0500000US41007,41007,"Clatsop County, Oregon",5871,4644,140,97,29,89,165,707
0500000US41009,41009,"Columbia County, Oregon",5344,4200,136,28,15,67,184,714
0500000US41011,41011,"Coos County, Oregon",10173,7378,444,113,88,256,295,1599
0500000US41013,41013,"Crook County, Oregon",2839,2332,58,36,16,38,56,303
0500000US41015,41015,"Curry County, Oregon",4191,2807,146,153,33,75,312,665
0500000US41017,41017,"Deschutes County, Oregon",21215,16080,446,320,310,451,729,2879
0500000US41019,41019,"Douglas County, Oregon",14629,10608,524,278,115,326,497,2281
0500000US41021,41021,"Gilliam County, Oregon",351,247,0,4,6,2,11,81
0500000US41023,41023,"Grant County, Oregon",1193,941,5,8,8,6,39,186
0500000US41025,41025,"Harney County, Oregon",955,710,0,0,19,3,56,167
0500000US41027,41027,"Hood River County, Oregon",2691,2177,81,12,11,70,82,258
0500000US41029,41029,"Jackson County, Oregon",29142,22152,828,310,224,423,1684,3521
0500000US41031,41031,"Jefferson County, Oregon",2376,1662,33,71,14,76,84,436
0500000US41033,41033,"Josephine County, Oregon",12381,8850,427,71,141,279,403,2210
0500000US41035,41035,"Klamath County, Oregon",9065,7039,386,51,43,179,273,1094
0500000US41037,41037,"Lake County, Oregon",1418,1020,43,24,9,63,36,223
0500000US41039,41039,"Lane County, Oregon",58664,45183,1775,642,1119,1151,2447,6347
0500000US41041,41041,"Lincoln County, Oregon",7868,5889,216,205,86,200,245,1027
0500000US41043,41043,"Linn County, Oregon",13877,10811,415,168,147,484,398,1454
0500000US41045,41045,"Malheur County, Oregon",3257,2505,114,33,12,47,120,426
0500000US41047,41047,"Marion County, Oregon",34979,27302,1243,293,431,546,998,4166
0500000US41049,41049,"Morrow County, Oregon",930,638,15,32,6,8,71,160
0500000US41051,41051,"Multnomah County, Oregon",139833,113726,3125,1742,1549,2896,4502,12293
0500000US41053,41053,"Polk County, Oregon",8704,6785,252,127,73,205,208,1054
0500000US41055,41055,"Sherman County, Oregon",343,253,6,5,3,6,20,50
0500000US41057,41057,"Tillamook County, Oregon",3661,2932,142,5,47,62,85,388
0500000US41059,41059,"Umatilla County, Oregon",8320,5865,351,240,142,218,220,1284
0500000US41061,41061,"Union County, Oregon",3472,2525,134,81,67,81,190,394
0500000US41063,41063,"Wallowa County, Oregon",1149,843,24,36,6,7,36,197
0500000US41065,41065,"Wasco County, Oregon",3128,2125,96,69,85,8,122,623
0500000US41067,41067,"Washington County, Oregon",66303,54368,1488,684,715,815,2005,6228
0500000US41069,41069,"Wheeler County, Oregon",215,179,0,0,0,0,10,26
0500000US41071,41071,"Yamhill County, Oregon",9184,7331,204,118,73,104,294,1060
