GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Under 1.00:
HD02_VD02,Margin of Error; Total: - Under 1.00:
HD01_VD03,Estimate; Total: - Under 1.00: - Living with two parents:
HD02_VD03,Margin of Error; Total: - Under 1.00: - Living with two parents:
HD01_VD04,Estimate; Total: - Under 1.00: - Living with two parents: - Both parents native
HD02_VD04,Margin of Error; Total: - Under 1.00: - Living with two parents: - Both parents native
HD01_VD05,Estimate; Total: - Under 1.00: - Living with two parents: - Both parents foreign born
HD02_VD05,Margin of Error; Total: - Under 1.00: - Living with two parents: - Both parents foreign born
HD01_VD06,Estimate; Total: - Under 1.00: - Living with two parents: - One native and one foreign-born parent
HD02_VD06,Margin of Error; Total: - Under 1.00: - Living with two parents: - One native and one foreign-born parent
HD01_VD07,Estimate; Total: - Under 1.00: - Living with one parent:
HD02_VD07,Margin of Error; Total: - Under 1.00: - Living with one parent:
HD01_VD08,Estimate; Total: - Under 1.00: - Living with one parent: - Native parent
HD02_VD08,Margin of Error; Total: - Under 1.00: - Living with one parent: - Native parent
HD01_VD09,Estimate; Total: - Under 1.00: - Living with one parent: - Foreign-born parent
HD02_VD09,Margin of Error; Total: - Under 1.00: - Living with one parent: - Foreign-born parent
HD01_VD10,Estimate; Total: - 1.00 to 1.99:
HD02_VD10,Margin of Error; Total: - 1.00 to 1.99:
HD01_VD11,Estimate; Total: - 1.00 to 1.99: - Living with two parents:
HD02_VD11,Margin of Error; Total: - 1.00 to 1.99: - Living with two parents:
HD01_VD12,Estimate; Total: - 1.00 to 1.99: - Living with two parents: - Both parents native
HD02_VD12,Margin of Error; Total: - 1.00 to 1.99: - Living with two parents: - Both parents native
HD01_VD13,Estimate; Total: - 1.00 to 1.99: - Living with two parents: - Both parents foreign born
HD02_VD13,Margin of Error; Total: - 1.00 to 1.99: - Living with two parents: - Both parents foreign born
HD01_VD14,Estimate; Total: - 1.00 to 1.99: - Living with two parents: - One native and one foreign-born parent
HD02_VD14,Margin of Error; Total: - 1.00 to 1.99: - Living with two parents: - One native and one foreign-born parent
HD01_VD15,Estimate; Total: - 1.00 to 1.99: - Living with one parent:
HD02_VD15,Margin of Error; Total: - 1.00 to 1.99: - Living with one parent:
HD01_VD16,Estimate; Total: - 1.00 to 1.99: - Living with one parent: - Native parent
HD02_VD16,Margin of Error; Total: - 1.00 to 1.99: - Living with one parent: - Native parent
HD01_VD17,Estimate; Total: - 1.00 to 1.99: - Living with one parent: - Foreign-born parent
HD02_VD17,Margin of Error; Total: - 1.00 to 1.99: - Living with one parent: - Foreign-born parent
HD01_VD18,Estimate; Total: - 2.0  and over:
HD02_VD18,Margin of Error; Total: - 2.0  and over:
HD01_VD19,Estimate; Total: - 2.0  and over: - Living with two parents:
HD02_VD19,Margin of Error; Total: - 2.0  and over: - Living with two parents:
HD01_VD20,Estimate; Total: - 2.0  and over: - Living with two parents: - Both parents native
HD02_VD20,Margin of Error; Total: - 2.0  and over: - Living with two parents: - Both parents native
HD01_VD21,Estimate; Total: - 2.0  and over: - Living with two parents: - Both parents foreign born
HD02_VD21,Margin of Error; Total: - 2.0  and over: - Living with two parents: - Both parents foreign born
HD01_VD22,Estimate; Total: - 2.0  and over: - Living with two parents: - One native and one foreign-born parent
HD02_VD22,Margin of Error; Total: - 2.0  and over: - Living with two parents: - One native and one foreign-born parent
HD01_VD23,Estimate; Total: - 2.0  and over: - Living with one parent:
HD02_VD23,Margin of Error; Total: - 2.0  and over: - Living with one parent:
HD01_VD24,Estimate; Total: - 2.0  and over: - Living with one parent: - Native parent
HD02_VD24,Margin of Error; Total: - 2.0  and over: - Living with one parent: - Native parent
HD01_VD25,Estimate; Total: - 2.0  and over: - Living with one parent: - Foreign-born parent
HD02_VD25,Margin of Error; Total: - 2.0  and over: - Living with one parent: - Foreign-born parent
