GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Households with one or more people 65 years and over:,Margin of Error; Households with one or more people 65 years and over:,Estimate; Households with one or more people 65 years and over: - 1-person household,Margin of Error; Households with one or more people 65 years and over: - 1-person household,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household:,Margin of Error; Households with one or more people 65 years and over: - 2-or-more-person household:,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Family households,Margin of Error; Households with one or more people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with one or more people 65 years and over: - 2-or-more-person household: - Nonfamily households,Margin of Error; Households with one or more people 65 years and over: - 2-or-more-person household: - Nonfamily households,Estimate; Households with no people 65 years and over:,Margin of Error; Households with no people 65 years and over:,Estimate; Households with no people 65 years and over: - 1-person households,Margin of Error; Households with no people 65 years and over: - 1-person households,Estimate; Households with no people 65 years and over: - 2-or-more-person household:,Margin of Error; Households with no people 65 years and over: - 2-or-more-person household:,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Family households,Margin of Error; Households with no people 65 years and over: - 2-or-more-person household: - Family households,Estimate; Households with no people 65 years and over: - 2-or-more-person household: - Nonfamily households,Margin of Error; Households with no people 65 years and over: - 2-or-more-person household: - Nonfamily households
0500000US41003,41003,"Benton County, Oregon",33609,1062,8154,492,2930,776,5224,615,4975,620,249,180,25455,1160,7082,1238,18373,1543,13172,1327,5201,1025
0500000US41005,41005,"Clackamas County, Oregon",150382,1976,42323,1282,14850,1753,27473,1398,25755,1373,1718,524,108059,2045,20792,2054,87267,2648,78258,2991,9009,1392
0500000US41017,41017,"Deschutes County, Oregon",65065,2582,19500,897,7343,1295,12157,930,11395,991,762,518,45565,2394,10969,1915,34596,2775,29546,2647,5050,1433
0500000US41019,41019,"Douglas County, Oregon",43389,1506,16460,1011,5613,996,10847,1049,10025,1066,822,522,26929,1366,5469,1154,21460,1321,18725,1336,2735,898
0500000US41029,41029,"Jackson County, Oregon",82983,1561,28160,1143,10469,1364,17691,1109,16633,1152,1058,390,54823,1671,13722,1840,41101,2143,37220,2245,3881,1107
0500000US41033,41033,"Josephine County, Oregon",34517,1287,14365,929,6367,1170,7998,1036,7300,1024,698,388,20152,1232,4161,950,15991,1344,14267,1360,1724,743
0500000US41035,41035,"Klamath County, Oregon",25746,1411,8684,500,3214,747,5470,614,4974,622,496,216,17062,1369,2978,806,14084,1514,13005,1464,1079,483
0500000US41039,41039,"Lane County, Oregon",144166,2079,41776,1153,16755,1552,25021,1256,22958,1329,2063,483,102390,2263,27034,2421,75356,2774,61843,2666,13513,1743
0500000US41043,41043,"Linn County, Oregon",43911,1448,13548,719,5429,985,8119,810,7745,812,374,242,30363,1504,5882,1235,24481,1701,21844,1588,2637,925
0500000US41047,41047,"Marion County, Oregon",114077,2079,31022,1134,11528,1476,19494,1309,18281,1360,1213,566,83055,1971,17822,2065,65233,2562,59221,2377,6012,1529
0500000US41051,41051,"Multnomah County, Oregon",309552,2902,64743,1409,27296,2070,37447,1709,34388,1715,3059,800,244809,3395,74715,3994,170094,4251,132986,4125,37108,3009
0500000US41053,41053,"Polk County, Oregon",28097,1023,8384,605,3188,963,5196,705,5034,749,162,170,19713,1111,3606,941,16107,1249,13776,1191,2331,807
0500000US41059,41059,"Umatilla County, Oregon",26943,887,6997,542,2342,664,4655,531,4512,522,143,150,19946,1071,4316,991,15630,1157,14326,1269,1304,594
0500000US41067,41067,"Washington County, Oregon",203665,2309,45001,1233,16951,1543,28050,1499,26577,1503,1473,535,158664,2233,37822,2670,120842,3367,107977,3389,12865,1892
0500000US41071,41071,"Yamhill County, Oregon",35454,1066,10395,600,3783,878,6612,674,6473,656,139,122,25059,1096,3604,954,21455,1374,19589,1453,1866,825
