GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - In married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - In married-couple family:,Estimate; Income in the past 12 months below poverty level: - In married-couple family: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - In married-couple family: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - In married-couple family: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - In married-couple family: - 5 years,Estimate; Income in the past 12 months below poverty level: - In married-couple family: - 6 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - In married-couple family: - 6 to 17 years,Estimate; Income in the past 12 months below poverty level: - In other family:,Margin of Error; Income in the past 12 months below poverty level: - In other family:,"Estimate; Income in the past 12 months below poverty level: - In other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - In other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - In other family: - Male householder, no wife present: - Under 5 years","Margin of Error; Income in the past 12 months below poverty level: - In other family: - Male householder, no wife present: - Under 5 years","Estimate; Income in the past 12 months below poverty level: - In other family: - Male householder, no wife present: - 5 years","Margin of Error; Income in the past 12 months below poverty level: - In other family: - Male householder, no wife present: - 5 years","Estimate; Income in the past 12 months below poverty level: - In other family: - Male householder, no wife present: - 6 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - In other family: - Male householder, no wife present: - 6 to 17 years","Estimate; Income in the past 12 months below poverty level: - In other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - In other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - In other family: - Female householder, no husband present: - Under 5 years","Margin of Error; Income in the past 12 months below poverty level: - In other family: - Female householder, no husband present: - Under 5 years","Estimate; Income in the past 12 months below poverty level: - In other family: - Female householder, no husband present: - 5 years","Margin of Error; Income in the past 12 months below poverty level: - In other family: - Female householder, no husband present: - 5 years","Estimate; Income in the past 12 months below poverty level: - In other family: - Female householder, no husband present: - 6 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - In other family: - Female householder, no husband present: - 6 to 17 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - In married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - In married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - In married-couple family: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - In married-couple family: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - In married-couple family: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - In married-couple family: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - In married-couple family: - 6 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - In married-couple family: - 6 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - In other family:,Margin of Error; Income in the past 12 months at or above poverty level: - In other family:,"Estimate; Income in the past 12 months at or above poverty level: - In other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - In other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - In other family: - Male householder, no wife present: - Under 5 years","Margin of Error; Income in the past 12 months at or above poverty level: - In other family: - Male householder, no wife present: - Under 5 years","Estimate; Income in the past 12 months at or above poverty level: - In other family: - Male householder, no wife present: - 5 years","Margin of Error; Income in the past 12 months at or above poverty level: - In other family: - Male householder, no wife present: - 5 years","Estimate; Income in the past 12 months at or above poverty level: - In other family: - Male householder, no wife present: - 6 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - In other family: - Male householder, no wife present: - 6 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - In other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - In other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - In other family: - Female householder, no husband present: - Under 5 years","Margin of Error; Income in the past 12 months at or above poverty level: - In other family: - Female householder, no husband present: - Under 5 years","Estimate; Income in the past 12 months at or above poverty level: - In other family: - Female householder, no husband present: - 5 years","Margin of Error; Income in the past 12 months at or above poverty level: - In other family: - Female householder, no husband present: - 5 years","Estimate; Income in the past 12 months at or above poverty level: - In other family: - Female householder, no husband present: - 6 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - In other family: - Female householder, no husband present: - 6 to 17 years"
0500000US41005,41005,"Clackamas County, Oregon",84314,1379,7073,1924,3514,1487,1455,1083,256,246,1803,822,3559,1091,226,256,73,113,0,200,153,168,3333,1102,1127,592,33,55,2173,859,77241,2077,61757,3649,15327,1655,3951,1077,42479,2884,15484,2843,3943,1453,645,497,62,103,3236,1371,11541,2315,1522,828,595,406,9424,1880
0500000US41017,41017,"Deschutes County, Oregon",35048,972,6762,2510,3483,1828,634,694,127,188,2722,1536,3279,2034,857,674,568,549,0,200,289,359,2422,1914,893,656,538,611,991,759,28286,2595,22026,3006,4478,1252,930,511,16618,2571,6260,2004,1943,1217,849,1039,63,115,1031,713,4317,1692,1431,912,194,260,2692,1250
0500000US41019,41019,"Douglas County, Oregon",20267,761,5292,1620,1102,692,741,496,66,83,295,262,4190,1535,1433,1101,640,442,30,42,763,727,2757,1252,1064,539,143,216,1550,1053,14975,1714,11820,2006,2693,729,406,233,8721,1707,3155,1446,1319,1161,0,200,0,200,1319,1161,1836,883,128,169,25,44,1683,829
0500000US41029,41029,"Jackson County, Oregon",43331,759,11864,3945,3580,2207,1713,1272,631,775,1236,777,8284,3529,1171,972,446,436,0,200,725,797,7113,3289,1677,944,463,605,4973,2638,31467,3789,21968,2954,6352,1571,1112,690,14504,2214,9499,2546,1860,786,220,279,177,220,1463,725,7639,2384,1746,1263,205,253,5688,1847
0500000US41039,41039,"Lane County, Oregon",66133,777,16043,3406,5916,2657,1716,923,457,314,3743,1952,10127,2385,1381,1036,526,487,49,86,806,634,8746,2089,2950,984,583,398,5213,1535,50090,3466,39940,3452,9866,1403,2702,982,27372,2801,10150,2051,3734,1176,1093,507,51,85,2590,991,6416,1594,868,530,554,457,4994,1347
0500000US41047,41047,"Marion County, Oregon",81294,714,24004,4227,9190,3501,1863,957,739,509,6588,2538,14814,3528,2780,2098,1273,1100,316,394,1191,1080,12034,2910,3466,1265,1052,685,7516,2024,57290,4162,45098,3873,11934,1545,1460,696,31704,3115,12192,2834,3391,1520,1099,681,142,233,2150,1222,8801,2756,1881,1162,208,216,6712,2307
0500000US41051,41051,"Multnomah County, Oregon",147908,1636,34536,4705,12778,3505,3372,1372,481,331,8925,2837,21758,3737,3073,1519,708,510,47,77,2318,1213,18685,3718,5443,1742,859,566,12383,2582,113372,4306,84468,5141,28817,1882,6025,1259,49626,3857,28904,4291,9147,2157,2556,1108,466,269,6125,1651,19757,3765,4349,1303,392,269,15016,3138
0500000US41059,41059,"Umatilla County, Oregon",19037,667,3846,1309,832,780,339,360,174,209,319,267,3014,1198,0,200,0,200,0,200,0,200,3014,1198,1366,660,193,169,1455,691,15191,1403,10801,1538,2539,797,443,276,7819,1078,4390,1428,2867,1279,1015,742,61,80,1791,839,1523,687,175,216,0,200,1348,654
0500000US41067,41067,"Washington County, Oregon",134316,1054,18205,3319,8386,2470,3054,1312,645,437,4687,1539,9819,2485,690,554,213,267,0,200,477,395,9129,2395,2489,1229,437,284,6203,2066,116111,3355,96787,4425,27475,2141,5145,1056,64167,3570,19324,3490,6010,1934,1682,944,276,185,4052,1385,13314,2684,1506,766,384,298,11424,2511
