GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - No related children under 18 years,Estimate; Income in the past 12 months below poverty level: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children under 18 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children under 18 years"
0500000US41005,41005,"Clackamas County, Oregon",104013,3368,7011,1270,3503,987,1976,806,549,465,315,262,1112,597,1527,533,3508,953,523,450,136,164,0,200,44,74,92,150,387,366,2985,865,2437,827,611,294,249,323,1577,708,548,297,97002,3390,79129,3264,33325,2287,5121,1255,6558,1350,21646,1655,45804,2545,17873,2026,5828,1399,2869,1015,426,389,214,285,2229,886,2959,978,12045,1472,7522,1308,407,324,958,637,6157,1171,4523,1109
0500000US41017,41017,"Deschutes County, Oregon",40941,3029,4762,1364,2897,1030,1230,610,203,266,93,173,934,509,1667,825,1865,844,893,777,814,771,694,749,0,200,120,156,79,98,972,507,723,458,224,227,302,338,197,206,249,242,36179,2722,29304,2481,10007,1557,1944,938,1794,886,6269,1259,19297,2003,6875,1819,1481,715,1069,608,403,470,0,200,666,400,412,366,5394,1612,3074,1197,1300,855,0,200,1774,759,2320,1016
0500000US41019,41019,"Douglas County, Oregon",28750,1778,4167,981,1521,705,642,494,113,142,529,467,0,200,879,528,2646,991,939,690,887,679,257,275,617,581,13,22,52,87,1707,767,1593,733,399,401,119,141,1075,643,114,187,24583,1749,19821,1667,6252,1134,1002,477,1092,546,4158,986,13569,1371,4762,1213,1789,894,849,561,0,200,0,200,849,561,940,755,2973,892,1716,813,0,200,106,146,1610,788,1257,548
0500000US41029,41029,"Jackson County, Oregon",53853,2535,7473,1816,2790,1035,1489,846,40,68,1144,843,305,212,1301,650,4683,1536,806,579,806,579,381,352,0,200,425,400,0,200,3877,1324,2689,1190,381,258,780,770,1528,842,1188,594,46380,2755,37535,2781,12249,1876,2927,827,2685,1067,6637,1484,25286,1802,8845,1547,2097,756,1205,486,88,174,71,90,1046,497,892,557,6748,1355,4465,1184,852,626,458,411,3155,942,2283,713
0500000US41039,41039,"Lane County, Oregon",84801,2794,10820,1742,3471,1208,2127,1012,570,595,602,438,955,548,1344,495,7349,1297,1347,685,739,473,190,228,183,192,366,301,608,514,6002,1168,5154,1154,1614,920,1072,567,2468,797,848,345,73981,2648,60559,2519,19693,1950,2826,813,4082,836,12785,1713,40866,2289,13422,1573,3837,876,2330,694,800,440,198,189,1332,536,1507,574,9585,1389,4285,1029,236,187,575,481,3474,859,5300,929
0500000US41043,41043,"Linn County, Oregon",29589,1774,3858,996,1009,451,660,379,94,116,392,317,174,183,349,205,2849,861,375,318,375,318,65,110,0,200,310,302,0,200,2474,812,2409,801,758,488,280,229,1371,570,65,105,25731,1920,20785,1681,7469,1104,1236,546,1630,633,4603,907,13316,1440,4946,1140,1365,630,632,445,65,107,17,30,550,424,733,417,3581,985,2120,939,68,114,114,196,1938,939,1461,464
0500000US41047,41047,"Marion County, Oregon",77502,2745,10910,1933,3896,1113,2762,932,220,157,1222,720,1320,634,1134,612,7014,1596,1320,838,1138,820,301,476,556,544,281,389,182,199,5694,1442,5233,1332,1058,712,1613,914,2562,797,461,339,66592,2609,52885,2338,22517,1874,4539,1119,4218,1101,13760,1552,30368,2075,13707,2040,4338,1216,2234,883,758,600,269,279,1207,658,2104,850,9369,1994,5474,1653,1151,852,345,294,3978,1245,3895,1078
0500000US41051,41051,"Multnomah County, Oregon",167374,4313,19978,2609,7227,1359,4627,1232,336,312,1959,856,2332,897,2600,756,12751,2184,2244,889,1667,745,219,223,291,311,1157,722,577,347,10507,1967,8921,1820,1508,695,2831,1224,4582,1153,1586,768,147396,4059,112678,3871,46903,2879,13251,1677,9178,1506,24474,1956,65775,3496,34718,2903,12441,1876,6476,1506,1514,731,426,331,4536,1228,5965,1238,22277,2294,12522,2115,2210,846,1449,716,8863,1873,9755,1391
0500000US41067,41067,"Washington County, Oregon",134554,3588,10649,2081,4695,1314,3220,987,668,440,994,464,1558,699,1475,714,5954,1385,929,553,369,281,46,83,102,143,221,216,560,455,5025,1275,4469,1155,1006,613,492,377,2971,943,556,462,123905,3900,100817,3498,47181,2657,9017,1391,9197,1645,28967,2241,53636,2914,23088,2404,7544,1587,3795,1131,787,480,573,573,2435,847,3749,1061,15544,1904,8308,1454,581,455,554,333,7173,1473,7236,1151
