GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No own child,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - No own child,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - 1 or 2 own children,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - 1 or 2 own children,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - 3 or 4 own children,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - 3 or 4 own children,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - 5 or more own children,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - 5 or more own children,Estimate; Income in the past 12 months below poverty level: - Other families:,Margin of Error; Income in the past 12 months below poverty level: - Other families:,"Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - No own child","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - No own child","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 1 or 2 own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 1 or 2 own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 3 or 4 own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 3 or 4 own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 5 or more own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Male householder, no wife present: - 5 or more own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - No own child","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - No own child","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 1 or 2 own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 1 or 2 own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 3 or 4 own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 3 or 4 own children","Estimate; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 5 or more own children","Margin of Error; Income in the past 12 months below poverty level: - Other families: - Female householder, no husband present: - 5 or more own children",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No own child,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - No own child,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - 1 or 2 own children,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - 1 or 2 own children,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - 3 or 4 own children,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - 3 or 4 own children,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - 5 or more own children,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - 5 or more own children,Estimate; Income in the past 12 months at or above poverty level: - Other families:,Margin of Error; Income in the past 12 months at or above poverty level: - Other families:,"Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - No own child","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - No own child","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 1 or 2 own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 1 or 2 own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 3 or 4 own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 3 or 4 own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 5 or more own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Male householder, no wife present: - 5 or more own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - No own child","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - No own child","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 1 or 2 own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 1 or 2 own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 3 or 4 own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 3 or 4 own children","Estimate; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 5 or more own children","Margin of Error; Income in the past 12 months at or above poverty level: - Other families: - Female householder, no husband present: - 5 or more own children"
0500000US41005,41005,"Clackamas County, Oregon",104013,3368,7011,1270,3503,987,1593,542,1498,677,412,415,0,200,3508,953,523,450,387,366,136,164,0,200,0,200,2985,865,647,337,2196,808,142,139,0,200,97002,3390,79129,3264,47271,2597,24392,2157,6690,1218,776,493,17873,2026,5828,1399,2998,977,2538,1007,292,302,0,200,12045,1472,5332,1110,6102,1358,611,438,0,200
0500000US41017,41017,"Deschutes County, Oregon",40941,3029,4762,1364,2897,1030,1786,889,805,521,306,281,0,200,1865,844,893,777,79,98,814,771,0,200,0,200,972,507,425,323,315,288,232,288,0,200,36179,2722,29304,2481,19747,2032,7938,1552,1096,485,523,697,6875,1819,1481,715,487,384,994,611,0,200,0,200,5394,1612,2780,1090,2614,1090,0,200,0,200
0500000US41029,41029,"Jackson County, Oregon",53853,2535,7473,1816,2790,1035,1437,647,748,568,605,636,0,200,4683,1536,806,579,40,66,766,558,0,200,0,200,3877,1324,1383,634,1434,795,928,822,132,230,46380,2755,37535,2781,26629,1832,9274,1850,1480,652,152,160,8845,1547,2097,756,1067,584,902,402,128,137,0,200,6748,1355,2972,811,3117,986,659,485,0,200
0500000US41039,41039,"Lane County, Oregon",84801,2794,10820,1742,3471,1208,1524,545,1063,663,612,434,272,353,7349,1297,1347,685,608,514,556,392,183,192,0,200,6002,1168,1464,575,3747,936,791,431,0,200,73981,2648,60559,2519,41921,2428,14861,1774,3514,833,263,272,13422,1573,3837,876,1598,580,2067,676,118,149,54,89,9585,1389,5865,989,3641,969,79,94,0,200
0500000US41043,41043,"Linn County, Oregon",29589,1774,3858,996,1009,451,369,210,181,186,410,321,49,86,2849,861,375,318,0,200,274,273,0,200,101,171,2474,812,337,329,1855,681,282,257,0,200,25731,1920,20785,1681,13826,1463,5517,1091,1442,637,0,200,4946,1140,1365,630,1129,608,219,201,17,30,0,200,3581,985,1541,506,1602,742,438,578,0,200
0500000US41047,41047,"Marion County, Oregon",77502,2745,10910,1933,3896,1113,1143,609,1061,522,1155,563,537,478,7014,1596,1320,838,182,199,483,504,655,650,0,200,5694,1442,841,471,2958,1066,1816,786,79,135,66592,2609,52885,2338,31971,2132,16408,1837,4334,1033,172,211,13707,2040,4338,1216,2104,850,2004,836,230,271,0,200,9369,1994,4285,1142,4455,1531,629,585,0,200
0500000US41051,41051,"Multnomah County, Oregon",167374,4313,19978,2609,7227,1359,2640,757,2493,839,1706,907,388,341,12751,2184,2244,889,763,401,1339,676,142,149,0,200,10507,1967,2451,1047,5830,1293,1948,1077,278,291,147396,4059,112678,3871,67932,3588,38368,2672,6295,1393,83,135,34718,2903,12441,1876,7052,1392,5297,1428,92,107,0,200,22277,2294,11481,1373,10489,2008,307,362,0,200
0500000US41067,41067,"Washington County, Oregon",134554,3588,10649,2081,4695,1314,1475,714,2176,858,943,436,101,169,5954,1385,929,553,644,485,232,192,53,83,0,200,5025,1275,764,513,3426,1053,835,492,0,200,123905,3900,100817,3498,54596,2982,36591,2666,9296,1788,334,233,23088,2404,7544,1587,3857,1048,3416,1096,271,202,0,200,15544,1904,8450,1264,6509,1386,585,476,0,200
0500000US41071,41071,"Yamhill County, Oregon",26062,1584,2617,778,1833,665,648,494,871,554,242,232,72,124,784,452,261,358,97,161,164,249,0,200,0,200,523,301,62,74,307,257,143,131,11,19,23445,1550,19555,1537,11851,1091,5420,1144,2118,843,166,167,3890,1043,1212,642,828,571,384,310,0,200,0,200,2678,799,901,437,1619,664,158,187,0,200
