GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 2-person families,Margin of Error; Total: - 2-person families,Estimate; Total: - 3-person families,Margin of Error; Total: - 3-person families,Estimate; Total: - 4-person families,Margin of Error; Total: - 4-person families,Estimate; Total: - 5-person families,Margin of Error; Total: - 5-person families,Estimate; Total: - 6-person families,Margin of Error; Total: - 6-person families,Estimate; Total: - 7-or-more-person families,Margin of Error; Total: - 7-or-more-person families
0500000US41003,41003,"Benton County, Oregon",74566,6210,71708,5738,82147,31627,78883,19331,49269,63306,81395,41617,109766,403992
0500000US41005,41005,"Clackamas County, Oregon",77915,2964,71000,3449,75822,8583,92881,6811,90000,11385,92771,31124,98420,35264
0500000US41017,41017,"Deschutes County, Oregon",58201,7022,46024,9066,59984,18451,69640,21352,75725,19362,53768,48244,-,**
0500000US41019,41019,"Douglas County, Oregon",49442,5132,44953,6534,50281,15760,61905,12925,66390,36289,44968,139008,39238,52788
0500000US41029,41029,"Jackson County, Oregon",51943,4130,52535,3849,47274,6994,58561,8880,37451,35908,46805,56547,60673,53463
0500000US41033,41033,"Josephine County, Oregon",46542,7110,46256,8573,46061,14758,57038,28754,40838,7163,-,**,62664,12467
0500000US41035,41035,"Klamath County, Oregon",47818,6290,45491,7404,39269,10184,71597,17080,47465,20622,59500,21503,61557,32128
0500000US41039,41039,"Lane County, Oregon",57398,3222,55866,3361,62513,7021,59529,4378,54793,21517,54899,19297,54280,28837
0500000US41043,41043,"Linn County, Oregon",52201,5167,45783,3008,58789,11304,63973,10173,56354,22105,43209,8772,59457,50096
0500000US41047,41047,"Marion County, Oregon",54080,3268,53418,2888,56176,10086,47272,10595,58692,13619,61946,18176,66194,35598
0500000US41051,41051,"Multnomah County, Oregon",68828,3849,62634,3094,70075,6672,85773,7991,62318,8260,70847,18823,33743,16335
0500000US41053,41053,"Polk County, Oregon",58759,7734,61466,8805,49659,11495,46771,15233,66225,8995,36053,33699,100028,113531
0500000US41059,41059,"Umatilla County, Oregon",56818,6165,55862,10162,55506,9707,50447,9353,59444,15714,71259,50825,94075,29293
0500000US41067,41067,"Washington County, Oregon",75736,2899,66899,2655,87723,5756,87063,6401,71480,13712,61559,21239,84258,17842
0500000US41071,41071,"Yamhill County, Oregon",60699,3123,59404,5216,48028,7710,72745,20338,61669,6928,69182,24438,51563,53225
