GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With own children under 18 years:,Margin of Error; Total: - With own children under 18 years:,Estimate; Total: - With own children under 18 years: - Married-couple family:,Margin of Error; Total: - With own children under 18 years: - Married-couple family:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Unemployed,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Unemployed,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife not in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife not in labor force,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Unemployed,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Unemployed,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife not in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife not in labor force,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force:,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Unemployed,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Unemployed,Estimate; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Estimate; Total: - With own children under 18 years: - Other family:,Margin of Error; Total: - With own children under 18 years: - Other family:,"Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force:","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Employed or in Armed Forces","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Employed or in Armed Forces","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Unemployed","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Unemployed","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force:","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force:","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Employed or in Armed Forces","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Employed or in Armed Forces","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Unemployed","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Unemployed","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force",Estimate; Total: - No children under 18 years:,Margin of Error; Total: - No children under 18 years:,Estimate; Total: - No children under 18 years: - Married-couple family:,Margin of Error; Total: - No children under 18 years: - Married-couple family:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Unemployed,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife in labor force: - Unemployed,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife not in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Employed or in Armed Forces: - Wife not in labor force,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Unemployed,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife in labor force: - Unemployed,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife not in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband in labor force: - Unemployed: - Wife not in labor force,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force:,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Employed or in Armed Forces,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Employed or in Armed Forces,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Unemployed,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife in labor force: - Unemployed,Estimate; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Margin of Error; Total: - No children under 18 years: - Married-couple family: - Husband not in labor force: - Wife not in labor force,Estimate; Total: - No children under 18 years: - Other family:,Margin of Error; Total: - No children under 18 years: - Other family:,"Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force:","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Employed or in Armed Forces","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Employed or in Armed Forces","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Unemployed","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - In labor force: - Unemployed","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - Not in labor force","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force:","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force:","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Employed or in Armed Forces","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Employed or in Armed Forces","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Unemployed","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - In labor force: - Unemployed","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - Not in labor force"
0500000US41005,41005,"Clackamas County, Oregon",104013,3368,45785,2307,33768,2320,32355,2342,31260,2397,21423,1988,20233,2076,1190,598,9837,1733,1095,544,758,439,673,429,85,102,337,314,1413,646,973,469,843,424,130,182,440,404,12017,1918,2966,1051,2867,1062,2402,898,465,535,99,117,9051,1535,7940,1499,6897,1364,1043,661,1111,559,58228,2874,48864,2663,28335,2265,26895,2202,20238,1902,19785,1873,453,286,6657,1043,1440,531,1311,504,1261,503,50,83,129,140,20435,1631,5030,1156,4744,1063,286,311,15405,1465,9364,1563,3385,1064,2270,964,1917,849,353,371,1115,545,5979,1128,3209,837,2862,810,347,304,2770,865
0500000US41019,41019,"Douglas County, Oregon",28750,1778,11345,1260,6591,1091,5724,1164,5479,1125,3847,1057,3467,1025,380,232,1632,658,245,306,245,306,245,306,0,200,0,200,867,506,635,500,635,500,0,200,232,204,4754,1314,1609,740,1368,704,1151,723,217,256,241,242,3145,1075,2174,867,1839,792,335,316,971,650,17405,1563,14751,1437,5676,1032,5199,994,3617,920,3229,876,388,374,1582,485,477,392,413,381,413,381,0,200,64,114,8930,1051,2385,777,2232,734,153,233,6545,938,2654,989,1119,779,806,655,806,655,0,200,313,330,1535,602,548,315,548,315,0,200,987,454
0500000US41029,41029,"Jackson County, Oregon",53853,2535,20325,2002,12259,2037,11036,1906,10254,1906,7049,1705,6534,1601,515,606,3205,1040,782,644,782,644,782,644,0,200,0,200,1223,802,945,780,945,780,0,200,278,258,8066,1511,1796,745,1094,502,713,356,381,355,702,540,6270,1391,5136,1285,4838,1260,298,296,1134,665,33528,2122,28066,1948,14250,1846,13468,1792,9903,1623,9438,1586,465,296,3565,865,782,357,366,220,328,211,38,63,416,281,13727,1340,3633,845,3442,871,191,188,10094,1374,5462,1139,1107,596,696,551,650,544,46,76,411,400,4355,998,2004,676,1963,670,41,68,2351,821
0500000US41033,41033,"Josephine County, Oregon",21567,1808,6245,1220,4183,1110,3950,1093,3593,959,2203,737,1828,699,375,303,1390,574,357,421,0,200,0,200,0,200,357,421,233,195,233,195,233,195,0,200,0,200,2062,703,559,332,323,268,323,268,0,200,236,206,1503,638,812,381,669,380,143,218,691,507,15322,1403,11919,1257,4726,1030,4636,1015,2792,820,2302,769,490,405,1844,709,90,106,45,75,45,75,0,200,45,73,7133,1115,1156,517,1156,517,0,200,5977,1080,3403,1129,748,476,427,426,427,426,0,200,321,207,2655,999,1004,716,936,702,68,115,1651,789
0500000US41039,41039,"Lane County, Oregon",84801,2794,31821,2163,20585,2031,19083,1931,18218,1780,13136,1758,12664,1730,472,323,5082,996,865,552,527,264,527,264,0,200,338,510,1502,625,540,332,540,332,0,200,962,529,11236,1589,2978,822,2588,738,2393,706,195,165,390,388,8258,1262,6459,1222,5368,1144,1091,518,1799,723,52980,2522,43445,2539,24380,2158,23391,2178,16700,1853,16041,1803,659,364,6691,1143,989,358,830,356,771,351,59,83,159,115,18779,1265,5174,738,4989,710,185,137,13605,1213,9535,1354,2206,779,1471,670,1319,650,152,149,735,369,7329,1182,3425,860,3333,850,92,108,3904,926
0500000US41043,41043,"Linn County, Oregon",29589,1774,12387,1364,7599,1117,7096,1105,6826,1108,4549,955,4039,876,510,462,2277,789,270,152,177,159,177,159,0,200,93,105,503,312,398,263,398,263,0,200,105,177,4788,1199,611,385,493,360,428,343,65,110,118,173,4177,1194,2648,951,2022,893,626,419,1529,746,17202,1546,14195,1461,7596,1411,7337,1445,5434,1386,5287,1341,147,146,1903,563,259,206,175,146,175,146,0,200,84,143,6519,887,1246,426,1170,433,76,99,5273,888,3007,782,1129,608,841,530,841,530,0,200,288,311,1878,598,831,413,831,413,0,200,1047,481
0500000US41047,41047,"Marion County, Oregon",77502,2745,36976,2284,23667,1988,22826,1911,22241,1979,15805,1755,14920,1738,885,475,6436,1291,585,438,562,435,517,446,45,76,23,39,841,424,512,315,391,283,121,136,329,273,13309,1850,3372,1213,3145,1208,3145,1208,0,200,227,255,9937,1864,8020,1759,7074,1695,946,564,1917,885,40526,2355,33114,2262,17705,1938,16387,1970,11175,1680,10824,1735,351,303,5212,943,1318,465,926,364,730,364,196,182,392,281,15211,1679,4355,1210,4201,1208,154,151,10856,1210,7412,1383,2286,881,1456,692,1066,577,390,432,830,494,5126,1250,2351,832,2166,808,185,250,2775,933
0500000US41051,41051,"Multnomah County, Oregon",167374,4313,75055,3723,49333,3277,45842,3230,44418,3201,31262,2516,29817,2501,1445,544,13156,1776,1424,781,707,353,502,294,205,170,717,635,3279,953,2293,724,2293,724,0,200,986,500,25722,3115,6870,1499,6640,1465,6100,1348,540,369,230,214,18852,2544,15299,2252,14340,2150,959,473,3553,1101,92319,3671,70572,3589,45656,3305,43084,3052,32450,2240,31097,2201,1353,525,10634,1603,2572,712,2312,652,1879,534,433,367,260,199,24469,1827,7391,1199,7132,1167,259,218,17078,1644,21747,1991,7815,1411,5139,1173,4825,1118,314,376,2676,929,13932,1649,8376,1445,8315,1445,61,108,5556,1095
0500000US41059,41059,"Umatilla County, Oregon",18838,1384,8997,1274,5732,1066,5246,1032,5147,1031,3773,791,3502,811,271,231,1374,672,99,117,48,82,48,82,0,200,51,86,486,322,159,170,159,170,0,200,327,268,3265,867,1029,551,1029,551,1029,551,0,200,0,200,2236,666,1949,666,1469,596,480,423,287,192,9841,987,8458,903,4089,852,3960,838,2254,592,2226,591,28,40,1706,609,129,138,129,138,129,138,0,200,0,200,4369,804,1171,453,1085,428,86,130,3198,674,1383,489,514,280,416,219,416,219,0,200,98,175,869,432,649,399,631,397,18,33,220,160
