GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 6 years:,Margin of Error; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Margin of Error; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Father only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - Under 6 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - Under 6 years: - Living with one parent:,Margin of Error; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother:,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Total: - Under 6 years: - Living with one parent: - Living with mother: - Not in labor force,Estimate; Total: - 6 to 17 years:,Margin of Error; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Margin of Error; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Father only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Mother only in labor force,Estimate; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Neither parent in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with father: - Not in labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - In labor force,Estimate; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Living with mother: - Not in labor force
0500000US41003,41003,"Benton County, Oregon",14627,435,3831,648,3572,687,1668,370,1523,661,381,306,0,200,259,212,52,68,52,68,0,200,207,199,152,181,55,86,10796,588,9156,787,5524,1006,2553,828,576,422,503,426,1640,747,184,195,95,122,89,153,1456,735,891,609,565,429
0500000US41005,41005,"Clackamas County, Oregon",83974,1408,25046,1500,20962,1937,11595,2120,7821,1852,850,817,696,980,4084,1146,780,526,707,511,73,113,3304,1117,2795,1058,509,307,58928,1444,43182,2943,28112,2865,13821,2988,902,484,347,380,15746,2796,4017,1409,3543,1392,474,465,11729,2092,10590,2118,1139,547
0500000US41019,41019,"Douglas County, Oregon",19768,823,5786,759,3776,872,1683,637,1385,611,563,408,145,190,2010,737,670,443,543,447,127,160,1340,608,1071,610,269,229,13982,862,8844,1614,6152,1688,1745,870,700,429,247,258,5138,1577,1812,1284,1750,1284,62,101,3326,1343,2441,1225,885,503
0500000US41029,41029,"Jackson County, Oregon",42095,1075,14535,1502,9211,2065,5080,1565,2560,892,1348,1920,223,254,5324,1525,851,541,591,474,260,255,4473,1440,2842,1071,1631,1118,27560,1584,14708,2393,8975,2150,4402,1611,954,909,377,322,12852,2456,2371,1194,1329,646,1042,912,10481,2586,8380,2372,2101,1584
0500000US41033,41033,"Josephine County, Oregon",15484,643,4065,507,2469,651,666,380,1383,682,218,215,202,225,1596,601,403,398,247,338,156,217,1193,633,848,563,345,422,11419,703,7632,1218,3687,1220,2922,1353,532,527,491,725,3787,1213,713,486,478,411,235,242,3074,1035,1975,903,1099,704
0500000US41035,41035,"Klamath County, Oregon",13920,317,4103,382,2916,667,1810,652,1106,391,0,200,0,200,1187,459,426,261,365,254,61,102,761,407,493,345,268,224,9817,469,6709,1153,3710,1089,2646,998,207,199,146,203,3108,1105,585,389,542,394,43,72,2523,1040,1831,919,692,671
0500000US41039,41039,"Lane County, Oregon",64313,1308,20803,1320,13936,1760,7287,1646,5506,1283,211,234,932,842,6867,1464,1757,668,1650,664,107,186,5110,1244,3477,1041,1633,711,43510,1915,29841,2363,19556,2911,8337,2173,609,393,1339,732,13669,2301,3928,1225,2970,1054,958,734,9741,1957,7955,1813,1786,865
0500000US41043,41043,"Linn County, Oregon",25570,1329,7982,1187,5045,1349,2206,904,1784,888,368,442,687,953,2937,914,452,383,325,369,127,170,2485,879,1567,787,918,700,17588,1063,10829,1754,6381,1605,4073,1546,375,247,0,200,6759,1797,880,954,282,228,598,908,5879,1771,3489,1271,2390,1306
0500000US41047,41047,"Marion County, Oregon",80159,1169,24740,1586,14965,1820,9856,1643,4578,1410,407,286,124,148,9775,1822,2901,1321,2646,1280,255,327,6874,1752,4812,1504,2062,1013,55419,1520,37380,3215,24305,2840,12031,2780,664,534,380,347,18039,3103,3874,1789,3706,1750,168,247,14165,2781,11634,2663,2531,1314
