GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With own children under 18 years:,Margin of Error; Total: - With own children under 18 years:,Estimate; Total: - With own children under 18 years: - Married-couple family:,Margin of Error; Total: - With own children under 18 years: - Married-couple family:,Estimate; Total: - With own children under 18 years: - Married-couple family: - No workers,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - No workers,Estimate; Total: - With own children under 18 years: - Married-couple family: - 1 worker,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 1 worker,Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 2 workers:,Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked,Estimate; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Other,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 2 workers: - Other,Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers:,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers:,Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked,Estimate; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Other,Margin of Error; Total: - With own children under 18 years: - Married-couple family: - 3 or more workers: - Other,Estimate; Total: - With own children under 18 years: - Other family:,Margin of Error; Total: - With own children under 18 years: - Other family:,"Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - No workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - No workers","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Estimate; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - No workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - No workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Estimate; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers","Margin of Error; Total: - With own children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers",Estimate; Total: - No children under 18 years:,Margin of Error; Total: - No children under 18 years:,Estimate; Total: - No children under 18 years: - Married-couple family:,Margin of Error; Total: - No children under 18 years: - Married-couple family:,Estimate; Total: - No children under 18 years: - Married-couple family: - No workers,Margin of Error; Total: - No children under 18 years: - Married-couple family: - No workers,Estimate; Total: - No children under 18 years: - Married-couple family: - 1 worker,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 1 worker,Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 2 workers:,Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Husband and wife worked,Estimate; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Other,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 2 workers: - Other,Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers:,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 3 or more workers:,Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Husband and wife worked,Estimate; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Other,Margin of Error; Total: - No children under 18 years: - Married-couple family: - 3 or more workers: - Other,Estimate; Total: - No children under 18 years: - Other family:,Margin of Error; Total: - No children under 18 years: - Other family:,"Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present:","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - No workers","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - No workers","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 1 worker","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 2 workers","Estimate; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Margin of Error; Total: - No children under 18 years: - Other family: - Male householder, no wife present: - 3 or more workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present:","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - No workers","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - No workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 1 worker","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 2 workers","Estimate; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers","Margin of Error; Total: - No children under 18 years: - Other family: - Female householder, no husband present: - 3 or more workers"
0500000US41005,41005,"Clackamas County, Oregon",104013,3368,45785,2307,33768,2320,169,138,7878,1525,20480,1995,19206,1943,1274,656,5241,925,4938,938,303,201,12017,1918,2966,1051,44,74,2462,993,460,357,0,200,9051,1535,1265,619,5873,1256,1725,818,188,304,58228,2874,48864,2663,13177,1344,10939,1527,18380,1926,16475,1697,1905,607,6368,1116,5529,1099,839,441,9364,1563,3385,1064,324,227,1370,681,1229,607,462,419,5979,1128,553,280,2876,931,2038,598,512,308
0500000US41017,41017,"Deschutes County, Oregon",40941,3029,15637,2087,10668,1679,106,181,1516,791,7713,1517,6999,1399,714,724,1333,775,1298,772,35,59,4969,1396,1808,944,79,135,1729,924,0,200,0,200,3161,1167,0,200,2417,1001,744,618,0,200,25304,2294,21533,2195,8540,1198,5480,1323,6265,1286,6211,1290,54,93,1248,558,939,494,309,364,3771,1281,566,396,283,253,128,147,155,271,0,200,3205,1182,513,392,780,605,1356,820,556,441
0500000US41019,41019,"Douglas County, Oregon",28750,1778,11345,1260,6591,1091,0,200,2166,741,3802,957,3734,986,68,117,623,439,526,427,97,114,4754,1314,1609,740,350,287,1259,683,0,200,0,200,3145,1075,639,459,2199,912,218,280,89,144,17405,1563,14751,1437,5098,813,4849,984,3978,894,3637,817,341,360,826,499,775,493,51,90,2654,989,1119,779,240,302,281,270,598,581,0,200,1535,602,318,271,903,447,314,238,0,200
0500000US41029,41029,"Jackson County, Oregon",53853,2535,20325,2002,12259,2037,32,56,3433,1303,6686,1576,6376,1546,310,283,2108,1010,2108,1010,0,200,8066,1511,1796,745,1033,666,566,331,197,192,0,200,6270,1391,719,607,4438,1260,1077,691,36,66,33528,2122,28066,1948,9303,1339,6924,1198,10356,1631,9680,1626,676,299,1483,643,1333,590,150,246,5462,1139,1107,596,68,98,440,413,599,521,0,200,4355,998,683,436,1483,548,1888,648,301,397
0500000US41033,41033,"Josephine County, Oregon",21567,1808,6245,1220,4183,1110,357,421,1295,588,1805,629,1547,565,258,253,726,435,656,423,70,122,2062,703,559,332,168,177,391,294,0,200,0,200,1503,638,514,421,884,368,105,175,0,200,15322,1403,11919,1257,5169,1071,2981,871,3646,889,3287,844,359,269,123,156,36,57,87,145,3403,1129,748,476,0,200,542,445,101,171,105,138,2655,999,684,502,915,415,845,698,211,243
0500000US41035,41035,"Klamath County, Oregon",17979,1612,7098,1239,4992,1086,191,190,1115,469,2884,779,2649,764,235,215,802,392,768,379,34,57,2106,790,802,464,122,128,604,431,76,124,0,200,1304,630,141,177,954,534,81,128,128,216,10881,1048,8817,1028,3026,623,2285,678,3071,709,2841,662,230,183,435,233,326,216,109,111,2064,656,738,417,179,220,248,209,105,125,206,327,1326,542,462,320,628,411,217,195,19,30
0500000US41039,41039,"Lane County, Oregon",84801,2794,31821,2163,20585,2031,229,260,4972,1129,12795,1711,12095,1736,700,466,2589,764,2543,760,46,75,11236,1589,2978,822,393,359,2548,727,37,47,0,200,8258,1262,1387,573,5989,1171,425,251,457,439,52980,2522,43445,2539,11489,1228,11295,1286,17495,1628,16314,1582,1181,431,3166,833,2764,703,402,361,9535,1354,2206,779,538,349,898,601,669,404,101,119,7329,1182,1434,438,2874,711,2601,780,420,279
0500000US41043,41043,"Linn County, Oregon",29589,1774,12387,1364,7599,1117,105,177,2448,840,4113,865,3579,853,534,276,933,511,933,511,0,200,4788,1199,611,385,82,115,529,371,0,200,0,200,4177,1194,1384,731,2793,982,0,200,0,200,17202,1546,14195,1461,4455,806,3139,616,5058,1274,4601,1244,457,258,1543,535,1390,528,153,173,3007,782,1129,608,223,298,99,125,807,523,0,200,1878,598,245,203,763,340,721,459,149,201
0500000US41047,41047,"Marion County, Oregon",77502,2745,36976,2284,23667,1988,252,187,5515,1208,13989,1816,13059,1792,930,557,3911,1084,3842,1091,69,98,13309,1850,3372,1213,188,248,2725,1232,459,487,0,200,9937,1864,876,525,7751,1611,1217,664,93,155,40526,2355,33114,2262,8412,1183,10251,1478,10678,1412,9674,1340,1004,467,3773,920,3282,935,491,277,7412,1383,2286,881,526,433,768,562,901,525,91,150,5126,1250,765,341,2003,713,1668,679,690,396
