GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household,Margin of Error; Total: - 1-person household,Estimate; Total: - 2-person household,Margin of Error; Total: - 2-person household,Estimate; Total: - 3-person household,Margin of Error; Total: - 3-person household,Estimate; Total: - 4-or-more-person household,Margin of Error; Total: - 4-or-more-person household
0500000US41003,41003,"Benton County, Oregon",33609,1062,11064,1165,12387,1357,7734,1174,2424,780,10012,1368,12538,1552,4920,838,6139,1055
0500000US41005,41005,"Clackamas County, Oregon",150382,1976,40644,2698,53509,2914,46620,3059,9609,1675,35642,2991,52740,2501,26576,2171,35424,2233
0500000US41017,41017,"Deschutes County, Oregon",65065,2582,23119,2313,21674,2508,16887,1912,3385,1219,18312,2100,27873,2647,7967,1509,10913,1702
0500000US41019,41019,"Douglas County, Oregon",43389,1506,18525,1787,14997,1785,8957,1605,910,439,11082,1545,17986,1529,6753,1136,7568,1036
0500000US41029,41029,"Jackson County, Oregon",82983,1561,29806,2246,30147,2861,20138,2035,2892,910,24191,2410,33288,2311,10140,1784,15364,1534
0500000US41033,41033,"Josephine County, Oregon",34517,1287,16861,1275,10647,1408,5758,1213,1251,680,10528,1399,13972,1419,4528,1109,5489,1388
0500000US41035,41035,"Klamath County, Oregon",25746,1411,9532,895,8867,1233,6295,1062,1052,527,6192,1100,10142,1187,4575,1094,4837,961
0500000US41039,41039,"Lane County, Oregon",144166,2079,48956,1951,51579,2955,37170,2269,6461,1126,43789,2510,54224,2599,22095,1877,24058,2039
0500000US41043,41043,"Linn County, Oregon",43911,1448,14873,1330,15528,1701,11375,1833,2135,709,11311,1281,16541,1466,5910,1336,10149,1404
0500000US41047,41047,"Marion County, Oregon",114077,2079,33633,1901,40926,2444,32846,2622,6672,1392,29350,2595,38206,2339,16762,1807,29759,2015
0500000US41051,41051,"Multnomah County, Oregon",309552,2902,77815,3664,125338,4356,89092,4006,17307,1922,102011,4510,103251,4438,46803,3636,57487,3625
0500000US41053,41053,"Polk County, Oregon",28097,1023,8656,1283,9605,1293,9034,1242,802,405,6794,1370,12261,1620,3895,1133,5147,1015
0500000US41059,41059,"Umatilla County, Oregon",26943,887,7795,997,10368,1254,7243,1057,1537,530,6658,1118,8721,1091,3363,785,8201,1143
0500000US41067,41067,"Washington County, Oregon",203665,2309,43107,2408,83725,3869,63158,3823,13675,1721,54773,3023,66224,3512,33919,2781,48749,2554
0500000US41071,41071,"Yamhill County, Oregon",35454,1066,10848,1000,12865,1197,10073,1488,1668,607,7387,1380,13562,1349,5305,978,9200,1388
