GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - 2-person household,Margin of Error; Family households: - 2-person household,Estimate; Family households: - 3-person household,Margin of Error; Family households: - 3-person household,Estimate; Family households: - 4-person household,Margin of Error; Family households: - 4-person household,Estimate; Family households: - 5-or-more person household,Margin of Error; Family households: - 5-or-more person household,Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - 1-person household,Margin of Error; Nonfamily households: - 1-person household,Estimate; Nonfamily households: - 2-person household,Margin of Error; Nonfamily households: - 2-person household,Estimate; Nonfamily households: - 3-person household,Margin of Error; Nonfamily households: - 3-person household,Estimate; Nonfamily households: - 4-person household,Margin of Error; Nonfamily households: - 4-person household,Estimate; Nonfamily households: - 5-or-more person household,Margin of Error; Nonfamily households: - 5-or-more person household
0500000US41003,41003,"Benton County, Oregon",33609,1062,18147,1454,9191,1243,3484,745,3437,871,2035,700,15462,1339,10012,1368,3347,887,1436,579,464,287,203,172
0500000US41005,41005,"Clackamas County, Oregon",150382,1976,104013,3368,44334,2660,25208,2113,20610,1793,13861,1634,46369,3439,35642,2991,8406,1314,1368,621,560,569,393,329
0500000US41017,41017,"Deschutes County, Oregon",65065,2582,40941,3029,23240,2347,7026,1426,6740,1377,3935,1125,24124,2119,18312,2100,4633,1238,941,592,238,314,0,200
0500000US41019,41019,"Douglas County, Oregon",43389,1506,28750,1778,15121,1379,6191,1162,4015,1016,3423,825,14639,1850,11082,1545,2865,876,562,475,42,72,88,143
0500000US41029,41029,"Jackson County, Oregon",82983,1561,53853,2535,28674,2317,9958,1767,8612,1482,6609,1459,29130,2472,24191,2410,4614,1111,182,222,143,165,0,200
0500000US41033,41033,"Josephine County, Oregon",34517,1287,21567,1808,12042,1278,4036,1097,2981,988,2508,895,12950,1538,10528,1399,1930,681,492,496,0,200,0,200
0500000US41035,41035,"Klamath County, Oregon",25746,1411,17979,1612,8613,1039,4529,1091,2081,664,2756,692,7767,1094,6192,1100,1529,532,46,77,0,200,0,200
0500000US41039,41039,"Lane County, Oregon",144166,2079,84801,2794,42713,2382,19074,1776,13809,1779,9205,1326,59365,2870,43789,2510,11511,1511,3021,948,791,584,253,171
0500000US41043,41043,"Linn County, Oregon",43911,1448,29589,1774,14239,1411,5546,1294,5279,1190,4525,1010,14322,1406,11311,1281,2302,828,364,272,278,314,67,102
0500000US41047,41047,"Marion County, Oregon",114077,2079,77502,2745,32430,2116,16401,1857,13809,1747,14862,1978,36575,2567,29350,2595,5776,1442,361,252,552,498,536,416
0500000US41051,41051,"Multnomah County, Oregon",309552,2902,167374,4313,71888,3905,40836,3430,32340,3033,22310,2224,142178,4376,102011,4510,31363,2626,5967,1303,1722,599,1115,598
0500000US41053,41053,"Polk County, Oregon",28097,1023,18810,1482,10410,1419,3358,1035,2892,826,2150,814,9287,1412,6794,1370,1851,760,537,363,73,123,32,56
0500000US41059,41059,"Umatilla County, Oregon",26943,887,18838,1384,7893,1018,2856,723,3813,839,4276,954,8105,1292,6658,1118,828,448,507,407,72,110,40,72
0500000US41067,41067,"Washington County, Oregon",203665,2309,134554,3588,54804,3142,31537,2769,28975,2748,19238,2154,69111,3149,54773,3023,11420,1823,2382,879,382,400,154,176
0500000US41071,41071,"Yamhill County, Oregon",35454,1066,26062,1584,11918,1204,5069,958,5092,1125,3983,826,9392,1502,7387,1380,1644,792,236,211,76,99,49,64
