GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Income in the past 12 months below poverty level:
HD02_VD02,Margin of Error; Income in the past 12 months below poverty level:
HD01_VD03,Estimate; Income in the past 12 months below poverty level: - In married-couple family
HD02_VD03,Margin of Error; Income in the past 12 months below poverty level: - In married-couple family
HD01_VD04,Estimate; Income in the past 12 months below poverty level: - In other family
HD02_VD04,Margin of Error; Income in the past 12 months below poverty level: - In other family
HD01_VD05,Estimate; Income in the past 12 months at or above poverty level:
HD02_VD05,Margin of Error; Income in the past 12 months at or above poverty level:
HD01_VD06,Estimate; Income in the past 12 months at or above poverty level: - In married-couple family
HD02_VD06,Margin of Error; Income in the past 12 months at or above poverty level: - In married-couple family
HD01_VD07,Estimate; Income in the past 12 months at or above poverty level: - In other family
HD02_VD07,Margin of Error; Income in the past 12 months at or above poverty level: - In other family
