GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Income in the past 12 months below poverty level:
HD02_VD02,Margin of Error; Income in the past 12 months below poverty level:
HD01_VD03,Estimate; Income in the past 12 months below poverty level: - Married-couple family:
HD02_VD03,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:
HD01_VD05,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years
HD02_VD05,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years
HD01_VD06,Estimate; Income in the past 12 months below poverty level: - Other family:
HD02_VD06,Margin of Error; Income in the past 12 months below poverty level: - Other family:
HD01_VD07,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present"
HD02_VD07,"Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present"
HD01_VD08,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present - With related children under 18 years"
HD02_VD08,"Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present - With related children under 18 years"
HD01_VD09,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present"
HD02_VD09,"Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present"
HD01_VD10,"Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present - With related children under 18 years"
HD02_VD10,"Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present - With related children under 18 years"
HD01_VD11,Estimate; Income in the past 12 months at or above poverty level:
HD02_VD11,Margin of Error; Income in the past 12 months at or above poverty level:
HD01_VD12,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:
HD02_VD12,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:
HD01_VD14,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years
HD02_VD14,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years
HD01_VD15,Estimate; Income in the past 12 months at or above poverty level: - Other family:
HD02_VD15,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:
HD01_VD16,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present"
HD02_VD16,"Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present"
HD01_VD17,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present - With related children under 18 years"
HD02_VD17,"Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present - With related children under 18 years"
HD01_VD18,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present"
HD02_VD18,"Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present"
HD01_VD19,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present - With related children under 18 years"
HD02_VD19,"Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present - With related children under 18 years"
