GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children under 18 years,Estimate; Income in the past 12 months below poverty level: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present - With related children under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present - With related children under 18 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present - With related children under 18 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present - With related children under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present - With related children under 18 years"
0500000US41003,41003,"Benton County, Oregon",15772,1306,1372,596,440,284,300,219,932,502,396,396,125,205,536,302,393,278,14400,1242,13052,1199,5090,777,1348,674,213,190,0,200,1135,646,698,565
0500000US41005,41005,"Clackamas County, Oregon",90676,2947,5310,1091,2443,849,1254,676,2867,844,235,202,136,164,2632,839,2138,810,85366,2992,70720,3067,28064,1857,14646,1856,4509,1187,2436,941,10137,1460,6123,1211
0500000US41017,41017,"Deschutes County, Oregon",37723,2747,3977,1275,2465,953,918,490,1512,806,846,774,814,771,666,390,417,315,33746,2492,27640,2317,9443,1430,6106,1777,1376,710,987,593,4730,1538,2666,1245
0500000US41019,41019,"Douglas County, Oregon",26598,1780,3419,978,1215,635,468,467,2204,926,703,605,651,601,1501,736,1501,736,23179,1789,18847,1619,5887,1099,4332,1168,1544,867,604,492,2788,900,1570,792
0500000US41029,41029,"Jackson County, Oregon",46956,2384,5711,1679,1989,870,820,668,3722,1405,573,482,573,482,3149,1249,2315,1172,41245,2506,33893,2341,9811,1471,7352,1308,1438,674,1044,500,5914,1132,3883,1018
0500000US41033,41033,"Josephine County, Oregon",19576,1622,2683,1061,1537,846,365,411,1146,628,168,177,168,177,978,578,584,415,16893,1527,12894,1470,2820,839,3999,1232,908,524,248,239,3091,1103,1771,769
0500000US41035,41035,"Klamath County, Oregon",15110,1301,1783,605,689,384,462,338,1094,501,255,196,164,166,839,468,526,335,13327,1163,10730,1170,3810,757,2597,870,1031,635,807,557,1566,598,868,493
0500000US41039,41039,"Lane County, Oregon",75093,2661,9148,1601,2794,1035,1581,825,6354,1176,1255,652,647,440,5099,1066,4294,1081,65945,2329,54189,2282,16267,1764,11756,1453,3067,760,1894,630,8689,1287,3522,930
0500000US41043,41043,"Linn County, Oregon",26574,1590,2858,857,818,392,484,323,2040,758,204,210,204,210,1836,744,1771,738,23716,1794,19466,1587,6685,1020,4250,1062,1064,512,371,279,3186,902,1787,820
0500000US41047,41047,"Marion County, Oregon",58848,2574,5737,1284,2322,803,1274,552,3415,986,463,358,281,389,2952,912,2643,865,53111,2425,43615,2137,15476,1618,9496,1698,2590,914,1189,549,6906,1587,4212,1361
0500000US41051,41051,"Multnomah County, Oregon",125239,3402,8450,1441,3156,864,1686,736,5294,1191,539,372,403,303,4755,1139,3631,1023,116789,3444,92596,3297,35588,2397,24193,2199,7624,1187,3041,951,16569,1854,8739,1620
0500000US41053,41053,"Polk County, Oregon",16238,1341,2069,777,739,437,457,386,1330,715,197,273,197,273,1133,645,1011,651,14169,1273,12107,1348,3192,706,2062,832,671,499,50,86,1391,560,918,496
0500000US41059,41059,"Umatilla County, Oregon",13365,999,1916,672,918,479,30,37,998,441,154,195,0,200,844,401,822,387,11449,988,9841,935,3887,746,1608,567,676,439,676,439,932,405,588,361
0500000US41067,41067,"Washington County, Oregon",98691,2849,5666,1373,2525,783,1502,613,3141,1005,334,238,77,95,2807,968,2251,910,93025,2956,77080,2550,31630,1972,15945,1781,4923,1073,3045,904,11022,1562,5160,1126
0500000US41071,41071,"Yamhill County, Oregon",21231,1508,1785,692,1315,590,757,467,470,374,261,358,164,249,209,143,209,143,19446,1447,16148,1326,5607,1033,3298,955,907,559,508,375,2391,761,1742,731
