GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD02,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:
HD02_VD02,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Total:
HD01_VD04,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - Total
HD02_VD04,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - Total
HD01_VD05,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years
HD02_VD05,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years
HD01_VD06,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years
HD02_VD06,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years
HD01_VD08,Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Total
HD02_VD08,Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Total
HD01_VD10,"Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total"
HD02_VD10,"Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total"
HD01_VD11,"Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years"
HD02_VD11,"Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years"
HD01_VD12,"Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years"
HD02_VD12,"Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years"
HD01_VD14,"Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total"
HD02_VD14,"Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total"
HD01_VD15,"Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years"
HD02_VD15,"Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years"
HD01_VD16,"Estimate; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years"
HD02_VD16,"Margin of Error; Median family income in the past 12 months (in 2013 inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years"
