GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US41001,41001,"Baker County, Oregon",2517,220,473,127,482,117,263,71,213,78,152,68,127,49,127,67,197,86,132,55,114,54,101,66,54,33,31,25,33,41,9,13,9,15
0500000US41003,41003,"Benton County, Oregon",14686,589,3474,370,1297,228,1566,276,1150,206,821,170,868,162,751,159,657,161,394,110,937,207,920,189,860,205,505,178,248,105,103,59,135,74
0500000US41005,41005,"Clackamas County, Oregon",44564,1144,4333,488,3382,416,3791,456,3138,409,3028,409,3013,329,2650,376,3002,436,1921,296,4231,445,3760,386,3774,481,2084,343,737,162,993,239,727,198
0500000US41007,41007,"Clatsop County, Oregon",5871,480,620,176,520,141,577,140,558,151,435,144,485,143,518,149,373,127,367,136,434,133,366,101,280,97,165,85,57,43,64,47,52,55
0500000US41009,41009,"Columbia County, Oregon",5344,342,712,167,754,210,553,127,606,168,281,102,319,123,240,101,208,104,129,84,416,147,417,118,320,117,251,112,46,41,66,45,26,24
0500000US41011,41011,"Coos County, Oregon",10173,714,1963,342,1372,287,1099,217,1132,260,747,174,744,202,497,148,443,130,386,151,533,157,477,124,397,125,168,81,117,65,57,56,41,35
0500000US41013,41013,"Crook County, Oregon",2839,256,408,152,289,109,321,133,393,131,312,125,227,90,201,102,80,45,96,66,183,79,225,108,79,55,0,22,0,22,18,29,7,13
0500000US41015,41015,"Curry County, Oregon",4191,437,741,225,411,119,727,213,463,158,355,140,103,75,283,133,124,65,91,70,243,122,282,151,223,109,96,60,27,35,22,28,0,22
0500000US41017,41017,"Deschutes County, Oregon",21215,915,2602,407,1980,379,2116,310,1970,361,1695,316,1489,293,1037,254,1059,242,823,269,1622,280,1562,261,1465,308,1070,281,253,98,171,91,301,145
0500000US41019,41019,"Douglas County, Oregon",14629,703,2026,317,1829,261,2142,284,1311,245,1203,256,1125,228,820,197,793,182,589,165,1092,281,695,193,542,172,231,107,112,65,59,51,60,37
0500000US41021,41021,"Gilliam County, Oregon",351,65,51,28,39,26,48,26,30,15,25,18,12,9,5,5,44,31,13,10,23,18,26,23,9,9,11,16,10,11,3,5,2,4
0500000US41023,41023,"Grant County, Oregon",1193,153,181,46,181,51,176,57,175,56,58,28,75,35,33,22,45,22,104,68,48,24,52,26,38,28,3,5,2,4,0,17,22,21
0500000US41025,41025,"Harney County, Oregon",955,176,178,80,176,91,113,59,90,48,37,30,43,26,43,34,48,35,52,41,80,52,48,36,22,22,5,9,16,21,4,7,0,17
0500000US41027,41027,"Hood River County, Oregon",2691,328,146,82,179,104,439,172,253,109,119,56,177,96,153,89,127,83,113,83,274,105,242,82,237,110,89,60,106,68,31,31,6,11
0500000US41029,41029,"Jackson County, Oregon",29142,906,4414,540,3581,425,3135,416,2290,297,2219,370,2003,313,1733,328,1548,273,1158,218,1637,269,2489,386,1540,275,546,173,255,87,373,191,221,91
0500000US41031,41031,"Jefferson County, Oregon",2376,300,294,102,238,97,224,83,158,67,144,71,191,103,156,111,99,70,129,85,221,126,203,103,237,109,30,31,16,17,16,23,20,28
0500000US41033,41033,"Josephine County, Oregon",12381,617,2254,374,2014,332,1704,307,1075,208,901,206,811,182,626,148,670,158,219,99,639,170,560,159,450,141,256,118,31,29,77,60,94,84
0500000US41035,41035,"Klamath County, Oregon",9065,519,1649,218,1288,268,1156,223,885,191,830,216,437,108,394,109,408,136,415,188,750,205,392,126,334,138,54,45,41,34,12,19,20,25
0500000US41037,41037,"Lake County, Oregon",1418,190,225,85,187,67,272,110,181,83,127,57,88,45,40,25,10,12,57,35,109,60,60,49,50,44,0,17,8,12,4,7,0,17
0500000US41039,41039,"Lane County, Oregon",58664,1117,11019,575,6525,517,5986,525,5045,483,4377,461,4114,413,3121,382,2825,356,2412,329,3578,407,3800,398,2873,415,1359,227,731,158,518,154,381,124
0500000US41041,41041,"Lincoln County, Oregon",7868,530,1193,223,888,188,873,162,839,187,691,173,472,134,508,135,392,123,342,106,520,139,479,147,322,125,96,47,149,91,78,49,26,21
0500000US41043,41043,"Linn County, Oregon",13877,736,2123,288,1470,247,1591,314,1186,237,1220,249,711,151,805,151,658,194,865,296,1106,219,912,201,703,166,239,98,168,89,91,56,29,30
