"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2013","A","",116058,1845086,78002607851,13606416934,386549548,813,42276,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-175,-0.2,16838,0.9,1233805957,1.6,181688209,1.4,-32834064,-7.8,5,0.6,286,0.7
"01000","1","10","51","0","2013","A","",1196,54588,4050260822,0,0,1427,74197,"",1.52,1.43,1.72,0.00,0.00,1.20,1.20,"",-56,-4.5,-1443,-2.6,-144058529,-3.4,0,0.0,0,0.0,-13,-0.9,-660,-0.9
"01000","2","10","51","0","2013","A","",1324,93496,4540686851,102670,2991,934,48566,"",1.59,1.50,1.63,0.00,0.01,1.09,1.09,"",-1,-0.1,-270,-0.3,39841066,0.9,-11616,-10.2,-830,-21.7,11,1.2,565,1.2
"01000","3","10","51","0","2013","A","",3776,211459,7913278338,119021965,2219503,720,37422,"",1.81,1.12,1.09,0.55,0.96,0.98,0.98,"",-12,-0.3,374,0.2,117952328,1.5,4124319,3.6,-26398,-1.2,10,1.4,492,1.3
"01000","5","10","51","0","2013","A","",109762,1485544,61498381840,13487292299,384327054,796,41398,"",0.98,0.95,0.94,1.01,1.00,0.98,0.98,"",-106,-0.1,18177,1.2,1220071092,2.0,177575506,1.3,-32806836,-7.9,6,0.8,319,0.8
"01000","8","10","96","0","2013","A","",6296,359542,16504226011,119124635,2222494,883,45904,"",1.70,1.24,1.33,0.39,0.83,1.07,1.07,"",-69,-1.1,-1339,-0.4,13734865,0.1,4112703,3.6,-27228,-1.2,4,0.5,209,0.5
"01001","0","10","70","0","2013","A","",830,10193,346301954,66654334,1730783,653,33976,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-12,-1.4,56,0.6,4788457,1.4,1578052,2.4,-95603,-5.2,5,0.8,286,0.8
"01001","1","10","71","0","2013","A","",12,78,3872934,0,0,951,49442,"",2.14,0.37,0.37,0.00,0.00,1.00,0.99,"",-2,-14.3,-2,-2.5,-180951,-4.5,0,0.0,0,0.0,-28,-2.9,-1444,-2.8
"01001","2","10","71","0","2013","A","",17,431,18048632,0,0,806,41892,"",2.85,1.25,1.46,0.00,0.00,1.17,1.17,"",0,0.0,-20,-4.4,-105777,-0.6,0,0.0,0,0.0,31,4.0,1616,4.0
"01001","3","10","71","0","2013","A","",32,1909,65143645,140680,1533,656,34120,"",2.15,1.83,2.03,0.13,0.15,1.11,1.11,"",0,0.0,-1,-0.1,169358,0.3,23240,19.8,134,9.6,2,0.3,93,0.3
"01001","5","10","71","0","2013","A","",769,7774,259236743,66513654,1729250,641,33346,"",0.96,0.90,0.89,1.02,1.01,0.98,0.98,"",-10,-1.3,77,1.0,4905827,1.9,1554812,2.4,-95737,-5.2,6,0.9,303,0.9
"01003","0","10","70","0","2013","A","",5247,62719,2039249324,488566120,12730671,625,32514,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",75,1.5,2279,3.8,112281124,5.8,19399989,4.1,-831112,-6.1,12,2.0,632,2.0
"01003","1","10","71","0","2013","A","",33,328,17586042,0,0,1031,53602,"",0.93,0.25,0.28,0.00,0.00,1.13,1.13,"",-1,-2.9,2,0.6,48612,0.3,0,0.0,0,0.0,-5,-0.5,-263,-0.5
"01003","2","10","71","0","2013","A","",35,1103,40125671,0,0,699,36373,"",0.93,0.52,0.55,0.00,0.00,1.06,1.06,"",1,2.9,25,2.3,1266130,3.3,0,0.0,0,0.0,6,0.9,325,0.9
"01003","3","10","71","0","2013","A","",96,7709,294714840,7230134,94914,735,38229,"",1.02,1.20,1.56,0.93,1.25,1.30,1.30,"",0,0.0,587,8.2,24550281,9.1,3821627,112.1,12996,15.9,5,0.7,294,0.8
"01003","5","10","71","0","2013","A","",5083,53578,1686822771,481335986,12635757,605,31483,"",1.00,1.01,0.98,1.01,1.00,0.97,0.97,"",74,1.5,1663,3.2,86416101,5.4,15578362,3.3,-844108,-6.3,12,2.0,656,2.1
"01005","0","10","70","0","2013","A","",575,8425,277034593,61825618,2153226,632,32882,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-7,-1.2,-95,-1.1,2893231,1.1,176420,0.3,-46363,-2.1,13,2.1,704,2.2
"01005","1","10","71","0","2013","A","",9,55,2747124,0,0,968,50329,"",2.32,0.32,0.33,0.00,0.00,1.05,1.05,"",0,0.0,-4,-6.8,-143905,-5.0,0,0.0,0,0.0,23,2.4,1190,2.4
"01005","2","10","71","0","2013","A","",19,678,25713286,0,0,730,37944,"",4.60,2.38,2.60,0.00,0.00,1.10,1.09,"",0,0.0,-25,-3.6,-529714,-2.0,0,0.0,0,0.0,12,1.7,596,1.6
"01005","3","10","71","0","2013","A","",34,963,30710345,772466,13702,614,31907,"",3.29,1.12,1.20,0.78,1.07,1.07,1.07,"",0,0.0,-38,-3.8,-153325,-0.5,-59530,-7.2,-596,-4.2,21,3.5,1084,3.5
