"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","44-45","54","0","2013","A","",11,881,35037970,0,0,765,39793,"",1.21,1.29,2.09,0.00,0.00,1.62,1.62,"",-1,-8.3,-23,-2.5,4458977,14.6,0,0.0,0,0.0,115,17.7,5979,17.7
"01000","2","44-45","54","0","2013","A","N",170,0,0,0,0,0,0,"N",32.18,0,0,0,0,0,0,"N",-1,-0.6,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","44-45","54","0","2013","A","N",2,0,0,0,0,0,0,"N",0.28,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","44-45","54","0","2013","A","",18126,224645,5748974240,1928311731,41585384,492,25591,"",1.39,1.08,1.16,1.18,1.11,1.08,1.08,"",-88,-0.5,404,0.2,81136472,1.4,3951857,0.2,-3854526,-8.5,6,1.2,315,1.2
"01001","2","44-45","74","0","2013","A","N",2,0,0,0,0,0,0,"N",52.94,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","44-45","74","0","2013","A","",145,1737,39519797,13878514,290625,438,22751,"",1.55,1.51,1.80,1.73,1.73,1.19,1.19,"",-1,-0.7,-1,-0.1,104578,0.3,-151459,-1.1,-19610,-6.3,2,0.5,67,0.3
"01003","2","44-45","74","0","2013","A","",10,39,1033187,0,0,511,26549,"",41.87,11.88,16.46,0.00,0.00,1.39,1.39,"",0,0.0,1,2.6,29971,3.0,0,0.0,0,0.0,-2,-0.4,-144,-0.5
"01003","5","44-45","74","0","2013","A","",963,12642,309634817,112751140,2570946,471,24493,"",1.63,1.79,2.40,1.92,2.08,1.34,1.34,"",7,0.7,124,1.0,8280492,2.7,1851890,1.7,-196802,-7.1,8,1.7,420,1.7
"01005","2","44-45","74","0","2013","A","N",2,0,0,0,0,0,0,"N",76.42,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","44-45","74","0","2013","A","",91,920,20379985,7747461,157260,426,22152,"",1.41,0.97,1.16,1.04,0.75,1.20,1.20,"",-7,-7.1,-46,-4.8,-102237,-0.5,-142910,-1.8,-12269,-7.2,18,4.4,945,4.5
"01007","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",64.81,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","44-45","74","0","2013","A","",53,489,11238223,4066747,76054,442,22970,"",1.39,1.04,1.18,1.16,0.76,1.14,1.14,"",-4,-7.0,10,2.1,-58096,-0.5,-26590,-0.6,-6248,-7.6,-11,-2.4,-597,-2.5
"01009","5","44-45","74","0","2013","A","",119,1083,25826245,9097245,186996,459,23854,"",1.47,1.18,1.61,1.43,1.40,1.37,1.37,"",-1,-0.8,-4,-0.4,21113,0.1,-181287,-2.0,-17329,-8.5,3,0.7,123,0.5
"01011","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",151.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","44-45","74","0","2013","A","",26,210,4222754,1579958,30628,386,20084,"",1.59,0.64,0.72,0.61,0.52,1.13,1.13,"",1,4.0,1,0.5,-250930,-5.6,-54789,-3.4,-1518,-4.7,-25,-6.1,-1304,-6.1
"01013","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",46.85,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","44-45","74","0","2013","A","",96,909,19695245,7365125,155817,417,21661,"",1.82,1.23,1.52,1.19,0.97,1.23,1.23,"",-4,-4.0,-16,-1.7,-371877,-1.9,-136937,-1.8,-14511,-8.5,0,0.0,-25,-0.1
"01015","1","44-45","74","0","2013","A","",1,9,501414,0,0,1071,55713,"",5.18,0.55,1.46,0.00,0.00,2.64,2.64,"",0,0.0,0,0.0,98875,24.6,0,0.0,0,0.0,211,24.5,10986,24.6
"01015","2","44-45","74","0","2013","A","N",4,0,0,0,0,0,0,"N",35.65,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","44-45","74","0","2013","A","",469,5780,136360215,47937380,1032239,454,23591,"",1.69,1.17,1.35,1.38,1.20,1.15,1.15,"",-7,-1.5,-48,-0.8,1416784,1.0,176540,0.4,-118561,-10.3,9,2.0,435,1.9
"01017","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",37.95,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","44-45","74","0","2013","A","",107,1124,24634685,9203758,178400,421,21912,"",1.64,1.23,1.49,1.38,1.38,1.20,1.21,"",1,0.9,11,1.0,649109,2.7,17647,0.2,-3633,-2.0,7,1.7,366,1.7
"01019","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",54.52,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","44-45","74","0","2013","A","",86,916,21982574,8336373,197641,462,23998,"",1.90,1.63,2.24,2.03,1.57,1.38,1.38,"",1,1.2,21,2.3,1557891,7.6,554918,7.1,-1936,-1.0,23,5.2,1173,5.1
"01021","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",30.10,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","44-45","74","0","2013","A","",143,1416,33910100,12023813,277048,461,23952,"",1.74,1.37,1.82,1.48,1.25,1.33,1.33,"",-3,-2.1,-41,-2.8,267808,0.8,-127932,-1.1,-33717,-10.8,17,3.8,867,3.8
"01023","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",75.50,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","44-45","74","0","2013","A","",50,389,8051848,3268817,102830,398,20712,"",1.53,0.97,0.76,1.02,1.74,0.79,0.79,"",-5,-9.1,-14,-3.5,-105057,-1.3,-29656,-0.9,72,0.1,9,2.3,492,2.4
"01025","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",32.84,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","44-45","74","0","2013","A","",140,1353,31193846,11386513,253537,444,23064,"",1.86,1.49,1.65,1.71,2.04,1.11,1.11,"",-3,-2.1,-26,-1.9,-10895,0.0,-111082,-1.0,-5802,-2.2,9,2.1,429,1.9
"01027","5","44-45","74","0","2013","A","",34,284,5210563,2106263,34241,353,18369,"",1.38,0.71,0.77,0.70,0.41,1.07,1.08,"",1,3.0,-2,-0.7,89784,1.8,88483,4.4,-5301,-13.4,8,2.3,454,2.5
"01029","2","44-45","74","0","2013","A","N",1,0,0,0,0,0,0,"N",107.18,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","44-45","74","0","2013","A","",38,295,7645753,2643428,56449,498,25918,"",1.65,1.14,1.42,1.51,1.02,1.24,1.24,"",-2,-5.0,-6,-2.0,614715,8.7,-39205,-1.5,5158,10.1,49,10.9,2578,11.0
