"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","1","62","54","0","2013","A","",26,6021,395982227,0,0,1265,65769,"",1.82,1.21,1.32,0.00,0.00,1.09,1.09,"",1,4.0,101,1.7,13420383,3.5,0,0.0,0,0.0,22,1.8,1151,1.8
"01000","2","62","54","0","2013","A","",79,15420,736527993,0,0,919,47766,"",1.08,1.82,2.04,0.00,0.00,1.12,1.12,"",-1,-1.2,-87,-0.6,18836184,2.6,0,0.0,0,0.0,29,3.3,1484,3.2
"01000","3","62","54","0","2013","A","",255,31660,1331102868,20310596,411183,809,42044,"",2.98,2.55,2.54,1.13,2.79,1.00,1.00,"",0,0.0,165,0.5,13455403,1.0,-272393,-1.3,-44934,-9.9,4,0.5,207,0.5
"01000","5","62","54","0","2013","A","",10559,197165,8569007126,1499559905,32624479,836,43461,"",0.62,0.81,0.93,1.12,1.06,1.14,1.14,"",196,1.9,3129,1.6,151236072,1.8,29632525,2.0,-316079,-1.0,2,0.2,78,0.2
"01001","2","62","74","0","2013","A","N",2,0,0,0,0,0,0,"N",3.84,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","62","74","0","2013","A","N",1,0,0,0,0,0,0,"N",1.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","62","74","0","2013","A","",80,995,29978534,9119363,230078,580,30137,"",0.66,0.74,0.73,1.39,1.67,0.98,0.98,"",1,1.3,12,1.2,-931712,-3.0,45662,0.5,5791,2.6,-25,-4.1,-1313,-4.2
"01003","3","62","74","0","2013","A","",11,146,4350993,0,0,575,29904,"",2.85,0.35,0.32,0.00,0.00,0.92,0.92,"",-1,-8.3,-3,-2.0,-12746,-0.3,-8000,-100.0,-95,-100.0,12,2.1,650,2.2
"01003","5","62","74","0","2013","A","",467,7146,297509533,54523772,1147988,801,41635,"",0.61,0.87,1.23,1.13,1.14,1.42,1.42,"",15,3.3,359,5.3,20269111,7.3,3586192,7.0,13511,1.2,15,1.9,785,1.9
"01005","3","62","74","0","2013","A","",3,7,182899,57482,627,502,26128,"",7.08,0.12,0.10,0.71,0.76,0.80,0.80,"",0,0.0,-3,-30.0,-11464,-5.9,-8121,-12.4,-153,-19.6,134,36.4,7010,36.7
"01005","5","62","74","0","2013","A","N",47,0,0,0,0,0,0,"N",0.56,0,0,0,0,0,0,"N",-1,-2.1,0,0,0,0,0,0,0,0,0,0,0,0
"01007","3","62","74","0","2013","A","N",1,0,0,0,0,0,0,"N",4.00,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
