"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Baker County,"2015Q1","575","3904","3.0","578","-1.4","Total, all industries","41001","OR"
Benton County,"2015Q1","2498","26466","5.5","821","1.4","Total, all industries","41003","OR"
Clackamas County,"2015Q1","13450","130680","3.0","921","4.8","Total, all industries","41005","OR"
Clatsop County,"2015Q1","1534","14060","4.0","653","2.2","Total, all industries","41007","OR"
Columbia County,"2015Q1","1131","8351","7.1","645","3.2","Total, all industries","41009","OR"
Coos County,"2015Q1","1728","15987","2.0","599","2.6","Total, all industries","41011","OR"
Crook County,"2015Q1","572","4433","1.8","889","-1.3","Total, all industries","41013","OR"
Curry County,"2015Q1","740","4775","2.8","585","2.6","Total, all industries","41015","OR"
Deschutes County,"2015Q1","7142","60040","8.1","731","3.2","Total, all industries","41017","OR"
Douglas County,"2015Q1","2837","27659","4.2","677","3.2","Total, all industries","41019","OR"
Gilliam County,"2015Q1","98","517","-1.5","813","11.2","Total, all industries","41021","OR"
Grant County,"2015Q1","288","1315","5.8","545","-0.4","Total, all industries","41023","OR"
Harney County,"2015Q1","237","1255","10.5","501","3.7","Total, all industries","41025","OR"
Hood River County,"2015Q1","1204","10984","-3.7","653","9.9","Total, all industries","41027","OR"
Jackson County,"2015Q1","6709","68750","3.3","726","1.8","Total, all industries","41029","OR"
Jefferson County,"2015Q1","461","3952","8.2","605","6.1","Total, all industries","41031","OR"
Josephine County,"2015Q1","2255","20876","5.3","612","2.7","Total, all industries","41033","OR"
Klamath County,"2015Q1","1756","16523","1.9","641","1.3","Total, all industries","41035","OR"
Lake County,"2015Q1","262","1327","1.1","557","2.4","Total, all industries","41037","OR"
Lane County,"2015Q1","11075","118725","2.8","731","2.2","Total, all industries","41039","OR"
Lincoln County,"2015Q1","1750","13431","3.0","609","5.4","Total, all industries","41041","OR"
Linn County,"2015Q1","3109","35525","4.7","739","2.1","Total, all industries","41043","OR"
Malheur County,"2015Q1","910","8913","3.9","551","-0.2","Total, all industries","41045","OR"
Marion County,"2015Q1","9309","104628","4.4","686","1.3","Total, all industries","41047","OR"
Morrow County,"2015Q1","283","4591","10.1","956","17.0","Total, all industries","41049","OR"
Multnomah County,"2015Q1","31107","397776","3.0","1002","1.6","Total, all industries","41051","OR"
Polk County,"2015Q1","1716","13135","7.6","569","4.4","Total, all industries","41053","OR"
Sherman County,"2015Q1","77","508","13.1","684","6.5","Total, all industries","41055","OR"
Tillamook County,"2015Q1","861","6911","6.1","623","3.1","Total, all industries","41057","OR"
Umatilla County,"2015Q1","1979","21342","0.8","632","1.0","Total, all industries","41059","OR"
Union County,"2015Q1","868","7337","1.9","645","3.2","Total, all industries","41061","OR"
Wallowa County,"2015Q1","393","1624","7.6","528","4.1","Total, all industries","41063","OR"
Wasco County,"2015Q1","906","8275","3.0","659","1.4","Total, all industries","41065","OR"
Washington County,"2015Q1","17627","247087","3.7","1314","5.6","Total, all industries","41067","OR"
Wheeler County,"2015Q1","43","178","0.0","504","8.4","Total, all industries","41069","OR"
Yamhill County,"2015Q1","2932","29156","5.8","704","1.3","Total, all industries","41071","OR"
 
