stat,pop1,pop2,pop3,pop4,pop5,pop6,pop7,age1,age2,age3,age4,age5,age6,sex1,sex2,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,race16,vets,foreign,housing1,housing2,housing3,housing4,housing5,housing6,housing7,housing8,household1,household2,household3,household4,edu1,edu2,health1,health2,economy1,economy2,economy3,economy4,economy5,economy6,economy7,economy8,trans1,income1,income2,poverty,business1,business2,business3,business4,business5,business6,business7,business8,business9,business10,business11,business12,geo1,geo2,fips
statdescription,"Population estimates, July 1, 2014,  (V2014)","Population estimates, July 1, 2013,  (V2013)","Population estimates base, April 1, 2010,  (V2014)","Population estimates base, April 1, 2010,  (V2013)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2014,  (V2014)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2013,  (V2013)","Population, Census, April 1, 2010","Persons under 5 years, percent, July 1, 2013,  (V2013)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2013,  (V2013)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2013,  (V2013)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2013,  (V2013)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2013,  (V2013)  (a)","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, July 1, 2013,  (V2013)  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, July 1, 2013,  (V2013)  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, July 1, 2013,  (V2013)  (a)","Asian alone, percent, April 1, 2010  (a)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2013,  (V2013)  (a)","Native Hawaiian and Other Pacific Islander alone, percent, April 1, 2010  (a)","Two or More Races, percent, July 1, 2013,  (V2013)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, July 1, 2013,  (V2013)  (b)","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, July 1, 2013,  (V2013)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2009-2013","Foreign born persons, percent, 2009-2013","Housing units,  July 1, 2014,  (V2014)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Median selected monthly owner costs -with a mortgage, 2009-2013","Median selected monthly owner costs -without a mortgage, 2009-2013","Median gross rent, 2009-2013","Building permits, 2014","Households, 2009-2013","Persons per household, 2009-2013","Living in same house 1 year ago, percent of persons age 1 year+, 2009-2013","Language other than English spoken at home, percent of persons age 5 years+, 2009-2013","High school graduate or higher, percent of persons age 25 years+, 2009-2013","Bachelor's degree or higher, percent of persons age 25 years+, 2009-2013","With a disability, under age 65 years, percent, 2009-2013","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2009-2013","In civilian labor force, female, percent of population age 16 years+, 2009-2013","Total accommodation and food services sales, 2007 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2007 ($1,000)  (c)","Total manufacturers shipments, 2007 ($1,000)  (c)","Total merchant wholesaler sales, 2007 ($1,000)  (c)","Total retail sales, 2007 ($1,000)  (c)","Total retail sales per capita, 2007  (c)","Mean travel time to work (minutes), workers age 16 years+, 2009-2013","Median household income (in 2013 dollars), 2009-2013","Per capita income in past 12 months (in 2013 dollars), 2009-2013","Persons in poverty, percent","Total employer establishments, 2013","Total employment, 2013","Total annual payroll, 2013","Total employment, percent change, 2012-2013","Total nonemployer establishments, 2013","All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
UNITED STATES,318857056,316128839,308758105,308747716,3.3,2.4,308745538,6.3,6.5,23.3,24,14.1,13,50.8,50.8,77.7,72.4,13.2,12.6,1.2,0.9,5.3,4.8,0.2,0.2,2.4,2.9,17.1,16.3,62.6,63.7,21263779,12.9,133957180,131704730,64.9,176700,1540,452,904,1046363,115610216,2.63,84.9,20.7,86,28.8,8.4,15.3,63.8,59,613795732,1668276808,5319456312,4174286516,3917663456,12990,25.5,53046,28155,14.5,7488353,118266253,5621697325,2,23005620,27092908,13900554,7792115,5759209,20100926,2447608,22627611,87.4,3531905.43,0
Oregon,3970239,3930065,3831073,3831073,3.6,2.6,3831074,5.9,6.2,21.8,22.6,15.5,13.9,50.5,50.5,88.1,83.6,2,1.8,1.8,1.4,4.1,3.7,0.4,0.3,3.5,3.8,12.3,11.7,77.5,78.5,323205,9.8,1700549,1675562,62,238000,1615,458,875,16645(1),1516456,2.49,82,14.8,89.4,29.7,9.7,17.2,63,58.5,7555764,20159620,66880653,51910777,50370919,13494,22.5,50229,26809,16.7,108527(1),1396563(1),61062097(1),2.4(1),260438,348154,152706,103553,31659,296239,32445,280735,39.9,95988.01,41
"Baker County, Oregon",16059,16018,16138,16138,-0.5,-0.7,16134,5.1,5.3,19.3,20.3,24.3,22,49.3,49.5,95,94.6,0.6,0.4,1.3,1.1,0.6,0.5,0.1,0.1,2.4,2.4,3.7,3.3,91.9,92.6,2096,1.5,8821,8826,67,147700,1139,364,625,18,7120,2.18,83.3,3.9,89.4,20.9,12.6,16.9,54.6,52.7,25659,D,137989,19141,155456,9710,15,41500,23234,14.5,521,3896,122029,-0.7,1094,1761,S,S,S,1651,251,1388,5.3,3068.36,41001
"Benton County, Oregon",86316,86591,85581,85581,0.9,1.2,85579,4.2,4.4,17,17.8,13.7,12,49.8,49.9,88.4,87.1,1.1,0.9,0.9,0.7,5.8,5.2,0.3,0.2,3.5,3.6,7,6.4,82.4,83.6,5561,8.8,37107,36245,57.9,270500,1614,494,816,451,33384,2.42,78.5,12,94.6,50,6.8,13.5,60.3,58.8,134027,504026,590473,387072,685172,8398,18.9,48604,26738,20.8,2081,25350,1095550,1.5,5510,7157,3003,2100,494,6130,797,5518,126.6,675.94,41003
"Clackamas County, Oregon",394972,388263,375992,375992,5,3.3,375992,5.3,5.7,22.5,23.7,15.6,13.6,50.8,50.8,90.6,88.2,1,0.8,1.1,0.8,4,3.7,0.3,0.2,3.1,3.2,8.1,7.7,83.6,84.5,30645,8.3,160781,156945,68.8,300600,1919,559,983,1480,146527,2.58,85.3,11.8,92.4,31.8,7.7,13.8,65.4,59.1,607444,1702237,5668235,5292449,5095774,13567,26.9,64352,32781,9.7,11118,132173,5852367,6.1,28103,36997,16405,10688,2782,31816,3244,30100,201,1870.32,41005
"Clatsop County, Oregon",37474,37244,37037,37037,1.2,0.6,37039,5.4,5.6,19.7,20.5,18.6,16.6,50.6,50.3,93.5,90.9,0.8,0.5,1.3,1,1.4,1.2,0.3,0.2,2.7,2.8,8,7.7,86.5,87.2,3979,5.8,21801,21546,62.7,256500,1537,448,812,102,15749,2.3,81.1,8.2,91.5,23.2,13.9,18.3,60.5,56.3,160570,144069,683627,75515,604480,16299,18.2,44683,25680,16.7,1445,13529,458180,0.8,2684,4221,1995,960,220,3721,505,3245,44.7,829.05,41007
"Columbia County, Oregon",49459,49344,49353,49353,0.2,Z,49351,5.2,5.7,22.7,23.5,16.4,13.9,50.2,49.9,93.3,92.5,0.6,0.4,1.5,1.3,1,0.9,0.2,0.2,3.5,3.4,4.6,4,89.4,90.3,5505,3.7,20664,20698,73.9,213200,1517,403,785,106,19069,2.57,86.3,4.9,89.6,18.1,9.6,14.2,60.1,55.9,44223,54681,826200,96784,357383,7306,31.9,54968,26271,11.8,905,7705,229414,2.8,2587,4017,1784,1106,S,3612,488,2893,75.1,657.36,41009
"Coos County, Oregon",62475,62282,63043,63043,-0.9,-1.2,63043,5,5.1,18.5,18.9,23.3,21.4,50.8,50.7,91.1,89.8,0.5,0.4,2.9,2.5,1.1,1,0.2,0.2,4.2,4.3,5.9,5.4,86.2,87,8013,3.2,30393,30593,66.1,177000,1246,376,720,30,26072,2.36,80.8,4.4,88,18,15.8,18.3,52.1,49.4,83538,329832,279107,260759,716036,11339,19.4,37940,22239,19.6,1569,17480,602153,-0.7,3520,5034,2055,1523,S,4367,591,3796,39.5,1596.17,41011
"Crook County, Oregon",20998,20815,20978,20978,0.1,-0.8,20978,4.4,5.4,19.5,21.9,23.6,20,50.5,50.4,95.6,92.7,0.3,0.2,1.4,1.4,0.7,0.5,0.1,0.1,2,2,7.4,7,88.8,89.4,2788,3.1,10319,10202,70.5,173000,1289,367,748,85,8880,2.33,80.7,5,84.9,14.5,15.4,18,54.4,49.4,22704,47309,209877,100505,139916,6147,20,38795,20883,17.4,479,3780,123799,-6.8,1387,2236,1014,652,S,2073,79,1943,7,2979.09,41013
"Curry County, Oregon",22335,22339,22364,22364,-0.1,-0.1,22364,4.3,3.8,15.7,15.7,30.3,28,50.8,50.6,93,92,0.4,0.3,2.2,1.9,0.9,0.7,0.1,0.1,3.4,3.7,6.3,5.4,87.5,88.7,3554,3.4,12607,12613,67.8,230100,1417,346,797,42,10355,2.13,84.4,4.6,91.3,20.7,18.2,18.4,49,48.3,56246,61817,190654,D,227007,10555,13,39516,23972,18.7,660,5077,154205,9.3,1790,2490,1027,657,79,2190,208,1915,13.7,1627.46,41015
"Deschutes County, Oregon",170388,165954,157733,157733,8,5.2,157733,5.4,6.1,21.8,23,17.4,14.9,50.7,50.6,94.8,92.2,0.5,0.4,1.1,0.9,1,0.9,0.2,0.1,2.4,2.5,7.7,7.4,88.1,88.4,15475,4.4,82414,80139,65.5,249500,1605,474,922,1330,64568,2.47,82.2,6.5,93.1,31,9.2,18.7,61.8,57.7,416425,974305,897387,1222598,2809059,18311,18.6,50209,27524,15.2,6078,53397,1965225,3.8,15397,21423,10045,5583,999,19320,1925,17449,52.3,3018.19,41017
"Douglas County, Oregon",106972,106940,107667,107667,-0.6,-0.7,107667,5.1,5.2,19.5,20.5,23.1,21,50.7,50.6,93.2,92.4,0.4,0.3,1.9,1.8,1.1,1,0.2,0.1,3.2,3.2,5.1,4.7,88.9,89.5,13624,2.9,48929,48915,68.8,171300,1270,365,768,166,43846,2.41,82.7,4,87.7,16.1,15.2,17.4,52.3,49.9,228371,510980,1506405,D,1169216,11276,20.3,40524,21870,19.5,2411,27741,958362,3.1,5697,9160,3723,2164,446,8162,850,6954,21.4,5036.08,41019
"Gilliam County, Oregon",1932,1947,1871,1871,3.3,4.1,1871,5.4,5,18.9,18.9,23.2,22.2,49.3,48.4,95,95.2,0.2,0.2,1.2,1,0.7,0.2,0.7,0.7,2.2,1.4,6.1,4.7,89.7,92.2,217,3.1,1147,1156,63.3,116400,1083,363,691,0,883,2.15,83.3,6.9,91,14.7,15.2,15.9,63.4,52.7,1505,D,FN(1),31643,13474,8141,13.1,44743,25320,11.9,72,755,26330,30.2,100,164,45,S,F,148,F,132,1.6,1204.81,41021
"Grant County, Oregon",7180,7283,7445,7445,-3.6,-2.2,7445,4.7,4.5,18.7,19.2,26.3,23.6,50.2,50.3,95,95,0.3,0.2,1.5,1.2,0.5,0.3,0.1,0.1,2.6,2.3,3.5,2.8,92.2,93.4,894,1.3,4304,4344,70.4,136400,1022,328,619,0,3319,2.17,85.8,2.1,89.5,20.5,12.9,19.6,53.3,50,6583,D,FN(1),D,72523,10560,18.4,35051,23828,18,236,1379,43965,0.7,492,791,218,S,F,729,S,423,1.6,4528.54,41023
"Harney County, Oregon",7126,7146,7422,7422,-4,-3.7,7422,4.9,5.4,20.5,22.4,21.6,18.9,49.3,49.1,92.2,91.9,0.5,0.3,3.7,3.1,0.5,0.5,Z,Z,3.1,3,4.6,4,88.2,89.6,723,1.8,3795,3835,64.9,112300,1012,310,560,2,3113,2.29,84.7,3.2,87.9,15.6,12.5,22,57.7,51.7,11056,D,FN(1),3000,87576,12936,13.8,38113,20865,18.1,185,1200,36146,-1.6,531,914,323,276,S,750,F,789,0.7,10133.17,41025
"Hood River County, Oregon",22885,22675,22346,22346,2.4,1.5,22346,6.5,6.7,25.1,26,13.7,12.6,49.8,50,94,83.1,0.7,0.5,1.1,0.8,1.5,1.4,0.2,0.2,2.4,3.2,30.3,29.5,65,65.8,1487,16.9,9506,9271,66.1,321700,1808,480,791,88,8144,2.62,90.7,28.2,84.1,30.5,6.6,22,69.1,63.4,55651,107566,245734,224366,293665,13872,17,56725,25181,14.8,975,9506,271576,2.6,1788,2251,988,523,229,1790,103,1832,42.8,521.95,41027
"Jackson County, Oregon",210287,208545,203206,203206,3.5,2.6,203206,5.8,5.9,21.2,21.8,19.5,17.6,51.3,51.3,92.8,88.7,0.8,0.7,1.5,1.2,1.4,1.2,0.3,0.3,3.2,3.5,11.7,10.7,82.5,83.7,22618,5.7,91919,90937,62.2,225100,1521,461,875,747,83140,2.42,81,9.4,89.1,24.8,11.5,19.8,59.4,55.2,372936,1173866,2037469,1047067,3422363,17255,19.4,44005,24378,18.7,5861,66354,2303052,5,16219,21865,9551,6342,1693,18929,2328,17186,73,2783.55,41029
"Jefferson County, Oregon",22192,21145,21720,21720,2.2,-2.6,21720,7.1,7.1,25.1,25.3,17.9,15.3,49.8,48.2,75.8,69,0.8,0.6,19.1,16.9,0.8,0.4,0.2,0.1,3.3,3.8,19.9,19.3,60.2,61.8,2020,7.3,9767,9815,65.4,165900,1284,381,722,39,7882,2.62,81.9,17.6,84.7,17.3,12.1,24.3,56.4,52.9,45756,D,242914,192437,165302,8056,21.3,43373,21593,21.8,358,3581,117986,2.7,974,1466,575,478,186,1173,231,1061,12.2,1780.79,41031
"Josephine County, Oregon",83599,83306,82713,82713,1.1,0.7,82713,4.9,5.1,19.7,20.4,24.3,22.3,51.3,51.3,93.6,92.4,0.5,0.4,1.5,1.4,0.9,0.8,0.2,0.2,3.2,3.2,6.8,6.3,87.9,88.6,10265,2.8,38022,38001,66.2,220900,1359,351,798,149,34390,2.37,86,4.4,88.4,17,11.9,17.1,49.2,44.9,108909,356681,471279,D,1024331,12694,19.4,37733,21791,19.4,1899,20079,612062,1.2,5578,8002,3365,2031,416,6766,662,6278,50.4,1639.67,41033
"Klamath County, Oregon",65455,65910,66380,66380,-1.4,-0.7,66380,6,6,21.6,22.3,18.7,17.1,50,50.2,89.5,85.9,0.8,0.7,4.6,4.1,1,0.9,0.2,0.1,3.9,4.1,11.6,10.4,79.8,81.1,7894,5.3,32763,32774,65.8,155000,1204,333,726,75,27378,2.38,82.1,9,87.7,19.7,13.9,20.3,57.4,51.6,103007,286005,539664,D,788445,11845,17.9,39627,21489,18.2,1530,16433,572610,1.2,3353,5675,2400,1523,548,4688,599,4300,11.2,5941.05,41035
"Lake County, Oregon",7838,7820,7895,7895,-0.7,-0.9,7895,4.1,4.6,18,19.3,22.7,20.4,46.9,47.3,92.6,90.3,0.5,0.5,2.3,2.1,1,0.7,0.1,0.1,3.4,3.3,7.7,6.9,85.9,87.1,951,4.1,4401,4439,66.2,144100,1094,331,551,9,3566,2.09,77.8,5.2,83.7,18.6,15.2,21.7,56.7,55.9,7159,18431,FN(1),40273,52050,7219,12.4,33611,22056,20.9,191,1163,38749,0.1,478,S,256,S,F,S,F,S,1,8138.98,41037
"Lane County, Oregon",358337,356212,351715,351715,1.9,1.3,351715,4.9,5.2,19.1,19.8,16.8,15,50.9,50.8,90.3,88.3,1.1,1,1.4,1.2,2.8,2.4,0.3,0.2,4.2,4.2,8,7.4,83.6,84.7,31009,5.7,157899,156112,59.6,218900,1493,420,841,1316,144912,2.38,78,8.9,91.1,27.7,10.6,18.3,59.9,56.3,607721,1947791,6219861,2889191,4452231,12912,19.6,42931,24224,21.1,9538,117026,4214774,3.5,22051,32627,13557,9998,1943,28673,3136,25923,77.2,4553.12,41039
"Lincoln County, Oregon",46406,46350,46032,46032,0.8,0.7,46034,4.9,4.9,17.2,17.3,23.8,21.7,51.4,51.3,90.2,87.7,0.7,0.4,3.9,3.5,1.3,1.1,0.2,0.1,3.7,3.7,8.3,7.9,83.6,84.4,5793,5.2,30700,30610,65.5,237200,1373,410,827,144,20913,2.17,83.8,7,89.9,24.4,15.2,20.9,56.7,53.9,205434,155758,582682,48423,559591,12180,19.2,42365,25194,20.1,1562,13527,414377,1.8,3278,5268,2144,1490,290,4601,701,3805,47,979.77,41041
"Linn County, Oregon",119356,118765,116672,116672,2.3,1.8,116672,6.3,6.6,23.5,24.1,16.8,15.4,50.5,50.6,93.5,90.6,0.7,0.5,1.5,1.3,1.1,1,0.2,0.1,3.1,3.3,8.2,7.8,86.4,87.1,11747,4.4,49300,48821,66.8,173600,1364,400,798,393,44722,2.6,84.2,7.2,89.1,16.9,11.9,15.9,58.3,53.2,125446,320447,2737558,956880,1158963,10248,22.4,46939,21500,19,2437,32742,1216980,0.8,5715,8697,3029,2435,639,7423,777,6466,50.9,2290.13,41043
"Malheur County, Oregon",30359,30479,31312,31312,-3,-2.7,31313,7.1,7.4,25.2,25.6,15.7,15,45.7,45.9,92.3,77.5,1.4,1.2,2,1.2,1.8,1.7,0.2,0.1,2.2,2.9,32.8,31.5,62.1,63.6,2347,10.6,11617,11692,61.6,132600,1134,341,601,29,10136,2.69,84.7,24.5,80.4,13.1,12,21.7,52.7,55.3,45264,116260,D,D,484644,15637,17.3,35578,16352,29.4,712,8023,222302,-1.5,1329,1944,836,S,207,1568,S,1515,3.2,9887.53,41045
"Marion County, Oregon",326110,323614,315335,315335,3.4,2.6,315335,7,7.5,25.6,26.4,13.9,12.9,50.1,50.2,89.8,78.2,1.4,1.1,2.5,1.6,2.2,1.9,0.9,0.7,3.2,3.9,25.3,24.3,67.5,68.7,25842,13.7,122449,120948,60.3,192200,1492,461,789,698,113285,2.72,82.3,25.3,83.2,21.2,10.6,19,62.8,59,D,1453034,2845369,3461700,4016561,12950,21.8,46885,22001,18.8,7685,95058,3287202,3.6,15789,23677,10091,6443,2703,19238,1770,18999,266.7,1182.33,41047
"Morrow County, Oregon",11187,11336,11173,11173,0.1,1.5,11173,7.3,7.1,28,28.6,14,12.7,48.7,48.5,94,77.7,0.9,0.5,1.8,1.2,0.7,0.9,0.3,0.1,2.3,2.6,34,31.3,61.8,64.6,1062,17.4,4447,4442,73.2,119800,1074,355,665,16,3741,2.98,83.1,29.3,75.5,9.7,10.1,20.2,62.6,53.7,7057,11191,D,49400,17401,1537,19.4,49940,20663,16.8,179,2725,122060,5.5,506,456,94,S,S,394,S,360,5.5,2031.61,41049
